"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy"
"13408",13408,509,2,182.364,111.055416968659,1,1,0,0
"13409",13409,509,2,182.364,94.9298825934299,0.683477141267985,1,0,0
"13410",13410,509,2,182.364,56.96515422272,0.428166985149963,1,0,0
"13443",13443,562,2,205.265,121.06486337801,1,1,0,0
"13444",13444,562,2,205.265,152.107569251532,0.522792159586169,1,0,0
"13445",13445,562,2,205.265,103.054484875978,0.170095008746718,1,0,0
"13446",13446,562,2,205.265,91.0541773245947,0.157459287704506,1,0,0
"13447",13447,562,2,205.265,93.0698195354206,0.140270621051409,1,0,0
"13448",13448,562,2,205.265,53.0389029146328,0.117532645435707,1,0,0
"13449",13449,562,2,205.265,51.0233854918975,0.0325271037498024,1,0,0
"13450",13450,562,2,205.265,77.0387767077425,0.0196007189433359,1,0,0
"13451",13451,587,2,212.803,69.0700776857729,1,1,0,0
"13452",13452,587,2,212.803,240.094231624399,0.963515037514813,1,0,0
"13453",13453,587,2,212.803,239.09176833481,0.762224102322505,1,0,0
"13454",13454,587,2,212.803,224.098757064886,0.744323546769213,1,0,0
"13455",13455,587,2,212.803,167.034205509352,0.74095497110721,1,0,0
"13456",13456,587,2,212.803,223.096345496026,0.644402461726867,1,0,0
"13457",13457,587,2,212.803,57.0700896410672,0.352425576787278,1,0,0
"13458",13458,587,2,212.803,91.0542818915478,0.31013885621576,1,0,0
"13459",13459,587,2,212.803,53.0025942462654,0.2623366678223,1,0,0
"13460",13460,587,2,212.803,79.0542823359446,0.25938904328405,1,0,0
"13461",13461,587,2,212.803,277.142826302213,0.232112028444461,1,0,0
"13462",13462,587,2,212.803,296.159454352262,0.22601110264199,1,0,0
"13463",13463,587,2,212.803,67.0544930481876,0.208139357366134,1,0,0
"13464",13464,587,2,212.803,70.0734184894818,0.206921402455996,1,0,0
"13465",13465,587,2,212.803,105.070148775491,0.201365265362852,1,0,0
"13466",13466,587,2,212.803,55.0181859959552,0.201195545382177,1,0,0
"13467",13467,587,2,212.803,221.081272712837,0.188514120902631,1,0,0
"13468",13468,587,2,212.803,203.071433836666,0.170124463850922,1,0,0
"13469",13469,587,2,212.803,83.0122821418801,0.160830413351011,1,0,0
"13470",13470,587,2,212.803,262.152636846069,0.158272288573129,1,0,0
"13471",13471,587,2,212.803,53.0387990541163,0.156326377875254,1,0,0
"13472",13472,587,2,212.803,97.0646113787183,0.149495476631085,1,0,0
"13473",13473,587,2,212.803,346.2079274532,0.149205095272774,1,0,0
"13474",13474,587,2,212.803,259.131417102417,0.140952461212459,1,0,0
"13475",13475,587,2,212.803,139.039739839077,0.134122897773264,1,0,0
"13476",13476,587,2,212.803,93.0697869441025,0.133209004356169,1,0,0
"13477",13477,587,2,212.803,128.061965229718,0.131535056462965,1,0,0
"13478",13478,587,2,212.803,329.17504863943,0.131335015779884,1,0,0
"13479",13479,587,2,212.803,179.033046163975,0.127654800606987,1,0,0
"13480",13480,587,2,212.803,175.075967969437,0.124278655558133,1,0,0
"13521",13521,672,2,206.699,57.0700267579155,1,1,3939,0
"13522",13522,672,2,206.699,91.054095184022,0.511266223894931,1,3939,0
"13523",13523,672,2,206.699,69.0700745780454,0.455660436505636,1,3939,0
"13524",13524,672,2,206.699,115.0543071012,0.324298270719118,1,3939,0
"13525",13525,672,2,206.699,369.170217212988,0.318060185249552,1,3939,0
"13526",13526,672,2,206.699,128.061983298358,0.31334113273,1,3939,0
"13527",13527,672,2,206.699,339.198216277926,0.183253856130315,1,3939,0
"13528",13528,672,2,206.699,127.038619667873,0.179937724403713,1,3939,0
"13529",13529,672,2,206.699,129.069941825719,0.175778443314051,1,3939,0
"13561",13561,702,2,207.519,105.070248476307,1,1,0,0
"13562",13562,702,2,207.519,128.062086749716,0.948899577165996,1,0,0
"13563",13563,702,2,207.519,91.0541687382742,0.867454744379384,1,0,0
"13564",13564,702,2,207.519,313.179880354156,0.836827767937555,1,0,0
"13565",13565,702,2,207.519,353.173033715628,0.804155546032412,1,0,0
"13566",13566,702,2,207.519,439.208518227407,0.75623402038619,1,0,0
"13589",13589,724,2,201.516,275.127897752295,1,1,0,0
"13590",13590,724,2,201.516,195.02934249634,0.577176088491471,1,0,0
"13591",13591,724,2,201.516,219.066007651116,0.45411607457685,1,0,0
"13592",13592,724,2,201.516,81.0334223266214,0.231723616534087,1,0,0
"13593",13593,724,2,201.516,109.02888653218,0.205255487718666,1,0,0
"13594",13594,734,2,211.421,69.0700696064472,1,1,0,0
"13595",13595,734,2,211.421,91.0540886327312,0.614792725225632,1,0,0
"13596",13596,734,2,211.421,127.038610522262,0.590942211858321,1,0,0
"13597",13597,734,2,211.421,311.165515486543,0.547341785654813,1,0,0
"13613",13613,750,2,210.095,213.077396365055,1,1,0,0
"13616",13616,802,2,210.376,239.090678451331,1,1,0,0
"13617",13617,802,2,210.376,201.128476784294,0.718367350814917,1,0,0
"13618",13618,802,2,210.376,131.085065360187,0.62161690098908,1,0,0
"13619",13619,802,2,210.376,295.170743842655,0.589844816934709,1,0,0
"13620",13620,802,2,210.376,173.132933663563,0.53542759697855,1,0,0
"13621",13621,802,2,210.376,91.0541431722455,0.435682045982716,1,0,0
"13622",13622,802,2,210.376,128.062050792542,0.399068147728569,1,0,0
"13623",13623,802,2,210.376,143.085203217269,0.390571076280863,1,0,0
"13624",13624,802,2,210.376,115.054367738992,0.323250387331256,1,0,0
"13625",13625,802,2,210.376,116.062930019994,0.22353767247098,1,0,0
"13642",13642,804,2,205.848,201.128283367345,1,1,0,0
"13643",13643,804,2,205.848,91.0542146506744,0.842068517043564,1,0,0
"13644",13644,804,2,205.848,57.0701261121804,0.830899714680351,1,0,0
"13645",13645,804,2,205.848,131.084986977901,0.683351333844153,1,0,0
"13646",13646,804,2,205.848,98.9837826922243,0.669187683365764,1,0,0
"13647",13647,804,2,205.848,115.054440172217,0.516998289846452,1,0,0
"13648",13648,804,2,205.848,173.131872832204,0.424270223164326,1,0,0
"13649",13649,804,2,205.848,143.085043826459,0.400243731537399,1,0,0
"13650",13650,804,2,205.848,309.186277178035,0.395600954510168,1,0,0
"13651",13651,804,2,205.848,271.133288659984,0.373250495276599,1,0,0
"13652",13652,804,2,205.848,129.069938819465,0.358948690352566,1,0,0
"13653",13653,804,2,205.848,128.061980316187,0.340168444453406,1,0,0
"13654",13654,804,2,205.848,105.070161150448,0.273373463760372,1,0,0
"13655",13655,804,2,205.848,85.0647370815817,0.267791141984333,1,0,0
"13656",13656,804,2,205.848,159.080463188196,0.255772193558632,1,0,0
"13657",13657,804,2,205.848,145.101325641375,0.252969028829383,1,0,0
"13658",13658,804,2,205.848,79.0541285993178,0.231691873683043,1,0,0
"13659",13659,804,2,205.848,119.085631774907,0.219463582677165,1,0,0
"13660",13660,804,2,205.848,117.070329186339,0.213147860858782,1,0,0
"13681",13681,805,2,207.8,69.070222726127,1,1,0,0
"13682",13682,805,2,207.8,195.066009050203,0.79073840388734,1,0,0
"13683",13683,805,2,207.8,251.128083303483,0.5509080026659,1,0,0
"13684",13684,805,2,207.8,177.055054021107,0.503774860816147,1,0,0
"13685",13685,805,2,207.8,53.0025968571264,0.221743222152731,1,0,0
"13686",13686,805,2,207.8,153.055147735682,0.212540359107243,1,0,0
"13687",13687,805,2,207.8,123.043438612075,0.19599235718436,1,0,0
"13688",13688,805,2,207.8,91.0541683485283,0.13663481750575,1,0,0
"13709",13709,840,2,216.92,57.0700173939236,1,1,3625,0
"13710",13710,840,2,216.92,91.054148017447,0.989145091008066,1,3625,0
"13719",13719,869,2,218.15,143.01693595902,1,1,4415,0
"13720",13720,869,2,218.15,89.0059042086646,0.400141980006409,1,4415,0
"13721",13721,869,2,218.15,329.214328836732,0.213567033108529,1,4415,0
"13722",13722,869,2,218.15,115.021605652777,0.134891185696708,1,4415,0
"13723",13723,869,2,218.15,161.02599132666,0.09210467207369,1,4415,0
"13724",13724,869,2,218.15,73.0284837234392,0.0295627412476992,1,4415,0
"13725",13725,869,2,218.15,738.078989937049,0.0245303176950533,1,4415,0
"13730",13730,882,2,203.038,69.0701102506865,1,1,0,0
"13731",13731,882,2,203.038,57.0700738988757,0.960128759692274,1,0,0
"13732",13732,882,2,203.038,127.075360592682,0.600331231986504,1,0,0
"13733",13733,882,2,203.038,211.096981925744,0.424722237331269,1,0,0
"13734",13734,882,2,203.038,261.148670103276,0.423063975426718,1,0,0
"13735",13735,882,2,203.038,85.0646546094681,0.3945734907954,1,0,0
"13736",13736,882,2,203.038,345.207460266616,0.339909961866347,1,0,0
"13737",13737,882,2,203.038,155.033385359244,0.322971010054476,1,0,0
"13738",13738,882,2,203.038,279.157533669545,0.30060169434468,1,0,0
"13739",13739,882,2,203.038,71.0130539550722,0.239183413616808,1,0,0
"13740",13740,882,2,203.038,53.0026808026484,0.211835043573233,1,0,0
"13741",13741,882,2,203.038,193.086336551861,0.203065325216143,1,0,0
"13742",13742,882,2,203.038,205.087309126009,0.189813345530376,1,0,0
"13743",13743,882,2,203.038,81.070003658808,0.187532851397498,1,0,0
"13744",13744,882,2,203.038,79.0542132572031,0.1685922239582,1,0,0
"13745",13745,882,2,203.038,327.194777033947,0.151198195201541,1,0,0
"13746",13746,882,2,203.038,163.076326247255,0.129283139901244,1,0,0
"13747",13747,882,2,203.038,67.0546114273051,0.120375208798583,1,0,0
"13748",13748,882,2,203.038,105.070216946321,0.109394369470156,1,0,0
"13749",13749,882,2,203.038,137.023387017778,0.10917304798427,1,0,0
"13750",13750,882,2,203.038,119.0856950124,0.0995716358859272,1,0,0
"13751",13751,882,2,203.038,243.140316419632,0.094401948857921,1,0,0
"13752",13752,882,2,203.038,55.0182216925768,0.09111580662918,1,0,0
"13753",13753,882,2,203.038,109.065602400246,0.0833251625907704,1,0,0
"13754",13754,882,2,203.038,53.0388334668018,0.0802279876476482,1,0,0
"13755",13755,882,2,203.038,68.9972095467726,0.0785691194050113,1,0,0
"13762",13762,892,2,224.973,105.070209961336,1,1,3867,0
"13763",13763,892,2,224.973,79.054177660793,0.131094196268704,1,3867,0
"13764",13764,892,2,224.973,103.054623604553,0.102170149782065,1,3867,0
"13765",13765,892,2,224.973,119.048637656719,0.0937367123686629,1,3867,0
"13766",13766,892,2,224.973,91.054237957328,0.0657170856395639,1,3867,0
"13767",13767,892,2,224.973,53.0389208919101,0.0598126685307217,1,3867,0
"13768",13768,892,2,224.973,69.0336628877301,0.020619094802997,1,3867,0
"13774",13774,960,2,206.414,57.0700711562909,1,1,0,0
"13775",13775,960,2,206.414,69.0700646806457,0.801229180772424,1,0,0
"13776",13776,960,2,206.414,325.178695269369,0.551493066494468,1,0,0
