"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy"
"1",1,0,1,578.503,70.0651651321479,16431632,1,0,0
"5",5,0,1,566.043,72.0807993876263,1067314.75,1,0,0
"12",12,0,1,1210.11,72.080818349277,1025769.125,1,0,0
"15",15,0,1,468.47,73.0647880230726,925079.4375,1,0,0
"19",19,0,1,656.24,76.039316182226,1047793.6875,1,0,0
"24",24,0,1,1027.66,76.0756988501034,1636355.75,1,0,0
"33",33,0,1,562.308,81.0335144644793,766053,1,0,0
"37",37,0,1,632.557,83.0602445276253,705789.625,1,0,0
"42",42,0,1,486.476,84.0443749595922,2827970.75,1,0,0
"46",46,0,1,566.043,84.0807111409836,978819.375,1,0,0
"51",51,0,1,667.614,85.0283720521331,3757659.5,1,0,0
"55",55,0,1,465.819,85.0283813659101,2102897,1,0,0
"67",67,0,1,415.512,86.0599619263574,1211292.75,1,0,0
"70",70,0,1,646.272,86.0600076183665,8953359,1,0,0
"78",78,0,1,1005.22,86.0600237507468,1433368.625,1,0,0
"82",82,0,1,1018.27,86.0600258752468,532986.625,1,0,0
"86",86,0,1,280.189,86.096374895524,1282799.125,1,0,0
"93",93,0,1,519.739,86.0964166132901,2307827.75,1,0,0
"99",99,0,1,646.272,87.0440553511009,12338473,1,0,0
"105",105,0,1,636.289,87.0552762407339,735020.5,1,0,0
"111",111,0,1,434.59,89.059678377409,787915.5625,1,0,0
"123",123,0,1,908.712,89.0709238988431,1793272.5,1,0,0
"131",131,0,1,645.032,90.054941057095,2888840.5,1,0,0
"138",138,0,1,433.349,90.0549725604957,695324.875,1,0,0
"141",141,0,1,631.311,90.0549727485875,6755740,1,0,0
"148",148,0,1,804.705,90.0913641833316,2163393,1,0,0
"171",171,0,1,402.687,96.0443678393419,1281763.5,1,0,0
"176",176,0,1,389.139,96.0443805331737,1998793.875,1,0,0
"185",185,0,1,667.614,97.0284197090037,5013418,1,0,0
"191",191,0,1,467.234,97.0284288668015,1216976.875,1,0,0
"209",209,0,1,382.583,98.0600509167651,1188735.25,1,0,0
"216",216,0,1,371.973,98.0600603614323,1189845,1,0,0
"223",223,0,1,603.462,98.9839778261056,961194.125,1,0,0
"239",239,0,1,444.648,99.0440545306074,588544.0625,1,0,0
"246",246,0,1,587.22,99.0440740542271,1300673.5,1,0,0
"262",262,0,1,444.648,102.054967770645,4110953.5,1,0,0
"270",270,0,1,1002.67,103.08658556962,3137810.25,1,0,0
"275",275,0,1,415.512,104.070516405109,18100776,1,0,0
"288",288,0,1,646.272,104.07054507208,118432208,1,0,0
"298",298,0,1,933.275,104.106854503117,1231442304,1,0,0
"309",309,0,1,603.462,104.10689496717,4361059.5,1,0,0
