"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy","fragment_bin_id","loss_bin_id"
"10682",10682,541,2,162.584,160.966382069635,1,1,513,0,"160.96638","89.08407"
"10689",10689,570,2,186.604,111.055533541279,1,1,730,0,"111.05554","27.9948"
"10698",10698,680,2,205.149,121.065035436367,1,1,1769,0,"121.06491",NA
"10699",10699,680,2,205.149,103.054593244472,0.18077023334886,1,0,0,"103.05449",NA
"10700",10700,680,2,205.149,91.054235872634,0.145760991123328,1,0,0,"91.05412",NA
"10701",10701,680,2,205.149,93.0697817860115,0.120976690109868,1,0,0,"93.06982",NA
"10702",10702,680,2,205.149,53.0389556484597,0.0956329207583483,1,0,0,"53.03889",NA
"10703",10703,680,2,205.149,51.023376735442,0.0298563791826167,1,3088,0,"51.0234",NA
"10705",10705,694,2,195.035,70.0652045248343,1,1,0,0,"70.06515","18.01049"
"10706",10706,701,2,206.778,246.050026852476,1,1,3374,0,"246.05003",NA
"10714",10714,755,2,199.065,195.028636154207,1,1,0,0,"195.0291",NA
"10715",10715,755,2,199.065,275.126900165545,0.893520247472004,1,970,0,"275.12757","142.13569"
"10716",10716,755,2,199.065,219.064576506826,0.739305527989024,1,2363,0,"219.06545",NA
"10717",10717,755,2,199.065,81.0338483844661,0.340132491277369,1,0,0,"81.0334",NA
"10718",10718,755,2,199.065,109.028544620998,0.289365441668059,1,1841,0,"109.02879",NA
"10719",10719,755,2,199.065,219.101231667106,0.254714012836718,1,0,0,"219.10207","198.16164"
"10720",10720,755,2,199.065,293.137220181927,0.197457711127709,1,0,0,"293.13721","124.12507"
"10721",10721,755,2,199.065,69.0700591381601,0.190411392935365,1,0,0,"69.07013",NA
"10722",10722,755,2,199.065,177.018920408925,0.151096604768197,1,857,0,"177.01894",NA
"10723",10723,755,2,199.065,53.0391610634728,0.115978236078612,1,2046,0,"53.03889",NA
"10724",10724,755,2,199.065,151.040258456799,0.107941086986044,1,0,0,"151.04026",NA
"10740",10740,761,2,205.005,261.113346065044,1,1,0,0,"261.11335",NA
"10741",10741,761,2,205.005,205.048657685722,0.739910360817761,1,0,0,"205.04866",NA
"10742",10742,761,2,205.005,195.029556448968,0.320899931587785,1,1428,0,"195.0291",NA
"10743",10743,761,2,205.005,81.0334566848144,0.179031004375841,1,0,0,"81.0334",NA
"10744",10744,761,2,205.005,177.055173151647,0.142958123321507,1,2391,0,"177.0548",NA
"10745",10745,761,2,205.005,109.028767287597,0.109398398893448,1,0,0,"109.02879",NA
"10746",10746,761,2,205.005,53.0389173259437,0.0889511159477848,1,1422,0,"53.03889",NA
"10747",10747,761,2,205.005,91.0543137923531,0.0816983593855804,1,0,0,"91.05412",NA
"10748",10748,761,2,205.005,55.018211496056,0.0575997748018358,1,1958,0,"55.01825",NA
"10749",10749,761,2,205.005,103.054507047857,0.0525519815337671,1,2754,0,"103.05449",NA
"10750",10750,761,2,205.005,69.0700968443898,0.0494577383315408,1,1453,0,"69.07013",NA
"10751",10751,761,2,205.005,219.102444872904,0.0492751971220869,1,0,0,"219.10207",NA
"10752",10752,761,2,205.005,175.03870268868,0.0491040731714264,1,0,0,"175.03864",NA
"10753",10753,761,2,205.005,79.054155927172,0.0472210039199809,1,0,0,"79.05416",NA
"10754",10754,761,2,205.005,159.044365988252,0.0446431840916317,1,0,0,"159.04437",NA
"10774",10774,768,2,208.434,201.12797728745,1,1,3306,0,"201.12805",NA
"10775",10775,768,2,208.434,295.17133157966,0.553180180460908,1,3306,0,"295.17133","18.00857"
"10776",10776,768,2,208.434,173.132246680414,0.543721055278044,1,3306,0,"173.13232",NA
"10777",10777,768,2,208.434,131.084767339249,0.541067821986931,1,3306,0,"131.08496","182.09479"
"10778",10778,768,2,208.434,128.062076472499,0.433582686174524,1,3306,0,"128.06199",NA
"10779",10779,768,2,208.434,91.0540415283812,0.429015671142796,1,3306,0,"91.05412",NA
"10780",10780,768,2,208.434,143.085152877917,0.401609497101564,1,3306,0,"143.08515",NA
"10781",10781,768,2,208.434,129.069964439369,0.374978911543241,1,3306,0,"129.06995","184.10964"
"10782",10782,768,2,208.434,239.092015075153,0.343195192559402,1,3306,0,"239.0919",NA
"10783",10783,768,2,208.434,159.080494767287,0.284169665951981,1,3306,0,"159.08049",NA
"10784",10784,768,2,208.434,115.054327262363,0.240086143171438,1,3306,0,"115.05433","198.12544"
"10797",10797,782,2,208.577,91.0541129324665,1,1,0,0,"91.05412",NA
"10798",10798,782,2,208.577,128.062008260041,0.861204434668767,1,1056,0,"128.06199",NA
"10811",10811,793,2,217.51,341.174138677098,1,1,4211,0,"341.17414",NA
"10812",10812,793,2,217.51,359.184951015223,0.979797804021896,1,4211,0,"359.18495",NA
"10813",10813,793,2,217.51,69.0701028144128,0.85121034022579,1,4211,0,"69.07013",NA
"10814",10814,793,2,217.51,57.0700076098082,0.811014580072867,1,4211,0,"57.07006",NA
"10825",10825,796,2,200.217,195.029121289138,1,1,0,0,"195.0291",NA
"10826",10826,796,2,200.217,233.081738352911,0.68641559852205,1,1961,0,"233.08174",NA
"10827",10827,796,2,200.217,289.141979265439,0.607079504793299,1,0,0,"289.14236","142.13569"
"10828",10828,796,2,200.217,219.102529648077,0.453392641652943,1,0,0,"219.10207",NA
"10829",10829,796,2,200.217,81.0332403237901,0.450603736400541,1,0,0,"81.03324",NA
"10830",10830,796,2,200.217,109.029045186509,0.294287471145188,1,2468,0,"109.02879",NA
"10831",10831,796,2,200.217,69.0700716272691,0.155007221478405,1,158,0,"69.07013",NA
"10832",10832,796,2,200.217,53.038804275378,0.153235768748818,1,348,0,"53.03889",NA
"10833",10833,796,2,200.217,275.166640719967,0.149033950976098,1,326,0,"275.16664",NA
"10834",10834,796,2,200.217,177.018952419528,0.144012698905694,1,0,0,"177.01894",NA
"10842",10842,797,2,204.44,176.876146894815,1,1,0,0,"176.87609",NA
"10848",10848,798,2,211.906,57.0700194148033,1,1,0,0,"57.07006",NA
"10859",10859,803,2,233.101,81.0701664257849,1,1,1304,0,"81.06999","172.07315"
"10860",10860,803,2,233.101,91.0540571228749,0.86883847624282,1,0,0,"91.05412","162.08891"
"10863",10863,806,2,206.497,201.128417820008,1,1,4395,0,"201.12805",NA
"10864",10864,806,2,206.497,57.0700211402637,0.853876314688594,1,4395,0,"57.07006",NA
"10865",10865,806,2,206.497,131.08489470717,0.841747784527832,1,4395,0,"131.08496",NA
"10866",10866,806,2,206.497,98.9837217848534,0.760616084163486,1,4395,0,"98.98386",NA
"10867",10867,806,2,206.497,173.132069165679,0.672553178919198,1,4395,0,"173.13232",NA
"10868",10868,806,2,206.497,91.053878384718,0.546242322421959,1,4395,0,"91.05412",NA
"10869",10869,806,2,206.497,115.054312332808,0.381334851588456,1,4395,0,"115.05433",NA
"10870",10870,806,2,206.497,105.070168375765,0.380370356990481,1,4395,0,"105.07017",NA
"10871",10871,806,2,206.497,85.0647429321962,0.373805801017327,1,4395,0,"85.06474",NA
"10872",10872,806,2,206.497,129.069947695106,0.37022107619619,1,4395,0,"129.06995","198.12544"
"10873",10873,806,2,206.497,116.061688168413,0.338821063548343,1,4395,0,"116.06169",NA
"10874",10874,806,2,206.497,225.126868209242,0.310366142838865,1,4395,0,"225.12687","102.06816"
"10875",10875,806,2,206.497,159.08047412739,0.306568726989604,1,4395,0,"159.08049",NA
"10876",10876,806,2,206.497,158.108673933404,0.287638089337087,1,4395,0,"158.10867","169.0852"
"10877",10877,806,2,206.497,117.0703372355,0.273873330659467,1,4395,0,"117.07028",NA
"10892",10892,817,2,212.587,69.0701146233544,1,1,0,0,"69.07013",NA
"10893",10893,817,2,212.587,91.0541479779736,0.780085077217282,1,0,0,"91.05412",NA
"10901",10901,826,2,231.289,69.0702046443941,1,1,3144,0,"69.07013",NA
"10902",10902,826,2,231.289,57.069972949087,0.635020687861954,1,3144,0,"57.07006",NA
"10903",10903,826,2,231.289,221.081260017733,0.538691188512954,1,3144,0,"221.08113",NA
"10904",10904,826,2,231.289,91.054077110435,0.506775157540517,1,3144,0,"91.05412",NA
"10905",10905,826,2,231.289,293.137157528565,0.501673314841694,1,3144,0,"293.13721","154.13654"
"10906",10906,826,2,231.289,361.201193414364,0.46063315155368,1,3144,0,"361.20089","86.07314"
"10907",10907,826,2,231.289,105.07014274091,0.427029887084406,1,3144,0,"105.07017",NA
"10908",10908,826,2,231.289,67.0544891972529,0.410227069746885,1,3144,0,"67.05453",NA
"10927",10927,827,2,231.289,69.0702046443941,1,1,125,0,"69.07013",NA
"10928",10928,827,2,231.289,57.069972949087,0.635020687861954,1,1143,0,"57.07006",NA
"10929",10929,827,2,231.289,221.081260017733,0.538691188512954,1,3559,0,"221.08113",NA
"10930",10930,827,2,231.289,91.054077110435,0.506775157540517,1,2570,0,"91.05412",NA
"10931",10931,827,2,231.289,293.137157528565,0.501673314841694,1,783,0,"293.13721","154.13654"
