9," ""Small nitrogen containing fragment ion - often proline or ornithine derived""",,
193," ""Water loss - indicative of a free hydroxyl group""",,
273," ""Combined loss of H2O and CO"," suggests free carboxylic acid group (COOH) substructure""",
189," ""Loss of [hexose-H2O] - suggests hexose conjugation (e.g. glucose) substructure""",,
169," ""Leucine substructure""",,
149," ""Conjugation of a phosphate group (H4O4P) substructure""",,
250," ""Losses indicative of a hexose with NH2 group""",,
28," ""Fragments possibly indicative for N-Methyl-oxo-pyrrolidinecarboxylic acid like structure""",,
170," ""Pyroglutamic acid (pyroglutamate) substructure""",,
205," ""Amine loss - suggests free NH2 group in fragmented molecule""",,
89," ""Double water loss - indicative for metabolites containing multiple OH groups and aliphatic chain"," e.g. as in sugars""",
202," ""[proline-H2O] suggests conjugated proline substructure""",,
36," ""Loss possibly indicative of carboxylic acid group with 1-carbon attached""",,
68," ""Alkyl aromatic substructure - suggests aromatic ring with 2-carbon alkyl chain attached""",,
79," ""Pipecolic acid (pipecolate) substructure""",,
243," ""Trimethylated amine connected to a carboxylic acid group substructure (e.g. betaine)""",,
69," ""Cytosine and a loss of conjugated deoxyribose substructure""",,
24," ""Adenine substructure""",,
157," ""Cinnamic acid (cinnamate) substructure""",,
47," ""Histidine substructure""",,
110," ""[phenylalanine-COOH] substructure""",,
11," ""Guanine substructure""",,
256," ""Ferulic acid substructure""",,
185," ""Ethylphenol substructure (e.g. resulting from Tyramine - MzCloud)""",,
164," ""Possibly suggests 2-OH-4-oxo-pentanoic acid substructure""",,
286," ""Possibly suggests agmatine based substructure (C5H15N4)"," with unknown conjugation""",
52," ""fragments from [hexose-H2O] substructure (a hexose conjugation"," e.g. glucose)""",
67," ""Aconitic acid (aconitate) substructure""",,
8," ""Tyrosine substructure""",,
78," ""5-methylcytosine substructure""",,
181," ""N-acetylputrescine substructure""",,
84," ""Aromatic substructure", i.e.," benzene ring with hydroxyl and amine substitution"""
99," ""[Pentose-H2O] loss"," e.g. ribose""",
