"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy"
"1",1,0,1,513.332,71.0135759140659,28435418,1,0,0
"3",3,0,1,645.005,72.9927926712931,614248.375,1,0,0
"6",6,0,1,514.569,72.992878547495,1808711.625,1,0,0
"8",8,0,1,613.559,73.0292114770643,8947691,1,0,0
"10",10,0,1,409.944,73.0292593127084,603041.125,1,0,0
"12",12,0,1,624.859,74.0245157382017,481741.8125,1,0,0
"14",14,0,1,613.559,74.0325996084918,372599.46875,1,0,0
"16",16,0,1,692.909,74.9935935309969,373298.59375,1,0,0
"19",19,0,1,387.405,75.0085554529456,39756852,1,0,0
"29",29,0,1,514.569,75.008582994237,1078950.5,1,0,0
"31",31,0,1,377.122,77.012836170985,414108.34375,1,0,0
"34",34,0,1,396.801,77.0128400682565,401083.625,1,0,0
"37",37,0,1,649.956,78.9588865455879,2328946.25,1,0,0
"40",40,0,1,553.362,78.9589143396842,920950.75,1,0,0
"42",42,0,1,442.9,82.0297501990009,713445,1,0,0
"45",45,0,1,411.236,83.0138109100945,2788534,1,0,0
"49",49,0,1,689.109,85.0294747340347,3264669.5,1,0,0
"51",51,0,1,276.998,85.0658766537141,782861.625,1,0,0
"53",53,0,1,695.39,87.0087112653678,2471380.75,1,0,0
"55",55,0,1,425.28,87.0087940115351,34993124,1,0,0
"68",68,0,1,409.944,87.0451869502097,26290618,1,0,0
"74",74,0,1,396.801,87.0451884527601,4437796,1,0,0
"80",80,0,1,424.04,88.01215805732,1274683.75,1,0,0
"83",83,0,1,591.201,88.0404510498047,1677262.375,1,0,0
"85",85,0,1,435.348,88.0404533518665,404510.96875,1,0,0
"87",87,0,1,409.944,88.048552299196,1231216.25,1,0,0
"90",90,0,1,704.204,88.9881209976288,2236913.5,1,0,0
"97",97,0,1,426.637,89.0130978470661,322206.84375,1,0,0
"104",104,0,1,465.401,89.0244673281136,183095888,1,0,0
"114",114,0,1,388.825,89.0608815633188,1829140.875,1,0,0
"121",121,0,1,369.281,89.0608873391451,1654931.5,1,0,0
"128",128,0,1,465.401,90.0277510313981,5752867.5,1,0,0
"132",132,0,1,692.909,90.9714048319474,1450119.125,1,0,0
"140",140,0,1,466.647,91.0286817807148,1248588.875,1,0,0
"149",149,0,1,514.569,91.0400620641578,482385664,1,0,0
"158",158,0,1,514.569,92.043431256053,17088322,1,0,0
"170",170,0,1,510.819,92.0463221446741,396958.28125,1,0,0
"182",182,0,1,515.805,93.0442656277489,3906721.25,1,0,0
"194",194,0,1,378.363,94.0298616910545,1191105.875,1,0,0
