STDMix,Compound Name,Formula,Polarity,Detected m/z,Actual RT,Adduct1 H+
1,1-Naphthylacetic acid,C12H10O2,+,187.07535,4.16,54057
1,Serotonin,C10H12N2O,+,177.10242,4.32,97472
1,Melatonin,C13H16N2O2,+,233.12831,4.6,642246756
1,Phenylhydrazine,C6H8N2,+,109.07608,5.03,5947432
1,Nicotinate,C6H5NO2,+,124.03932,6.87,761863744
1,Pyridoxine,C8H11NO3,+,170.0811,7.26,1744299213
1,riboflavin,C17H20N4O6,+,377.14548,7.54,9255138
1,Glycerol,C3H8O3,+,93.05468,8,2873527
1,Adenine,C5H5N5,+,136.06174,8.2,167402201
1,Creatinine,C4H7N3O,+,114.06613,8.28,1055015474
1,L-Phenylalanine,C9H11NO2,+,166.0862,8.33,54983812
1,L-Leucine,C6H13NO2,+,132.10185,8.68,178751219
1,4-Aminobenzoate,C7H7NO2,+,138.05498,8.52,21075822
1,Inosine,C10H12N4O5,+,269.08783,8.8,59555340
1,2-Phenylglycine,C8H9NO2,+,152.07066,7.24,52368552
1,Selenomethionine,C5H11NO2Se,+,192.00856,8.98,1204510
1,L-Methionine,C5H11NO2S,+,150.05827,9.02,237439616
1,Imidazole-4-acetate,C5H6N2O2,+,127.05019,8.87,591056553
1,L-Tryptophan,C11H12N2O2,+,205.0972,9.25,85868328
1,N-Acetyl-D-glucosamine,C8H15NO6,+,222.0972,9.17,40293668
1,Cytidine,C9H13N3O5,+,244.09267,9.36,109541168
1,Guanine,C5H5N5O,+,152.05673,9.83,48549375
1,L-Valine,C5H11NO2,+,118.08617,9.51,94664961
1,L-Proline,C5H9NO2,+,116.07052,9.68,551809540
1,sn-glycero-3-Phosphocholine,C8H20NO6P,+,258.10983,10.13,600267181
1,L-Threonine,C4H9NO3,+,120.06553,10.32,41668297
1,trans-4-Hydroxy-L-proline,C5H9NO3,+,132.06543,10.38,181788617
1,L-Histidine,C6H9N3O2,+,156.07669,10.38,135748481
1,N2-Acetyl-L-lysine,C8H16N2O3,+,189.12335,10.47,274050538
1,D-Glucosamine,C6H13NO5,+,180.08659,10.71,33959746
1,L-Glutamine,C5H10N2O3,+,147.07628,10.55,196459361
1,Taurine,C2H7NO3S,+,126.02196,10.71,6621584
1,L-Aspartate,C4H7NO4,+,134.04468,10.34,3993775
1,L-Asparagine,C4H8N2O3,+,133.06073,10.64,14474836
1,beta-Alanine,C3H7NO2,+,90.05495,10.77,42118740
1,Glycine,C2H5NO2,+,76.03931,10.98,939664
1,dGMP,C10H14N5O7P,+,348.07013,10.38,5793276
1,L-Serine,C3H7NO3,+,106.0499,10.96,5023721
1,Ethanolamine phosphate,C2H8NO4P,+,142.02641,10.79,2184874
1,L-Citrulline,C6H13N3O3,+,176.10294,10.94,150086389
1,L-Cystine,C6H12N2O4S2,+,241.03096,10.77,2724121
1,meso-2_6-Diaminoheptanedioate,C7H14N2O4,+,191.10257,11.74,24997648
1,L-2_4-Diaminobutanoate,C4H10N2O2,+,119.08153,12.39,8581862
1,Thiamin,C12H16N4OS,+,265.11157,16.19,86997239
1,L-Lysine,C6H14N2O2,+,147.11275,15.46,27170994
1,L-Arginine,C6H14N4O2,+,175.11894,16.6,81114888
1,Spermidine,C7H19N3,+,146.1653,10.92,197078
1,Phenolsulfonphthalein,C19H14O5S,-,353.04938,5.11,44919165
1,Thymidine,C10H14N2O5,-,241.0833,6.71,21414579
1,MOPS,C7H15NO4S,-,208.06503,6.56,71192728
1,Pyruvate,C3H4O3,-,87.00881,7.21,14963773
1,Deoxyuridine,C9H12N2O5,-,227.06773,7.4,11838596
1,4-Coumarate,C9H8O3,-,163.04024,7.25,73970699
1,pyrazinoate,C5H4N2O2,-,123.02004,7.58,7430049
1,(R)-3-Hydroxybutanoate,C4H8O3,-,103.04008,7.71,34808878
1,3'_5'-Cyclic AMP,C10H12N5O6P,-,328.04565,7.82,26823290
1,Uridine,C9H12N2O6,-,243.0625,8.36,3158130
1,D-glucose,C6H12O6,-,179.05627,10.99,436879
1,Orotate,C5H4N2O4,-,155.00993,8.3,85112693
1,L-Rhamnose,C6H12O5,-,163.06136,9.03,284977
1,Xanthine,C5H4N4O2,-,151.02618,9.03,1995407
1,3_4-Dihydroxyphenylacetate,C8H8O4,-,167.03503,9.78,3680140
1,Phthalate,C8H6O4,-,165.01933,9.93,322794547
1,D-Gluconic acid,C6H12O7,-,195.05112,9.99,27716306
1,UMP,C9H13N2O9P,-,323.02902,9.78,7867442
1,Thiamin diphosphate,C12H18N4O7P2S,-,423.03067,10.31,1011017
1,L-Glutamate,C5H9NO4,-,146.04593,10.14,11446357
1,IMP,C10H13N4O8P,-,347.04031,10.33,347567
1,Methylmalonate,C4H6O4,-,117.01927,10.27,107937606
1,CMP,C9H14N3O8P,-,322.04495,10.29,7210430
1,(R)-2-Hydroxyglutarate,C5H8O5,-,147.02992,10.37,143469746
1,L-Cysteate,C3H7NO5S,-,167.99727,10.8,69597968
1,D-ribose 5-phosphate,C5H11O8P,-,229.01205,10.57,4347736
1,Malonate,C3H4O4,-,103.00367,10.7,125719984
1,D-Galacturonate,C6H10O7,-,193.03543,11.04,30516859
1,Fumarate,C4H4O4,-,115.00365,10.87,11522806
1,D-glucose 6-phosphate,C6H13O9P,-,259.02264,10.99,2230488
1,D-Galactarate,C6H10O8,-,209.03043,11.28,12791479
1,Phosphoenolpyruvate,C3H5O6P,-,166.97516,11.34,24680309
1,6-Phospho-D-gluconate,C6H13O10P,-,275.01773,11.34,1638193
1,cis-Aconitate,C6H6O6,-,173.00916,11.56,193468263
1,Gallate,C7H6O5,-,169.0143,12.53,80877321
2,Dopamine,C8H11NO2,+,154.0862,4.79,40341
2,Thiopurine S-methylether,C6H6N4S,+,167.03845,6.29,634543936
2,5'-Methylthioadenosine,C11H15N5O3S,+,298.09711,6.49,390153184
2,Nicotinamide,C6H6N2O,+,123.05511,6.68,685030490
2,4-(beta-Acetylaminoethyl)imidazole,C7H11N3O,+,154.09747,6.95,1379768122
2,Pyridoxal,C8H9NO3,+,168.06543,7.16,608319049
2,6-Methylaminopurine,C6H7N5,+,150.07741,7.3,775948865
2,Deoxyadenosine,C10H13N5O3,+,252.10889,7.4,454320908
2,Pantothenate,C9H17NO5,+,220.11797,7.38,181716297
2,Uracil,C4H4N2O2,+,113.03453,7.72,1527604
2,Picolinic acid,C6H5NO2,+,124.03933,7.55,113954470
2,thymine,C5H6N2O2,+,127.05025,7.03,11481343
2,Adenosine,C10H13N5O4,+,268.10388,7.89,345087256
2,Hypoxanthine,C5H4N4O,+,137.04578,8.57,35869148
2,5-Oxoproline,C5H7NO3,+,130.04996,8.19,210756304
2,HEPES,C8H18N2O4S,+,239.10619,8.23,267895472
2,L-Kynurenine,C10H12N2O3,+,209.09196,8.76,68356288
2,Betaine,C5H11NO2,+,118.0863,8.91,1013664457
2,cytosine,C4H5N3O,+,112.05048,9.21,411004000
2,FAD,C27H33N9O15P2,+,786.16376,8.42,6358408
2,L-isoleucine,C6H13NO2,+,132.1019,9.19,418656568
2,Methylcysteine,C4H9NO2S,+,136.04269,9.13,20173226
2,Ala-Gly,C5H10N2O3,+,147.07646,9,39837364
2,Guanosine,C10H13N5O5,+,284.09857,9.66,1116780
2,dAMP,C10H14N5O6P,+,332.07513,9.06,108266808
2,1-Aminocyclopropane-1-carboxylate,C4H7NO2,+,102.05495,9.49,28384760
2,N(pi)-Methyl-L-histidine,C7H11N3O2,+,170.09233,9.45,336747680
2,L-Carnitine,C7H15NO3,+,162.1125,9.83,181991312
2,Eflornithine,C6H12F2N2O2,+,183.09406,9.87,156069088
2,L-Tyrosine,C9H11NO3,+,182.08125,5.64,24434979
2,4-Trimethylammoniobutanoate,C7H15NO2,+,146.11751,9.72,2679002692
2,S-Adenosyl-L-homocysteine,C14H20N6O5S,+,385.12888,9.66,25534442
2,AMP,C10H14N5O7P,+,348.0704,9.51,38047904
2,Glycylglycine,C4H8N2O3,+,133.06082,9.83,9148713
2,Phenol,C6H6O,+,95.04906,4.18,135561
2,D-Glucosamine-6-phosphate,C6H14NO8P,+,260.05276,10.78,945023
2,L-Alanine,C3H7NO2,+,90.055,10.56,5523150
2,Choline phosphate,C5H14NO4P,+,184.07321,10.25,983609153
2,dCMP,C9H14N3O7P,+,308.06418,9.99,9706832
2,L-2-Aminoadipate,C6H11NO4,+,162.07599,10.23,17816216
2,L-homoserine,C4H9NO3,+,120.06561,10.63,91565828
2,N-Acetylornithine,C7H14N2O3,+,175.10773,10.58,225278559
2,4-Aminobutanoate,C4H9NO2,+,104.0705,10.82,146788884
2,L-Cystathionine,C7H14N2O4S,+,223.07465,11.19,3162790
2,agmatine,C5H14N4,+,131.1292,11.57,82848
2,Spermine,C10H26N4,+,203.22292,11.01,83041
2,Choline,C5H13NO,+,104.10692,15.25,220669227
2,1-Aminopropan-2-ol,C3H9NO,+,76.07569,15.64,10069281
2,L-Ornithine,C5H12N2O2,+,133.09711,14.52,27688528
2,5-Methoxytryptamine,C11H14N2O,+,191.11812,6.49,345956
2,L-2_3-Diaminopropanoate,C3H8N2O2,+,105.06589,10.91,409019
2,1_3-Diaminopropane,C3H10N2,+,75.09167,12.31,13318
2,Taurocholate,C26H45NO7S,-,514.28528,4.93,20545422
2,Lipoate,C8H14O2S2,-,205.03639,4.62,35589796
2,Phenylacetylglycine,C10H11NO3,-,192.06679,5.99,441162734
2,Phenylpyruvate,C9H8O3,-,163.04015,4.6,291781674
2,D-Threose,C4H8O4,-,119.035,8.03,991064
2,succinate semialdehyde,C4H6O3,-,101.02439,7.98,415159928
2,N-Acetylglutamine,C7H12N2O4,-,187.07257,8.28,56097376
2,3-(4-Hydroxyphenyl)pyruvate,C9H8O4,-,179.0351,6.26,74661263
2,D-Ribose,C5H10O5,-,149.04556,9.39,126233
2,FMN,C17H21N4O9P,-,455.09821,8.52,3522007
