cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	G1	G2	G3	G4	G5	G6	AllFiles	AllGroups	DefaultGroups	RTMean	RTStdErr	ProteoSAFeClusterLink	UniqueFileSourcesCount	EvenOdd
2	7	72.08	0	72.08	6.39183e+06	5	2	0	0	0	0	Urine_37_Top10_POS.mzXML:4260###Urine_37_Top10_POS.mzXML:6207###Urine_37_Top10_POS.mzXML:7596###Urine_37_Top10_POS.mzXML:7751###Urine_37_Top10_POS.mzXML:8157###Urine_64_Top10_POS.mzXML:4325###Urine_64_Top10_POS.mzXML:5862###	 	G1,G2,	961.924142857	251.829383637	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=2	2	1
4	8	74.068	0	74.068	7.614e+07	6	2	0	0	0	0	Urine_37_Top10_POS.mzXML:5088###Urine_37_Top10_POS.mzXML:5295###Urine_37_Top10_POS.mzXML:5340###Urine_37_Top10_POS.mzXML:5400###Urine_37_Top10_POS.mzXML:5502###Urine_37_Top10_POS.mzXML:5903###Urine_64_Top10_POS.mzXML:5088###Urine_64_Top10_POS.mzXML:5358###	 	G1,G2,	802.3125	37.0586423312	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=4	2	1
5	5	74.1	0	74.1	997272	3	2	0	0	0	0	Urine_37_Top10_POS.mzXML:6048###Urine_37_Top10_POS.mzXML:6168###Urine_37_Top10_POS.mzXML:7002###Urine_64_Top10_POS.mzXML:5741###Urine_64_Top10_POS.mzXML:5839###	 	G1,G2,	930.982	63.967011885	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=5	2	1
6	2	75.07	0	75.07	585292	2	0	0	0	0	0	Urine_37_Top10_POS.mzXML:5273###Urine_37_Top10_POS.mzXML:5565###	 	G1,	799.3395	31.6112086529	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=6	1	0
7	96	76.078	0	76.078	1.04797e+09	57	39	0	0	0	0	Urine_37_Top10_POS.mzXML:248###Urine_37_Top10_POS.mzXML:338###Urine_37_Top10_POS.mzXML:430###Urine_37_Top10_POS.mzXML:617###Urine_37_Top10_POS.mzXML:709###Urine_37_Top10_POS.mzXML:800###Urine_37_Top10_POS.mzXML:889###Urine_37_Top10_POS.mzXML:977###Urine_37_Top10_POS.mzXML:1069###Urine_37_Top10_POS.mzXML:1159###Urine_37_Top10_POS.mzXML:3222###Urine_37_Top10_POS.mzXML:3346###Urine_37_Top10_POS.mzXML:3375###Urine_37_Top10_POS.mzXML:3398###Urine_37_Top10_POS.mzXML:3441###Urine_37_Top10_POS.mzXML:3467###Urine_37_Top10_POS.mzXML:3588###Urine_37_Top10_POS.mzXML:3711###Urine_37_Top10_POS.mzXML:4168###Urine_37_Top10_POS.mzXML:4536###Urine_37_Top10_POS.mzXML:4539###Urine_37_Top10_POS.mzXML:4774###Urine_37_Top10_POS.mzXML:4882###Urine_37_Top10_POS.mzXML:5097###Urine_37_Top10_POS.mzXML:5203###Urine_37_Top10_POS.mzXML:5309###Urine_37_Top10_POS.mzXML:5516###Urine_37_Top10_POS.mzXML:5615###Urine_37_Top10_POS.mzXML:5731###Urine_37_Top10_POS.mzXML:5949###Urine_37_Top10_POS.mzXML:6271###Urine_37_Top10_POS.mzXML:6374###Urine_37_Top10_POS.mzXML:6475###Urine_37_Top10_POS.mzXML:6569###Urine_37_Top10_POS.mzXML:6664###Urine_37_Top10_POS.mzXML:6759###Urine_37_Top10_POS.mzXML:7114###Urine_37_Top10_POS.mzXML:7196###Urine_37_Top10_POS.mzXML:7273###Urine_37_Top10_POS.mzXML:7351###Urine_37_Top10_POS.mzXML:7438###Urine_37_Top10_POS.mzXML:7521###Urine_37_Top10_POS.mzXML:7607###Urine_37_Top10_POS.mzXML:7761###Urine_37_Top10_POS.mzXML:7836###Urine_37_Top10_POS.mzXML:7913###Urine_37_Top10_POS.mzXML:7991###Urine_37_Top10_POS.mzXML:8165###Urine_37_Top10_POS.mzXML:8317###Urine_37_Top10_POS.mzXML:8407###Urine_37_Top10_POS.mzXML:8504###Urine_37_Top10_POS.mzXML:8695###Urine_37_Top10_POS.mzXML:8788###Urine_37_Top10_POS.mzXML:8874###Urine_37_Top10_POS.mzXML:8948###Urine_37_Top10_POS.mzXML:9023###Urine_37_Top10_POS.mzXML:9097###Urine_64_Top10_POS.mzXML:55###Urine_64_Top10_POS.mzXML:138###Urine_64_Top10_POS.mzXML:305###Urine_64_Top10_POS.mzXML:387###Urine_64_Top10_POS.mzXML:474###Urine_64_Top10_POS.mzXML:553###Urine_64_Top10_POS.mzXML:632###Urine_64_Top10_POS.mzXML:717###Urine_64_Top10_POS.mzXML:883###Urine_64_Top10_POS.mzXML:1048###Urine_64_Top10_POS.mzXML:1204###Urine_64_Top10_POS.mzXML:3194###Urine_64_Top10_POS.mzXML:3293###Urine_64_Top10_POS.mzXML:3431###Urine_64_Top10_POS.mzXML:4022###Urine_64_Top10_POS.mzXML:4195###Urine_64_Top10_POS.mzXML:4310###Urine_64_Top10_POS.mzXML:4507###Urine_64_Top10_POS.mzXML:4902###Urine_64_Top10_POS.mzXML:5092###Urine_64_Top10_POS.mzXML:5371###Urine_64_Top10_POS.mzXML:5572###Urine_64_Top10_POS.mzXML:5669###Urine_64_Top10_POS.mzXML:6127###Urine_64_Top10_POS.mzXML:6208###Urine_64_Top10_POS.mzXML:6288###Urine_64_Top10_POS.mzXML:6449###Urine_64_Top10_POS.mzXML:6686###Urine_64_Top10_POS.mzXML:6979###Urine_64_Top10_POS.mzXML:7134###Urine_64_Top10_POS.mzXML:7208###Urine_64_Top10_POS.mzXML:7280###Urine_64_Top10_POS.mzXML:7353###Urine_64_Top10_POS.mzXML:7427###Urine_64_Top10_POS.mzXML:7754###Urine_64_Top10_POS.mzXML:7904###Urine_64_Top10_POS.mzXML:8085###Urine_64_Top10_POS.mzXML:8171###Urine_64_Top10_POS.mzXML:8398###	 	G1,G2,	779.315661146	437.005800182	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=7	2	1
10	3	77.075	0	77.075	9.52721e+06	2	1	0	0	0	0	Urine_37_Top10_POS.mzXML:3306###Urine_37_Top10_POS.mzXML:3545###Urine_64_Top10_POS.mzXML:3295###	 	G1,G2,	518.790333333	16.3257117864	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=10	2	0
11	3	78.96	0	78.96	931433	1	2	0	0	0	0	Urine_37_Top10_POS.mzXML:428###Urine_64_Top10_POS.mzXML:379###Urine_64_Top10_POS.mzXML:1015###	 	G1,G2,	112.904866667	70.3187068126	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=11	2	1
13	7	78.96	0	78.96	2.66859e+06	3	4	0	0	0	0	Urine_37_Top10_POS.mzXML:884###Urine_37_Top10_POS.mzXML:8385###Urine_37_Top10_POS.mzXML:8680###Urine_64_Top10_POS.mzXML:860###Urine_64_Top10_POS.mzXML:1097###Urine_64_Top10_POS.mzXML:7937###Urine_64_Top10_POS.mzXML:8032###	 	G1,G2,	835.160857143	617.863126073	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=13	2	1
21	7	79.99	0	79.99	1.76012e+06	7	0	0	0	0	0	Urine_37_Top10_POS.mzXML:420###Urine_37_Top10_POS.mzXML:514###Urine_37_Top10_POS.mzXML:699###Urine_37_Top10_POS.mzXML:1060###Urine_37_Top10_POS.mzXML:1150###Urine_37_Top10_POS.mzXML:8372###Urine_37_Top10_POS.mzXML:9001###	 	G1,	483.3569	601.796566507	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=21	1	0
22	26	83.042	0	83.042	9.67363e+06	11	15	0	0	0	0	Urine_37_Top10_POS.mzXML:4279###Urine_37_Top10_POS.mzXML:5049###Urine_37_Top10_POS.mzXML:5360###Urine_37_Top10_POS.mzXML:5464###Urine_37_Top10_POS.mzXML:5564###Urine_37_Top10_POS.mzXML:6209###Urine_37_Top10_POS.mzXML:6517###Urine_37_Top10_POS.mzXML:6809###Urine_37_Top10_POS.mzXML:6902###Urine_37_Top10_POS.mzXML:7840###Urine_37_Top10_POS.mzXML:8319###Urine_64_Top10_POS.mzXML:1548###Urine_64_Top10_POS.mzXML:4033###Urine_64_Top10_POS.mzXML:4743###Urine_64_Top10_POS.mzXML:5113###Urine_64_Top10_POS.mzXML:5291###Urine_64_Top10_POS.mzXML:5795###Urine_64_Top10_POS.mzXML:5982###Urine_64_Top10_POS.mzXML:6151###Urine_64_Top10_POS.mzXML:6310###Urine_64_Top10_POS.mzXML:6477###Urine_64_Top10_POS.mzXML:6857###Urine_64_Top10_POS.mzXML:6933###Urine_64_Top10_POS.mzXML:7010###Urine_64_Top10_POS.mzXML:7384###Urine_64_Top10_POS.mzXML:7459###	 	G1,G2,	926.915807692	226.123911428	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=0a4d1b0c25d14ce887c3aaa3587cf383&view=cluster_details&protein=22	2	0
