"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy"
"645",645,0,1,205.273,447.221859413331,539241.6875,1,0,0
"654",654,0,1,210.053,433.260084599584,357587.375,1,0,0
"657",657,0,1,205.273,745.395779183645,460818.59375,1,3628,0
"678",678,0,1,211.569,303.160679134288,410599.21875,1,2009,0
"683",683,0,1,205.273,401.234005971354,334127.28125,1,0,0
"709",709,0,1,203.804,429.265314469794,725009.8125,1,0,0
"722",722,0,1,208.874,339.200386451679,757008.5,1,0,0
"727",727,0,1,210.39,297.15325850435,478243.71875,1,0,0
"737",737,0,1,210.053,311.169263347116,1369636.875,1,0,0
"787",787,0,1,208.874,325.18492671714,1308123.25,1,0,0
"828",828,0,1,215.776,319.191998554149,374755.875,1,0,0
"860",860,0,1,219.826,287.096217025561,548748.6875,1,0,0
"951",951,0,1,210.39,473.218878694657,1142469.625,1,0,0
"959",959,0,1,225.948,274.14870054118,427656.625,1,0,0
"1062",1062,0,1,226.809,286.166358217722,544496.1875,1,1879,0
"1110",1110,0,1,211.569,334.174743475481,1132722.375,1,0,0
"1207",1207,0,1,222.389,290.176612584589,1396972.625,1,1909,0
"1220",1220,0,1,204.537,415.249708256316,2051517.625,1,0,0
"1222",1222,0,1,210.39,431.24476329787,401031.59375,1,0,0
"1260",1260,0,1,210.053,487.234594603875,1001587.9375,1,0,0
"1316",1316,0,1,234.473,258.171320922687,355764.46875,1,1648,0
"1356",1356,0,1,218.928,395.208165783672,796455.6875,1,0,0
"1357",1357,0,1,214.911,447.2393564185,343648.28125,1,2946,0
"1361",1361,0,1,241.693,231.160396297654,297906.625,1,0,0
"1365",1365,0,1,243.056,308.198575777333,414832.125,1,0,0
"1367",1367,0,1,231.522,313.239037751553,547238.1875,1,0,0
"1387",1387,0,1,208.874,391.213395554154,1665769,1,0,0
"1394",1394,0,1,233.439,228.160707418473,1098685,1,1366,0
"1398",1398,0,1,233.439,351.145598085137,567642.0625,1,0,0
"1424",1424,0,1,221.797,381.192691067839,691132.5,1,0,0
"1433",1433,0,1,239.581,299.198086813647,1281808.625,1,0,0
"1565",1565,0,1,233.439,303.124267212797,489590.5625,1,0,0
"1581",1581,0,1,241.693,385.166423952692,409321.78125,1,0,0
"1609",1609,0,1,249.497,260.114203976749,442924.96875,1,0,0
"1759",1759,0,1,238.684,295.1554447251,533509.1875,1,1955,0
"1792",1792,0,1,221.797,351.181889652998,1982194.25,1,2364,0
"1824",1824,0,1,246.885,269.103378392251,371148.84375,1,0,0
"1827",1827,0,1,211.569,380.2165374034,1431771.75,1,0,0
"1838",1838,0,1,231.522,317.139984878391,724964.25,1,0,0
"1876",1876,0,1,239.581,409.187505497404,860196.375,1,2726,0
"1957",1957,0,1,287.206,220.098148004085,249526.625,1,1280,0
"1982",1982,0,1,261.218,280.166915567282,710279.125,1,0,0
"2026",2026,0,1,260.629,395.20805795632,350267.96875,1,0,0
"2027",2027,0,1,232.412,397.187360429445,815835,1,0,0
"2046",2046,0,1,227.783,242.176531042581,1548073,1,0,0
"2076",2076,0,1,241.693,244.155655781065,1144296.5,1,0,0
"2086",2086,0,1,211.569,333.171450463086,4697125.5,1,0,0
"2108",2108,0,1,276.63,262.075755005177,452462.125,1,0,0
"2124",2124,0,1,222.389,263.129131719765,4767222,1,0,0
"2125",2125,0,1,250.114,263.129176359326,676288.625,1,0,0
"2131",2131,0,1,228.651,321.13489877304,1404453.625,1,0,0
"2132",2132,0,1,256.488,321.134940273462,606206.625,1,2144,0
"2161",2161,0,1,262.899,538.257043004392,629348.9375,1,3296,0
"2166",2166,0,1,267.672,207.087591522529,423830.34375,1,0,0
"2217",2217,0,1,274.989,421.152758583551,320816.4375,1,2801,0
"2229",2229,0,1,281.658,300.182016022599,342342.96875,1,0,0
"2275",2275,0,1,240.826,281.139736329416,1448543.25,1,0,0
"2278",2278,0,1,210.053,317.176309311364,19831276,1,0,0
"2319",2319,0,1,208.874,331.192146924344,10734137,1,0,0
"2322",2322,0,1,249.497,353.14007380286,1512162.75,1,0,0
"2362",2362,0,1,255.897,255.160496869568,109549.6484375,1,0,0
"2367",2367,0,1,240.826,265.108447345825,939591.75,1,0,0
"2369",2369,0,1,280.792,297.134714413335,409026.28125,1,0,0
"2384",2384,0,1,243.631,335.150691568523,1112254.875,1,0,0
"2386",2386,0,1,280.792,340.188164718968,409924.59375,1,0,0
"2392",2392,0,1,227.162,411.203203434343,1135897.375,1,0,0
"2451",2451,0,1,276.63,189.077010270988,935491.75,1,0,0
"2455",2455,0,1,252.379,195.030037176224,657822.625,1,0,0
"2462",2462,0,1,236.923,214.145152761044,6988386,1,0,0
"2474",2474,0,1,266.588,249.058949434011,590967.8125,1,0,0
"2483",2483,0,1,235.225,306.171587593279,6877069,1,0,0
"2487",2487,0,1,286.726,319.133709704389,414314.75,1,0,0
"2493",2493,0,1,244.22,339.124317187645,274310.4375,1,0,0
"2507",2507,0,1,211.569,377.197410166717,29198212,1,0,0
"2520",2520,0,1,251.618,413.182459104429,435068.46875,1,0,0
"2568",2568,0,1,283.296,401.241047441224,366189.8125,1,0,0
"2632",2632,0,1,294.098,262.113720361121,547285.625,1,0,0
"2659",2659,0,1,286.726,196.092439425421,1307124.625,1,0,0
"2686",2686,0,1,218.928,393.192667675564,1912589.875,1,0,0
"2687",2687,0,1,286.726,393.192542026154,1386962.375,1,0,0
"2696",2696,0,1,241.693,427.197972798789,804794.4375,1,0,0
