"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy","fragment_bin_id","loss_bin_id"
"11671",11671,645,2,203.732,383.227017665863,44696.9453125,1,0,0,"383.22702",NA
"11672",11672,645,2,203.732,271.097495467502,15379.85546875,1,0,0,"271.0975",NA
"11676",11676,654,2,208.384,301.148309807138,14916.005859375,1,0,0,"301.14789",NA
"11682",11682,657,2,205.062,361.20030353131,91181.765625,1,3628,0,"361.2003",NA
"11683",11683,657,2,205.062,221.081782738073,48278.48828125,1,3628,0,"221.08122",NA
"11684",11684,657,2,205.062,249.077654105556,27273.458984375,1,3628,0,"249.07705",NA
"11685",11685,657,2,205.062,125.060695023265,16633.345703125,1,3628,0,"125.06066",NA
"11686",11686,657,2,205.062,207.067044240023,14311.9443359375,1,3628,0,"207.067",NA
"11688",11688,678,2,210.664,234.089442483085,19920.35546875,1,2009,0,"234.08944","69.07148"
"11689",11689,678,2,210.664,97.0298286529206,16996.04296875,1,2009,0,"97.02986",NA
"11690",11690,678,2,210.664,191.071483411274,11047.884765625,1,2009,0,"191.07146",NA
"11691",11691,678,2,210.664,170.022912706026,8446.189453125,1,2009,0,"170.02291",NA
"11692",11692,678,2,210.664,166.028326534576,7887.3671875,1,2009,0,"166.02833",NA
"11700",11700,683,2,206.922,259.099362197757,9406.5810546875,1,0,0,"259.09939",NA
"11706",11706,709,2,201.352,259.099871785524,19630.681640625,1,0,0,"259.09939",NA
"11707",11707,709,2,201.352,371.222125735171,16330.9853515625,1,0,0,"371.22212",NA
"11708",11708,709,2,201.352,301.147460398809,10512.6064453125,1,0,0,"301.14789",NA
"11714",11714,722,2,205.596,183.012136463146,122228.890625,1,0,0,"183.0121",NA
"11715",11715,722,2,205.596,119.049949875198,43483.97265625,1,0,0,"119.0499",NA
"11716",11716,722,2,205.596,79.9577041027478,22159.341796875,1,0,0,"79.95759",NA
"11717",11717,722,2,205.596,197.028483807611,9224.8095703125,1,0,0,"197.02848",NA
"11723",11723,727,2,209.84,183.01206380737,93264.8125,1,0,0,"183.0121",NA
"11724",11724,727,2,209.84,119.049956033508,29975.548828125,1,0,0,"119.0499",NA
"11725",11725,727,2,209.84,79.9575337765581,15910.1455078125,1,0,0,"79.95759",NA
"11730",11730,737,2,206.295,183.012151211093,134850.6875,1,0,0,"183.0121",NA
"11731",11731,787,2,205.201,183.012035168966,121374.921875,1,0,0,"183.0121",NA
"11732",11732,787,2,205.201,119.050053697436,45022.078125,1,0,0,"119.0499",NA
"11733",11733,787,2,205.201,79.9574427169976,16461.162109375,1,0,0,"79.95759",NA
"11740",11740,828,2,217.204,125.060891583813,14548.337890625,1,0,0,"125.06066",NA
"11741",11741,828,2,217.204,250.086227760292,9464.08203125,1,0,0,"250.08623",NA
"11752",11752,860,2,219.481,96.9601680981989,201523.453125,1,0,0,"96.96019",NA
"11753",11753,860,2,219.481,79.9576862409063,13237.2373046875,1,0,0,"79.95759",NA
"11754",11754,951,2,206.437,249.114265323416,20671.296875,1,0,0,"249.11417",NA
"11755",11755,951,2,206.437,111.045202288848,13932.7392578125,1,0,0,"111.04523",NA
"11756",11756,951,2,206.437,91.0192105005755,11412.54296875,1,0,0,"91.01918",NA
"11757",11757,951,2,206.437,178.064203628423,8492.609375,1,0,0,"178.0642",NA
"11765",11765,959,2,224.989,148.04394412468,13030.2978515625,1,0,0,"148.04412","126.10481"
"11772",11772,1062,2,224.851,59.013526075944,62614.2578125,1,1879,0,"59.01349",NA
"11774",11774,1110,2,207.061,265.102530934523,46243.375,1,0,0,"265.10253","69.07148"
"11775",11775,1110,2,207.061,264.102140303021,18563.478515625,1,0,0,"264.10214",NA
"11776",11776,1110,2,207.061,194.054402562629,17629.8828125,1,0,0,"194.0544",NA
"11777",11777,1110,2,207.061,193.05065109495,13496.8330078125,1,0,0,"193.05058",NA
"11778",11778,1110,2,207.061,97.0298206696094,7618.16943359375,1,0,0,"97.02986",NA
"11788",11788,1207,2,219.754,164.07165588945,45334.9765625,1,1909,0,"164.07173","126.10481"
"11789",11789,1207,2,219.754,147.045008666482,14530.2275390625,1,1909,0,"147.04491",NA
"11790",11790,1207,2,219.754,142.123979480988,6674.61376953125,1,1909,0,"142.12401",NA
"11794",11794,1220,2,200.404,259.098946937978,15366.9580078125,1,0,0,"259.09939",NA
"11795",11795,1220,2,200.404,217.086661854548,8759.6240234375,1,0,0,"217.08666",NA
"11796",11796,1220,2,200.404,287.129670505995,8575.5791015625,1,0,0,"287.12967",NA
"11797",11797,1220,2,200.404,371.222114152122,8305.7392578125,1,0,0,"371.22212",NA
"11807",11807,1222,2,209.98,111.045197607269,12248.71875,1,0,0,"111.04523",NA
"11808",11808,1222,2,209.98,249.113789119757,8525.16015625,1,0,0,"249.11417",NA
"11813",11813,1260,2,205.738,263.128948520984,25378.40234375,1,0,0,"263.12888",NA
"11814",11814,1260,2,205.738,125.060836975252,17810.583984375,1,0,0,"125.06066",NA
"11828",11828,1316,2,233.094,74.0244752812497,17276.578125,1,1648,0,"74.02448",NA
"11829",11829,1316,2,233.094,228.161426964839,11863.70703125,1,1648,0,"228.16143",NA
"11833",11833,1356,2,208.664,263.092435834304,46016.9765625,1,0,0,"263.09244",NA
"11834",11834,1356,2,208.664,235.099283731967,20670.671875,1,0,0,"235.09928",NA
"11835",11835,1356,2,208.664,326.141971853374,20594.42578125,1,0,0,"326.14197",NA
"11836",11836,1356,2,208.664,262.083281902249,14436.4345703125,1,0,0,"262.08328",NA
"11837",11837,1356,2,208.664,238.083717660344,11693.4150390625,1,0,0,"238.0837",NA
"11838",11838,1356,2,208.664,91.0192198808851,10505.08984375,1,0,0,"91.01918",NA
"11839",11839,1356,2,208.664,182.023063115454,9817.5927734375,1,0,0,"182.02306",NA
"11840",11840,1356,2,208.664,293.142793703859,9489.8564453125,1,0,0,"293.14279",NA
"11841",11841,1356,2,208.664,164.047913162805,9316.9072265625,1,0,0,"164.04767",NA
"11842",11842,1356,2,208.664,97.0298660580771,8503.1025390625,1,0,0,"97.02986",NA
"11843",11843,1356,2,208.664,269.140178753072,7475.0556640625,1,0,0,"269.14025",NA
"11844",11844,1356,2,208.664,125.024909315081,7164.107421875,1,0,0,"125.02487",NA
"11854",11854,1357,2,213.804,78.9588621170922,21319.8984375,1,2946,0,"78.959",NA
"11855",11855,1357,2,213.804,111.045160318955,11302.9130859375,1,2946,0,"111.04523",NA
"11856",11856,1361,2,240.618,59.0136128636779,15317.26171875,1,0,0,"59.01349",NA
"11858",11858,1365,2,243.558,110.072713611639,44884.640625,1,0,0,"110.07274",NA
"11859",11859,1365,2,243.558,154.062229999413,21806.025390625,1,0,0,"154.06233",NA
"11860",11860,1365,2,243.558,93.0461745079802,9773.84765625,1,0,0,"93.04614",NA
"11861",11861,1365,2,243.558,81.045938973522,7891.15576171875,1,0,0,"81.04596",NA
"11867",11867,1367,2,227.574,183.138876948721,14015.6435546875,1,0,0,"183.13891",NA
"11868",11868,1367,2,227.574,99.0814034087868,6960.54443359375,1,0,0,"99.08149",NA
"11869",11869,1367,2,227.574,295.22898138052,6112.271484375,1,0,0,"295.22898","18.01"
"11876",11876,1387,2,204.325,322.143355768895,60429.91015625,1,0,0,"322.14336",NA
"11877",11877,1387,2,204.325,179.034698396363,29343.8671875,1,0,0,"179.03479",NA
"11878",11878,1387,2,204.325,83.0136870372305,10777.3818359375,1,0,0,"83.01371",NA
"11879",11879,1387,2,204.325,91.0191644202743,9295.7392578125,1,0,0,"91.01918",NA
"11880",11880,1387,2,204.325,137.025334056913,7103.72119140625,1,0,0,"137.0253",NA
"11883",11883,1394,2,229.2,74.0244828838495,54771.734375,1,1366,0,"74.02448",NA
