,87.04487_554.696,96.96078_685.527,107.05017_470.729,110.96054_432.886,111.01458_272.814,112.03608_623.431,113.05482_489.709,113.06086_276.668,115.00365_527.979,116.04682_661.862,117.01944_608.091,118.04936_615.704,119.03494_482.122,121.02952_406.382,121.05069_550.857,122.025_615.704,125.99483_634.882,127.05138_627.202,128.03534_478.319,129.01938_669.721,129.01943_432.886,129.06106_268.887,130.06187_623.431,131.03516_554.696,133.01017_631.049,133.05071_432.886,135.02991_535.545,136.94246_681.564,137.03243_474.517,138.0199_569.813,141.01942_470.729,141.06397_268.887,143.03496_654.083,143.03617_417.737,144.03806_485.892,144.0667_440.462,145.06192_627.202,146.04592_654.083,147.03006_608.091,149.04552_482.122,149.04548_531.775,150.05583_406.382,151.03155_470.729,151.0611_577.441,152.92115_681.564,154.0625_615.704,155.01076_482.122,156.06674_280.436,157.05083_569.813,158.08236_276.668,158.07462_554.696,159.00695_448.049,159.06631_547.055,161.04567_577.441,163.06128_482.122,164.06831_493.554,165.04063_581.342,166.01507_615.704,166.01804_440.462,167.0215_558.499,167.10786_253.095,170.08242_272.814,171.05165_505.025,171.03567_615.704,172.02592_611.934,172.04018_417.737,173.00912_669.721,172.99141_268.887,173.063_516.446,174.04078_589.013,174.05673_436.656,174.97426_665.757,175.06119_527.979,178.05099_280.436,179.05611_527.979,180.0662_581.342,181.03681_474.517,181.05081_444.232,181.072_608.091,182.04607_265.01,182.02811_413.967,182.91295_1254.1,185.07604_516.446,187.00717_245.26,188.05678_569.813,188.05716_429.059,189.0405_497.408,190.03396_611.934,191.01982_685.527,191.05647_554.696,191.09257_284.436,193.03539_646.336,194.04597_436.656,194.92824_685.527,196.92384_685.527,197.04722_455.603,197.06802_508.833,198.11299_253.095,199.0977_466.93,199.17044_220.901,200.12954_249.142,201.02283_229.098,203.00218_261,203.08293_550.857,204.98128_343.436,205.15993_233.201,206.0574_569.813,206.9972_268.887,207.08758_459.374,209.0667_524.152,211.07063_413.967,212.00243_413.967,212.12592_241.288,212.99495_681.564,213.11347_451.819,213.11343_296.221,217.04814_608.091,216.98121_738.782,218.04926_288.428,218.997_406.382,222.0985_573.638,222.99198_436.656,224.02361_600.547,224.06202_233.201,227.10851_608.091,229.0539_212.525,230.01283_410.199,232.97621_879.828,233.01327_406.382,234.06184_596.67,235.03952_466.93,235.11761_257.206,236.04631_650.143,239.01754_638.655,239.07594_451.819,239.11473_596.67,240.00478_608.091,241.04038_489.709,241.11962_272.814,241.11948_406.382,242.01307_398.637,243.00897_634.882,243.06239_554.696,244.90934_1254.1,245.02684_615.704,245.07902_493.554,245.0668_216.67,246.00882_413.967,246.07516_237.1,246.99182_774.198,246.98691_701.854,248.02264_726.908,248.05976_527.979,249.0221_634.882,249.01593_531.775,251.05103_623.431,252.01892_604.321,254.98174_841.706,255.13524_272.814,255.14411_406.382,256.05957_581.342,258.00802_440.462,259.0129_714.352,260.02343_406.382,260.0234_642.456,263.02322_463.16,263.1037_280.436,269.06019_489.709,269.15087_265.01,271.0672_543.241,273.00787_619.588,274.00235_642.456,276.00053_394.64,279.09864_455.603,279.13462_257.206,280.99734_634.882,281.11867_268.887,282.86769_1254.1,283.08312_413.967,285.08217_535.545,287.05282_539.385,288.9874_685.527,291.99573_276.668,298.86181_1254.1,299.12458_524.152,300.03985_459.374,303.0184_592.876,303.07482_429.059,308.09993_566.042,310.95756_681.564,311.07096_413.967,317.12849_265.01,320.06243_705.969,325.13045_265.01,326.08813_508.833,331.17611_261,334.89646_1203.52,335.05092_558.499,336.99413_638.655,341.12469_261,345.1558_276.668,349.02097_604.321,350.03893_497.408,352.08631_220.901,355.03566_654.083,356.0991_470.729,358.06058_535.545,367.10539_531.775,369.17417_212.525,371.97976_642.456,372.07616_463.16,375.13015_581.342,379.03424_646.336,383.15362_220.901,391.10964_592.876,408.92469_681.564,418.04548_436.656,426.05516_265.01,430.73965_1254.1,453.85014_1203.52,465.24948_257.206,481.24434_272.814,738.75805_1203.52
69.03424,41566.328125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152493.65625,NA,NA,NA,NA,NA,NA,21812.783203125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69.03372,13052.986328125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117273.7109375,NA,NA,NA,NA,NA,NA,25437.015625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69.03502,6639.4169921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79.95701,NA,3298695.5,NA,52070.76171875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6712.447265625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45462.65625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25974.8046875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,937511.9375,NA,NA,NA,NA,NA,NA,NA,NA,603384.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23615920,NA,NA,NA,NA,NA,NA,NA,83133.0078125,NA,NA,NA,NA,NA,NA,NA,NA,NA,52743.12890625,575447.5,NA,1060299.375,NA,NA,713134.8125,NA,NA,NA,4623987,NA,54648.26953125,12250.1689453125,NA,NA,NA,NA,101766.9296875,NA,897098.5625,206969.5625,379186.875,NA,153151.4375,NA,NA,NA,NA,167076.28125,67778.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260602.9375,NA,88087.6953125,NA,NA,NA,NA,686251.6875,NA,NA,187329.828125,NA,NA,NA,8163.2041015625,154422,8939.712890625,NA,152478.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168931.4375,NA,NA,NA,NA,NA,280088.8125,NA,NA,NA,93350.546875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346019.4375,NA,NA,NA,NA,124127.0390625,NA,NA,215856.5,NA,NA,NA,NA,NA,NA
79.95636,NA,3224957.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47671.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17500.015625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407917.59375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,616565.6875,NA,NA,NA,4259429.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,508230.46875,222930.578125,NA,NA,110192.3203125,NA,NA,NA,NA,57242.703125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172300.5,NA,NA,NA,NA,NA,NA,726486.625,NA,NA,92050.078125,NA,NA,NA,9692.4228515625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91231.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232454.0625,NA,NA,NA,NA,NA,NA
78.95859,NA,1594915.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565557,NA,NA,58082.50390625,NA,NA,NA,NA,77051.7421875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51397.62109375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24332.3515625,NA,NA,NA,NA,NA,NA,NA,460639.96875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1041742.5625,NA,NA,NA,NA,31471.853515625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97830.4921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79.95772,NA,1610081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468980.28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369572.8125,NA,NA,NA,2333315.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105799.953125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90342.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78332.1015625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93.03445,NA,NA,5836.6557617188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5005.794921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166589.796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4124205.75,NA,NA,NA,NA,NA,NA,NA,36288.71484375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2513420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9509860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194521.3125,NA,NA,NA,NA,NA,NA,198337.96875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109901.21875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234522.46875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95.05007,NA,NA,5053.0087890625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25530.984375,NA,NA,NA,31419.876953125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95.93439,NA,NA,NA,201722.65625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30447.587890625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
