"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy"
"241",241,0,1,208.298,325.184838252301,450178,1,0,0
"674",674,0,1,233.649,217.090627261141,435245.8125,1,0,0
"751",751,0,1,225.515,346.169894865204,351997.15625,1,0,0
"754",754,0,1,187,358.80002989669,352908.375,1,0,0
"898",898,0,1,236.888,248.096338205952,3834826.5,1,0,0
"968",968,0,1,222.216,361.096994902882,541854.25,1,2671,0
"973",973,0,1,215.724,369.174620538803,3670777.25,1,0,0
"984",984,0,1,225.515,427.179998943087,437176.65625,1,3030,0
"1117",1117,0,1,233.649,228.160725554036,606337.5625,1,0,0
"1137",1137,0,1,220.544,269.212586661352,1276483.25,1,0,0
"1191",1191,0,1,225.515,377.070643293686,496178.625,1,2774,0
"1202",1202,0,1,220.544,410.049357228829,599290.625,1,0,0
"1312",1312,0,1,230.34,275.059922850786,1023869.0625,1,1962,0
"1371",1371,0,1,225.515,442.191200778911,1351143.375,1,0,0
"1383",1383,0,1,189.926,182.93143377534,775897.375,1,0,0
"1387",1387,0,1,227.138,213.022975609544,819013.5625,1,0,0
"1388",1388,0,1,235.246,213.149900664566,569702.25,1,0,0
"1395",1395,0,1,243.361,234.109814113185,1862229.625,1,0,0
"1407",1407,0,1,218.942,245.067339508442,5838843,1,0,0
"1460",1460,0,1,235.246,344.071565552167,3115008.25,1,2541,0
"1461",1461,0,1,217.371,356.117969080021,4274892.5,1,0,0
"1469",1469,0,1,230.34,151.040036116618,545200.9375,1,0,0
"1475",1475,0,1,240.118,297.182299324038,958842.3125,1,0,0
"1481",1481,0,1,240.118,600.286341907625,1536967.125,1,3479,0
"1531",1531,0,1,243.361,333.156144149455,1580834.375,1,0,0
"1559",1559,0,1,243.361,389.182449863321,940153.75,1,0,0
"1578",1578,0,1,227.138,386.173207365885,1592524,1,2827,0
"1590",1590,0,1,246.451,295.166684970834,1009660.25,1,2157,0
"1591",1591,0,1,243.361,369.15606769908,1614425.125,1,0,0
"1595",1595,0,1,252.632,437.182432814621,1081299.625,1,3074,0
"1599",1599,0,1,252.632,512.079717603883,2191806,1,3333,0
"1607",1607,0,1,241.801,159.029944591956,5393645.5,1,0,0
"1613",1613,0,1,240.118,288.61997989984,3283736.5,1,0,0
"1627",1627,0,1,241.801,183.030127679616,1094163.625,1,0,0
"1637",1637,0,1,259.103,429.213464172515,1078765,1,0,0
"1643",1643,0,1,252.632,263.050060369509,1350099.5,1,0,0
"1661",1661,0,1,240.118,299.639152434399,13387713,1,2193,0
"1676",1676,0,1,246.451,266.085948256103,2474508,1,0,0
"1682",1682,0,1,235.246,441.15976614438,1314032.625,1,3095,0
"1710",1710,0,1,260.716,279.13540997907,1521101,1,0,0
"1721",1721,0,1,252.632,367.140354313829,2618502,1,2713,0
"1724",1724,0,1,232.023,394.054180331796,1881750.25,1,0,0
"1770",1770,0,1,260.716,314.097567696593,1662415.75,1,0,0
"1781",1781,0,1,265.318,253.108545522694,1225560.5,1,0,0
"1783",1783,0,1,266.907,307.636772975471,961526,1,2268,0
"1788",1788,0,1,246.451,443.175323517975,1210861.375,1,0,0
"1816",1816,0,1,274.751,382.170272577914,837714,1,0,0
"1829",1829,0,1,238.487,205.159911345041,1261199.25,1,1210,0
