"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy","fragment_bin_id","loss_bin_id"
"13660",13660,431,2,216.789,316.133832644519,24886.7109375,1,0,0,"316.13383",NA
"13661",13661,431,2,216.789,127.012748823626,7605.8251953125,1,0,0,"127.01268",NA
"13666",13666,1140,2,220.671,370.060847555428,14610.330078125,1,3367,0,"370.06085","79.95759"
"13667",13667,1186,2,223.579,174.88690566094,51449.4140625,1,0,0,"174.88691",NA
"13668",13668,1186,2,223.579,176.875858851245,21382.447265625,1,0,0,"176.87586",NA
"13671",13671,1245,2,219.495,223.134201626752,67079.1328125,1,0,0,"223.1342",NA
"13672",13672,1245,2,219.495,135.044166996266,15789.23046875,1,0,0,"135.04424",NA
"13673",13673,1245,2,219.495,153.054862247875,8455.7138671875,1,0,0,"153.0549",NA
"13674",13674,1245,2,219.495,65.0386679772646,6362.40673828125,1,0,0,"65.03876",NA
"13683",13683,1261,2,220.528,91.0540941911442,27504.1171875,1,0,0,"91.05405",NA
"13684",13684,1261,2,220.528,97.0643694358623,16919.59375,1,0,0,"97.06456",NA
"13685",13685,1261,2,220.528,127.012629221919,15542.509765625,1,0,0,"127.01268",NA
"13686",13686,1261,2,220.528,285.186072425568,13967.716796875,1,0,0,"285.18607","97.96652"
"13687",13687,1261,2,220.528,67.0544415788091,12574.837890625,1,0,0,"67.0545",NA
"13688",13688,1261,2,220.528,79.0540586081932,12543.216796875,1,0,0,"79.0541",NA
"13689",13689,1261,2,220.528,129.069824544453,10294.09375,1,0,0,"129.06982",NA
"13690",13690,1261,2,220.528,119.085526340391,10127.7734375,1,0,0,"119.0856",NA
"13691",13691,1261,2,220.528,117.070225535338,9019.779296875,1,0,0,"117.07022",NA
"13692",13692,1261,2,220.528,128.015145051567,8759.2109375,1,0,0,"128.01522",NA
"13693",13693,1261,2,220.528,143.084997790078,7967.87353515625,1,0,0,"143.08502",NA
"13694",13694,1261,2,220.528,53.0387583417599,7140.16259765625,1,0,0,"53.03885",NA
"13695",13695,1261,2,220.528,131.084833659636,6674.26171875,1,0,0,"131.08488",NA
"13717",13717,1590,2,237.114,157.050334854651,393306.4375,1,0,0,"157.0504",NA
"13718",13718,1590,2,237.114,55.0182160588257,15906.4169921875,1,0,0,"55.01819",NA
"13719",13719,1592,2,215.631,67.0545194583436,12983.322265625,1,2040,0,"67.0545",NA
"13720",13720,1592,2,215.631,95.0852489416478,12830.8603515625,1,2040,0,"95.08533",NA
"13721",13721,1592,2,215.631,81.0699314382141,10998.927734375,1,2040,0,"81.06995",NA
"13722",13722,1592,2,215.631,57.0703621812055,8726.921875,1,2040,0,"57.0702",NA
"13723",13723,1592,2,215.631,69.0700370202188,7668.115234375,1,2040,0,"69.07006",NA
"13724",13724,1592,2,215.631,55.0545666362574,7502.25830078125,1,2040,0,"55.05462",NA
"13725",13725,1592,2,215.631,109.101147792387,6917.82177734375,1,2040,0,"109.10116",NA
"13733",13733,1723,2,227.367,207.090861989367,63734.55859375,1,0,0,"207.09079",NA
"13734",13734,1723,2,227.367,205.075889160968,37535.140625,1,0,0,"205.07596",NA
"13735",13735,1723,2,227.367,180.08010854475,29424.60546875,1,0,0,"180.08042",NA
"13736",13736,1723,2,227.367,152.061136552004,21642.755859375,1,0,0,"152.06117",NA
"13737",13737,1723,2,227.367,235.09937064634,15831.34375,1,0,0,"235.09937",NA
"13738",13738,1723,2,227.367,206.085344555419,13860.5009765625,1,0,0,"206.08526",NA
"13739",13739,1723,2,227.367,339.162424559856,12546.154296875,1,0,0,"339.16195",NA
"13740",13740,1723,2,227.367,165.069723124088,12146.2646484375,1,0,0,"165.06972",NA
"13741",13741,1723,2,227.367,192.081782356015,9603.5322265625,1,0,0,"192.08177",NA
"13742",13742,1723,2,227.367,169.052853255576,9161.830078125,1,0,0,"169.05285",NA
"13743",13743,1723,2,227.367,153.069283993614,7965.1640625,1,0,0,"153.06939",NA
"13744",13744,1723,2,227.367,214.065882554663,7389.1015625,1,0,0,"214.06586",NA
"13759",13759,1735,2,228.965,328.112634190173,64088.41796875,1,3441,0,"328.11263",NA
"13760",13760,1735,2,228.965,152.017011218311,23086.119140625,1,3441,0,"152.01701",NA
"13761",13761,1735,2,228.965,233.98564344738,21078.548828125,1,3441,0,"233.98564",NA
"13762",13762,1735,2,228.965,179.026001525307,20482.888671875,1,3441,0,"179.026",NA
"13763",13763,1735,2,228.965,384.08140546275,17685.072265625,1,3441,0,"384.08141",NA
"13764",13764,1735,2,228.965,161.070421946718,10188.990234375,1,3441,0,"161.07046",NA
"13765",13765,1735,2,228.965,91.0540356670765,5263.177734375,1,3441,0,"91.05405",NA
"13769",13769,1795,2,225.298,86.0964800014636,51676.39453125,1,1897,0,"86.09648",NA
"13770",13770,1795,2,225.298,132.101647142168,38056.2265625,1,1897,0,"132.10153",NA
"13771",13771,1795,2,225.298,55.054664910586,28843.306640625,1,1897,0,"55.05462","201.13556"
"13772",13772,1795,2,225.298,97.10083406305,10991.5029296875,1,1897,0,"97.10086","159.08947"
"13779",13779,1851,2,218.452,274.143020514066,133580.34375,1,0,0,"274.14302","79.95759"
"13780",13780,1851,2,218.452,115.054112115124,95189.671875,1,0,0,"115.05421",NA
"13781",13781,1851,2,218.452,123.04448896581,26589.787109375,1,0,0,"123.04456",NA
"13782",13782,1851,2,218.452,147.043471234932,20031.998046875,1,0,0,"147.04347",NA
"13783",13783,1851,2,218.452,86.0962748068848,18160.08984375,1,0,0,"86.09648",NA
"13784",13784,1851,2,218.452,161.05875201887,14223.4453125,1,0,0,"161.05882",NA
"13785",13785,1851,2,218.452,91.0540040540865,12741.8134765625,1,0,0,"91.05405",NA
"13786",13786,1851,2,218.452,171.044534434247,10883.7890625,1,0,0,"171.04453",NA
"13787",13787,1851,2,218.452,84.0805903268264,9829.9814453125,1,0,0,"84.08065",NA
"13788",13788,1851,2,218.452,69.0700054488999,9419.3701171875,1,0,0,"69.07006",NA
"13794",13794,1856,2,228.19,157.022649033258,76436.3046875,1,0,0,"157.02265",NA
"13795",13795,1856,2,228.19,215.046721772076,60706.4765625,1,0,0,"215.04672",NA
"13796",13796,1856,2,228.19,187.052297101313,49103.12109375,1,0,0,"187.0523",NA
"13797",13797,1856,2,228.19,186.048777806914,47843.84765625,1,0,0,"186.04878",NA
"13798",13798,1856,2,228.19,127.01281523058,41301.03125,1,0,0,"127.01268",NA
"13799",13799,1856,2,228.19,128.015231056818,30633.8046875,1,0,0,"128.01522",NA
"13800",13800,1856,2,228.19,155.026585059227,24891.03515625,1,0,0,"155.02613",NA
"13801",13801,1856,2,228.19,91.0542427795776,21647.462890625,1,0,0,"91.05405",NA
"13802",13802,1856,2,228.19,92.0574920082707,14925.7412109375,1,0,0,"92.05759",NA
"13803",13803,1856,2,228.19,185.018415467118,13046.4794921875,1,0,0,"185.01842",NA
"13804",13804,1856,2,228.19,53.0387798967792,12629.9423828125,1,0,0,"53.03885",NA
"13814",13814,1874,2,234.501,59.0494223263578,171328.296875,1,3734,0,"59.0494",NA
"13815",13815,1874,2,234.501,117.090829728913,63273.6328125,1,3734,0,"117.09079",NA
"13816",13816,1874,2,234.501,175.133025180224,14614.5673828125,1,3734,0,"175.13303",NA
"13817",13817,1874,2,234.501,57.0335719645582,10444.9228515625,1,3734,0,"57.03366",NA
"13827",13827,1926,2,177.661,160.967762435773,5971.4228515625,1,0,0,"160.96776","89.08384"
"13838",13838,1960,2,221.094,277.217482309525,32025.62890625,1,0,0,"277.21748","18.00932"
"13839",13839,1960,2,221.094,67.0545441334112,14905.9140625,1,0,0,"67.0545",NA
