,peakID,MSnParentPeakID,msLevel,rt,mz,intensity,Sample,GroupPeakMSn,CollisionEnergy,fragment_bin_id,loss_bin_id
542,542,539,2,611.09,73.0294570923,1.0,1,0,0,73.0294,43.95706
557,557,554,2,613.559,73.0294570923,1.0,1,0,0,73.0294,43.98976
565,565,562,2,609.855,73.0294113159,1.0,1,0,0,73.0294,
151,151,149,2,514.569,59.0134544373,1.0,1,0,0,59.0134,32.02558
969,969,959,2,645.005,115.00428009,1.0,1,0,0,115.00419,18.0094
801,801,794,2,482.828,128.035812378,1.0,1,0,0,128.03584,
961,961,959,2,645.005,71.013671875,0.708726654208,1,0,0,71.01359,62.00047
150,150,149,2,514.569,58.0054359436,0.493419775478,1,0,0,58.00549,
153,153,149,2,514.569,72.9927825928,0.377513689434,1,0,0,72.99276,18.04722
5958,5958,5942,2,535.927,128.035842896,1.0,1,0,0,128.03584,162.05287
2497,2497,2483,2,532.219,115.040527344,1.0,1,0,0,115.04051,60.021
217,217,214,2,648.718,78.9591369629,1.0,1,0,0,78.95921,18.0094
970,970,959,2,645.005,133.014404297,0.30354705212,1,0,0,133.01438,
545,545,539,2,611.09,117.019950867,0.153883923271,1,0,0,117.01992,
560,560,554,2,613.559,117.019950867,0.153883923271,1,0,0,117.01992,
2124,2124,2113,2,582.238,75.0084228516,1.0,1,0,0,75.0085,
2146,2146,2135,2,577.296,75.0084228516,1.0,1,0,0,75.0085,90.03182
113,113,104,2,465.401,89.0248641968,1.0,1,0,0,89.02478,
2503,2503,2483,2,532.219,175.062225342,0.700774828316,1,0,0,175.06226,
570,570,562,2,609.855,117.019897461,0.142341452364,1,0,0,117.01992,
543,543,539,2,611.09,99.0092010498,0.104076889251,1,0,0,99.00921,
558,558,554,2,613.559,99.0092010498,0.104076889251,1,0,0,99.00921,18.0094
5986,5986,5980,2,469.117,130.08807373,1.0,1,0,0,130.08806,162.05287
152,152,149,2,514.569,71.0136260986,0.169709768793,1,0,0,71.01359,
2491,2491,2483,2,532.219,85.0659179688,0.505025477202,1,0,0,85.06587,89.99557
962,962,959,2,645.005,72.9928283691,0.163708500691,1,0,0,72.99276,60.021
1162,1162,1148,2,368.041,137.061599731,1.0,1,0,0,137.06159,
5003,5003,4997,2,544.63,78.9591445923,1.0,1,0,0,78.95921,
3461,3461,3440,2,586.167,195.052215576,1.0,1,0,0,195.0522,
3485,3485,3464,2,603.676,195.052215576,1.0,1,0,0,195.0522,
6568,6568,6540,2,248.802,329.23336792,1.0,1,0,0,329.23344,
980,980,971,2,437.869,133.050643921,1.0,1,0,0,133.05062,
3450,3450,3440,2,586.167,75.0084838867,0.961093550393,1,0,0,75.0085,120.04232
3474,3474,3464,2,603.676,75.0084838867,0.961093550393,1,0,0,75.0085,120.04232
7853,7853,7849,2,660.146,78.9591522217,1.0,1,0,0,78.95921,
155,155,149,2,514.569,89.0243148804,0.130109129684,1,0,0,89.02478,
5962,5962,5942,2,535.927,200.057800293,0.389330076236,1,0,0,200.05783,90.03182
976,976,971,2,437.869,71.0136260986,0.914753474583,1,0,0,71.01359,62.03688
2133,2133,2113,2,582.238,165.040298462,0.468879150147,1,0,0,165.04031,
2155,2155,2135,2,577.296,165.040298462,0.468879150147,1,0,0,165.04031,
4919,4919,4911,2,409.944,125.035255432,1.0,1,0,0,125.03521,116.04748
2810,2810,2798,2,612.324,71.0135574341,1.0,1,0,0,71.01359,
2496,2496,2483,2,532.219,113.060905457,0.361805710328,1,0,0,113.06084,62.00047
6826,6826,6803,2,493.148,134.025344849,1.0,1,0,0,134.02531,
714,714,712,2,553.362,78.9591369629,1.0,1,0,0,78.95921,46.04191
7855,7855,7849,2,660.146,96.9698562622,0.846729205074,1,0,0,96.96988,
569,569,562,2,609.855,99.0089797974,0.0763659177697,1,0,0,99.00921,
1017,1017,1009,2,588.644,134.894775391,1.0,1,0,0,134.89498,
1392,1392,1384,2,616.129,87.0086517334,1.0,1,0,0,87.00868,60.021
1395,1395,1384,2,616.129,129.019805908,0.969498017545,1,0,0,129.01976,18.0094
1391,1391,1384,2,616.129,85.0294799805,0.94409251095,1,0,0,85.02944,62.00047
978,978,971,2,437.869,87.008605957,0.685375728119,1,0,0,87.00868,46.04191
156,156,149,2,514.569,91.0405197144,0.0917510042013,1,0,0,91.0405,
8390,8390,8378,2,676.601,71.0136413574,1.0,1,0,0,71.01359,
2834,2834,2798,2,612.324,181.071395874,0.72171792947,1,0,0,181.0714,
2639,2639,2637,2,532.219,60.9926185608,1.0,1,0,0,60.99273,117.07923
8414,8414,8378,2,676.601,161.046463013,0.878945920957,1,0,0,161.04639,
3456,3456,3440,2,586.167,129.019866943,0.552915133303,1,0,0,129.01976,66.03143
3480,3480,3464,2,603.676,129.019866943,0.552915133303,1,0,0,129.01976,66.03143
965,965,959,2,645.005,89.0241165161,0.0815358943901,1,0,0,89.02413,43.98976
213,213,209,2,701.656,96.9599075317,1.0,1,0,0,96.96006,
1586,1586,1580,2,586.167,71.0136642456,1.0,1,0,0,71.01359,80.04742
8301,8301,8297,2,656.425,78.9591140747,1.0,1,0,0,78.95921,
8318,8318,8314,2,670.201,78.9591140747,1.0,1,0,0,78.95921,
5890,5890,5886,2,213.453,283.264801025,1.0,1,0,0,283.26482,
829,829,825,2,435.348,85.0294494629,1.0,1,0,0,85.02944,43.98976
4265,4265,4264,2,409.944,79.9573364258,1.0,1,0,0,79.95739,
4280,4280,4279,2,408.706,79.9573364258,1.0,1,0,0,79.95739,
8403,8403,8378,2,676.601,101.024971008,0.713475794652,1,0,0,101.02486,
5343,5343,5341,2,653.835,78.9591751099,1.0,1,0,0,78.95921,180.06335
2825,2825,2798,2,612.324,101.024894714,0.541970664212,1,0,0,101.02486,80.04742
5825,5825,5807,2,582.238,150.042007446,1.0,1,0,0,150.042,132.04229
1397,1397,1384,2,616.129,147.030975342,0.589925260051,1,0,0,147.03097,
2630,2630,2628,2,535.927,60.9926300049,1.0,1,0,0,60.99273,
2293,2293,2292,2,604.912,78.9591217041,1.0,1,0,0,78.95921,92.04735
2726,2726,2693,2,550.878,179.057144165,1.0,1,0,0,179.05714,
3284,3284,3270,2,695.39,112.012550354,1.0,1,0,0,112.01236,80.01094
1386,1386,1384,2,616.129,57.034034729,0.549985154343,1,0,0,57.03399,89.99557
3236,3236,3227,2,721.985,111.008537292,1.0,1,0,0,111.00851,80.01094
6477,6477,6463,2,442.9,164.071426392,1.0,1,0,0,164.0714,162.05287
837,837,832,2,482.828,129.039245605,1.0,1,0,0,129.03923,
844,844,839,2,482.828,129.039245605,1.0,1,0,0,129.03923,
2172,2172,2163,2,559.714,75.0084381104,1.0,1,0,0,75.0085,90.06816
5017,5017,4997,2,544.63,245.043273926,0.370000834129,1,0,0,245.04346,
1971,1971,1969,2,577.296,57.0340194702,1.0,1,0,0,57.03399,104.01097
6453,6453,6434,2,437.869,164.071411133,1.0,1,0,0,164.0714,
4876,4876,4874,2,258.245,94.0300674438,1.0,1,0,0,94.03007,
5713,5713,5709,2,500.683,116.072441101,1.0,1,0,0,116.07243,162.05287
8304,8304,8297,2,656.425,96.9698028564,0.655953569656,1,0,0,96.96988,
8321,8321,8314,2,670.201,96.9698028564,0.655953569656,1,0,0,96.96988,
992,992,982,2,469.117,134.047348022,1.0,1,0,0,134.04733,
362,362,358,2,498.203,111.02053833,1.0,1,0,0,111.02056,
283,283,282,2,636.271,59.0135116577,1.0,1,0,0,59.0134,43.98976
1778,1778,1771,2,493.148,113.060882568,1.0,1,0,0,113.06084,43.98976
5302,5302,5297,2,482.828,128.035827637,1.0,1,0,0,128.03584,129.04266
5311,5311,5306,2,493.148,128.035827637,1.0,1,0,0,128.03584,
1159,1159,1148,2,368.041,119.050865173,0.305362759353,1,0,0,119.05086,18.0094
8500,8500,8495,2,653.835,78.9591293335,1.0,1,0,0,78.95921,
8522,8522,8517,2,670.201,78.9591293335,1.0,1,0,0,78.95921,
7506,7506,7504,2,466.647,128.035797119,1.0,1,0,0,128.03584,
7509,7509,7507,2,479.067,128.035797119,1.0,1,0,0,128.03584,
1031,1031,1022,2,555.955,75.0084381104,1.0,1,0,0,75.0085,60.021
1048,1048,1039,2,545.884,75.0084381104,1.0,1,0,0,75.0085,60.021
1977,1977,1969,2,577.296,99.0456390381,0.813202449204,1,0,0,99.04558,62.00047
2725,2725,2693,2,550.878,161.04637146,0.735896200646,1,0,0,161.04639,18.0094
5115,5115,5107,2,466.647,71.0136032104,1.0,1,0,0,71.01359,
5014,5014,4997,2,544.63,152.995849609,0.291482859085,1,0,0,152.99587,92.04735
5468,5468,5464,2,635.024,102.056388855,1.0,1,0,0,102.05642,162.05287
6736,6736,6729,2,661.48,71.0136795044,1.0,1,0,0,71.01359,
6770,6770,6763,2,646.241,71.0136795044,1.0,1,0,0,71.01359,
2806,2806,2798,2,612.324,59.013381958,0.343308398704,1,0,0,59.0134,122.05802
5521,5521,5517,2,469.117,134.047348022,1.0,1,0,0,134.04733,132.04229
465,465,464,2,578.531,114.05569458,1.0,1,0,0,114.05577,
8417,8417,8378,2,676.601,179.057159424,0.424241767283,1,0,0,179.05714,
5233,5233,5232,2,214.694,255.234786987,1.0,1,0,0,255.23521,
72,72,68,2,409.944,87.0454559326,1.0,1,0,0,87.04546,
78,78,74,2,396.801,87.0454559326,1.0,1,0,0,87.04546,
8591,8591,8566,2,674.119,161.046401978,1.0,1,0,0,161.04639,
8634,8634,8609,2,685.379,161.046401978,1.0,1,0,0,161.04639,
4488,4488,4469,2,442.9,181.099136353,1.0,1,0,0,181.09917,43.98976
4509,4509,4490,2,426.637,181.099136353,1.0,1,0,0,181.09917,43.98976
505,505,497,2,281.102,115.076683044,1.0,1,0,0,115.07679,
2821,2821,2798,2,612.324,89.0249633789,0.300796829797,1,0,0,89.02478,92.04735
2123,2123,2113,2,582.238,72.9928894043,0.133345062723,1,0,0,72.99276,
2145,2145,2135,2,577.296,72.9928894043,0.133345062723,1,0,0,72.99276,92.04735
39,39,37,2,649.956,78.9591522217,1.0,1,0,0,78.95921,
5281,5281,5245,2,493.148,256.095428467,1.0,1,0,0,256.09549,
8571,8571,8566,2,674.119,71.013633728,0.921302703334,1,0,0,71.01359,
8614,8614,8609,2,685.379,71.013633728,0.921302703334,1,0,0,71.01359,
1574,1574,1566,2,533.454,151.026473999,1.0,1,0,0,151.02649,
2711,2711,2693,2,550.878,85.0295257568,0.589264895219,1,0,0,85.02944,94.02676
227,227,225,2,681.609,78.9591522217,1.0,1,0,0,78.95921,
234,234,232,2,691.629,78.9591522217,1.0,1,0,0,78.95921,
3028,3028,3027,2,485.299,79.9573059082,1.0,1,0,0,79.95739,
3035,3035,3034,2,493.148,79.9573059082,1.0,1,0,0,79.95739,
8424,8424,8378,2,676.601,383.119903564,0.350076240162,1,0,0,383.11966,
4476,4476,4469,2,442.9,82.029800415,0.865173363143,1,0,0,82.02966,143.05849
4497,4497,4490,2,426.637,82.029800415,0.865173363143,1,0,0,82.02966,143.05849
1594,1594,1580,2,586.167,101.025024414,0.42558772458,1,0,0,101.02486,
6906,6906,6890,2,298.902,101.06048584,1.0,1,0,0,101.06051,
6934,6934,6918,2,313.406,101.06048584,1.0,1,0,0,101.06051,
8074,8074,8067,2,662.759,71.0136260986,1.0,1,0,0,71.01359,
8110,8110,8103,2,677.845,71.0136260986,1.0,1,0,0,71.01359,
5279,5279,5245,2,493.148,238.083251953,0.898127700826,1,0,0,238.08306,18.0094
2500,2500,2483,2,532.219,157.049789429,0.0966951158936,1,0,0,157.05009,18.0094
5132,5132,5107,2,466.647,101.024757385,0.736041298993,1,0,0,101.02486,
2182,2182,2163,2,559.714,165.040267944,0.569020320428,1,0,0,165.04031,
5824,5824,5807,2,582.238,133.015640259,0.492774271975,1,0,0,133.01574,
8398,8398,8378,2,676.601,89.0250015259,0.327880453953,1,0,0,89.02478,
5078,5078,5074,2,440.343,134.047348022,1.0,1,0,0,134.04733,116.04748
1394,1394,1384,2,616.129,103.040390015,0.294249497314,1,0,0,103.0403,43.98976
6744,6744,6729,2,661.48,89.024269104,0.734282117612,1,0,0,89.02478,
6778,6778,6763,2,646.241,89.024269104,0.734282117612,1,0,0,89.02478,
884,884,882,2,591.201,88.0406799316,1.0,1,0,0,88.0406,42.01046
1015,1015,1009,2,588.644,99.9257125854,0.280523975771,1,0,0,99.92558,
6444,6444,6434,2,437.869,108.045417786,0.591497656511,1,0,0,108.04539,
4110,4110,4105,2,283.592,124.040084839,1.0,1,0,0,124.04011,86.07353
6747,6747,6729,2,661.48,101.024971008,0.709656280161,1,0,0,101.02486,
6781,6781,6763,2,646.241,101.024971008,0.709656280161,1,0,0,101.02486,
6452,6452,6434,2,437.869,164.03553772,0.566025337331,1,0,0,164.03549,162.05287
2130,2130,2113,2,582.238,129.019683838,0.104886894053,1,0,0,129.01976,
2152,2152,2135,2,577.296,129.019683838,0.104886894053,1,0,0,129.01976,36.02072
6561,6561,6540,2,248.802,211.135528564,0.200708565476,1,0,0,211.13539,
8384,8384,8378,2,676.601,59.0134544373,0.297060796195,1,0,0,59.0134,
3764,3764,3763,2,470.352,130.08807373,1.0,1,0,0,130.08806,72.02116
4333,4333,4323,2,519.68,111.008392334,1.0,1,0,0,111.00851,108.04245
4522,4522,4518,2,416.37,82.0297393799,1.0,1,0,0,82.02966,
3304,3304,3294,2,604.912,103.003593445,1.0,1,0,0,103.00362,
3335,3335,3325,2,604.912,103.003593445,1.0,1,0,0,103.00362,90.03182
5387,5387,5382,2,501.926,128.035858154,1.0,1,0,0,128.03584,132.04229
8583,8583,8566,2,674.119,101.024940491,0.714633446056,1,0,0,101.02486,
8626,8626,8609,2,685.379,101.024940491,0.714633446056,1,0,0,101.02486,
5704,5704,5701,2,493.148,116.07245636,1.0,1,0,0,116.07243,
4538,4538,4518,2,416.37,181.099090576,0.973958742192,1,0,0,181.09917,
8418,8418,8378,2,676.601,221.068328857,0.282537652059,1,0,0,221.06836,
201,201,198,2,1164.45,76.9700241089,1.0,1,0,0,76.97012,
5265,5265,5245,2,493.148,127.051055908,0.743370941038,1,0,0,127.05096,129.04266
1593,1593,1580,2,586.167,89.0242233276,0.340366150748,1,0,0,89.02413,62.03688
219,219,214,2,648.718,96.9698257446,0.0830370601502,1,0,0,96.96988,
6329,6329,6327,2,604.912,78.959197998,1.0,1,0,0,78.95921,
1393,1393,1384,2,616.129,101.024894714,0.246275056197,1,0,0,101.02486,46.00533
1598,1598,1580,2,586.167,151.061904907,0.33028683714,1,0,0,151.06184,
830,830,825,2,435.348,101.024963379,0.355393105449,1,0,0,101.02486,27.99446
7106,7106,7082,2,408.706,357.081695557,1.0,1,0,0,357.0817,
7131,7131,7107,2,396.801,357.081695557,1.0,1,0,0,357.0817,
7168,7168,7144,2,408.706,357.081695557,1.0,1,0,0,357.0817,
1570,1570,1566,2,533.454,108.020904541,0.723487350012,1,0,0,108.02099,
8401,8401,8378,2,676.601,97.0297622681,0.263736165407,1,0,0,97.02971,
4108,4108,4105,2,283.592,94.0300369263,0.831904367163,1,0,0,94.03007,
1158,1158,1148,2,368.041,108.021995544,0.16828149519,1,0,0,108.02193,
6562,6562,6540,2,248.802,229.14491272,0.1737649514,1,0,0,229.14492,
1585,1585,1580,2,586.167,59.0135192871,0.316760708583,1,0,0,59.0134,92.04735
1978,1978,1969,2,577.296,101.024963379,0.446249263375,1,0,0,101.02486,60.021
3648,3648,3647,2,461.657,78.9591369629,1.0,1,0,0,78.95921,120.07873
3662,3662,3661,2,447.928,78.9591369629,1.0,1,0,0,78.95921,
3676,3676,3675,2,454.166,78.9591369629,1.0,1,0,0,78.95921,
494,494,493,2,577.296,115.059173584,1.0,1,0,0,115.05917,
496,496,495,2,578.531,115.059173584,1.0,1,0,0,115.05917,
6734,6734,6729,2,661.48,59.0134925842,0.559085440378,1,0,0,59.0134,
6768,6768,6763,2,646.241,59.0134925842,0.559085440378,1,0,0,59.0134,
4489,4489,4469,2,442.9,225.087753296,0.614135261883,1,0,0,225.08773,
4510,4510,4490,2,426.637,225.087753296,0.614135261883,1,0,0,225.08773,
3235,3235,3227,2,721.985,87.0087280273,0.404991559784,1,0,0,87.00868,104.01097
831,831,825,2,435.348,129.019851685,0.323097751999,1,0,0,129.01976,
8086,8086,8067,2,662.759,101.024917603,0.699594255995,1,0,0,101.02486,
8122,8122,8103,2,677.845,101.024917603,0.699594255995,1,0,0,101.02486,
66,66,55,2,425.28,87.0092773438,1.0,1,0,0,87.00931,
8504,8504,8495,2,653.835,96.9697418213,0.496048401976,1,0,0,96.96988,
8526,8526,8517,2,670.201,96.9697418213,0.496048401976,1,0,0,96.96988,
7321,7321,7290,2,206.858,365.197235107,1.0,1,0,0,365.1973,
7353,7353,7322,2,218.594,365.197235107,1.0,1,0,0,365.1973,
3452,3452,3440,2,586.167,87.0088348389,0.148456854379,1,0,0,87.00868,108.04245
3476,3476,3464,2,603.676,87.0088348389,0.148456854379,1,0,0,87.00868,108.04245
2111,2111,2108,2,413.891,80.9649276733,1.0,1,0,0,80.96497,
798,798,794,2,482.828,82.0295944214,0.0294034937261,1,0,0,82.02966,46.00589
3928,3928,3903,2,470.352,101.02482605,1.0,1,0,0,101.02486,105.97261
3964,3964,3939,2,464.165,101.02482605,1.0,1,0,0,101.02486,105.97261
4013,4013,3988,2,466.647,101.02482605,1.0,1,0,0,101.02486,106.06326
3447,3447,3440,2,586.167,71.0136184692,0.143135089415,1,0,0,71.01359,124.03777
3471,3471,3464,2,603.676,71.0136184692,0.143135089415,1,0,0,71.01359,124.03777
5275,5275,5245,2,493.148,194.094543457,0.588359197275,1,0,0,194.09468,62.00047
446,446,445,2,276.998,68.9956512451,1.0,1,0,0,68.99566,
4539,4539,4518,2,416.37,225.087738037,0.745463820713,1,0,0,225.08773,
8392,8392,8378,2,676.601,73.0295028687,0.215478078925,1,0,0,73.0294,
3166,3166,3163,2,276.998,85.0658569336,1.0,1,0,0,85.06587,104.01097
212,212,209,2,701.656,79.9573822021,0.256872925747,1,0,0,79.95739,
7068,7068,7065,2,417.61,122.025161743,1.0,1,0,0,122.02507,
8180,8180,8175,2,467.882,134.047302246,1.0,1,0,0,134.04733,
8407,8407,8378,2,676.601,113.024345398,0.210678094987,1,0,0,113.02429,
1037,1037,1022,2,555.955,135.030136108,0.446048520544,1,0,0,135.03021,
1054,1054,1039,2,545.884,135.030136108,0.446048520544,1,0,0,135.03021,
4071,4071,4065,2,408.706,124.040092468,1.0,1,0,0,124.04011,86.00061
4083,4083,4077,2,408.706,124.040092468,1.0,1,0,0,124.04011,86.03726
4095,4095,4089,2,392.906,124.040092468,1.0,1,0,0,124.04011,86.03726
5691,5691,5688,2,543.39,114.055656433,1.0,1,0,0,114.05577,162.05287
5093,5093,5079,2,532.219,251.07875061,1.0,1,0,0,251.07875,
24,24,19,2,387.405,75.008972168,1.0,1,0,0,75.00898,
7937,7937,7926,2,564.683,128.035919189,1.0,1,0,0,128.03584,
6219,6219,6214,2,208.134,183.011703491,1.0,1,0,0,183.01169,
6235,6235,6230,2,210.612,183.011703491,1.0,1,0,0,183.01169,
5881,5881,5878,2,234.096,283.264770508,1.0,1,0,0,283.26482,
5885,5885,5882,2,219.836,283.264770508,1.0,1,0,0,283.26482,
415,415,412,2,409.944,68.9957046509,1.0,1,0,0,68.99566,44.02898
426,426,423,2,398.041,68.9957046509,1.0,1,0,0,68.99566,44.02898
437,437,434,2,408.706,68.9957046509,1.0,1,0,0,68.99566,
3065,3065,3052,2,395.388,144.045532227,1.0,1,0,0,144.04556,43.98976
3082,3082,3069,2,408.706,144.045532227,1.0,1,0,0,144.04556,43.98976
