"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy","fragment_bin_id","loss_bin_id"
"715",715,710,2,577.913,70.0651168823242,1,1,0,0,"70.06514","46.00533"
"854",854,842,2,531.601,118.086143493652,1,1,0,0,"118.08612",NA
"13521",13521,13511,2,531.601,118.08610534668,1,1,0,0,"118.08612","117.07869"
"13544",13544,13534,2,530.366,118.08610534668,1,1,0,0,"118.08612",NA
"240",240,233,2,932.018,104.107269287109,1,1,0,0,"104.10737",NA
"848",848,842,2,531.601,58.0654907226562,0.528386847296908,1,0,0,"58.06553","60.021"
"16905",16905,16893,2,610.472,104.107398986816,1,1,0,0,"104.10737",NA
"16984",16984,16969,2,605.529,104.10733795166,1,1,0,0,"104.10737","154.00294"
"2563",2563,2538,2,546.501,138.05451965332,1,1,0,0,"138.05457",NA
"236",236,233,2,932.018,60.0809211730957,0.404370395137991,1,0,0,"60.08104","44.02601"
"849",849,842,2,531.601,59.0734596252441,0.346262709105739,1,0,0,"59.07332","59.01302"
"719",719,710,2,577.913,116.071228027344,0.0927494797323,1,0,0,"116.07116",NA
"13514",13514,13511,2,531.601,58.0654640197754,0.20959096746962,1,0,0,"58.06553","177.09976"
"13537",13537,13534,2,530.366,58.0654640197754,0.20959096746962,1,0,0,"58.06553",NA
"1610",1610,1600,2,630.639,83.0603332519531,1,1,0,0,"83.06038","46.00533"
"18332",18332,18263,2,635.641,248.112670898438,1,1,0,0,"248.11294","18.00803"
"1646",1646,1641,2,483.446,84.0441360473633,1,1,0,0,"84.0442","46.00533"
"18706",18706,18683,2,469.734,136.06233215332,1,1,0,0,"136.06237","132.04189"
"13515",13515,13511,2,531.601,59.0734367370605,0.145448010644049,1,0,0,"59.07332","176.09129"
"13538",13538,13534,2,530.366,59.0734367370605,0.145448010644049,1,0,0,"59.07332",NA
"1757",1757,1746,2,566.547,84.080680847168,1,1,0,0,"84.08071","46.00533"
"1627",1627,1617,2,626.905,83.0603256225586,1,1,0,0,"83.06038","46.04172"
"16982",16982,16969,2,605.529,86.0965194702148,0.295206519140146,1,0,0,"86.09651","172.01307"
"16985",16985,16969,2,605.529,125.000541687012,0.292330738650688,1,0,0,"125.00055","133.10956"
"16903",16903,16893,2,610.472,86.0965576171875,0.264845376619883,1,0,0,"86.09651",NA
