"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy"
"3",3,0,1,576.779,70.0651806193179,17328792,1,0,0
"9",9,0,1,576.779,71.0685106828584,724919.6875,1,0,0
"13",13,0,1,605.395,71.0726991852073,542989.125,1,0,0
"15",15,0,1,566.834,72.0807950581232,18398300,1,0,0
"22",22,0,1,1208.53,72.0808134368363,2294683.25,1,0,0
"25",25,0,1,465.851,73.0647797594013,608680.3125,1,0,0
"28",28,0,1,506.668,74.0600323448574,1099465.375,1,0,0
"34",34,0,1,655.393,76.0392588329656,1748030.75,1,0,0
"39",39,0,1,555.642,81.0334939100862,1600128.625,1,0,0
"43",43,0,1,568.074,81.0335021934088,1324800.625,1,0,0
"47",47,0,1,630.442,83.0602062488907,1141392.25,1,0,0
"51",51,0,1,483.706,84.04435055427,2905894,1,0,0
"55",55,0,1,566.834,84.0807051276671,1138151.625,1,0,0
"61",61,0,1,656.63,85.0283292991723,4364981.5,1,0,0
"65",65,0,1,667.804,85.0283518862356,4571422,1,0,0
"69",69,0,1,467.132,85.0283726744513,1846566.5,1,0,0
"77",77,0,1,645.415,86.0599730538564,21813748,1,0,0
"85",85,0,1,1000.34,86.0600245338486,6254953,1,0,0
"89",89,0,1,286.318,86.0600380779392,2935417.25,1,0,0
"91",91,0,1,519.27,86.0963955567468,19495182,1,0,0
"102",102,0,1,534.477,86.0964197102886,3108710.5,1,0,0
"113",113,0,1,645.415,87.0440152988506,27190234,1,0,0
"124",124,0,1,645.415,87.0633458338209,1139812.625,1,0,0
"136",136,0,1,645.415,88.0473474420553,1348752.5,1,0,0
"147",147,0,1,908.673,89.0709219885392,1554457.375,1,0,0
"159",159,0,1,645.415,90.0549163480646,1469046.625,1,0,0
"162",162,0,1,630.442,90.0549302707145,44983236,1,0,0
"165",165,0,1,802.836,90.0913636143693,2840481.75,1,0,0
"172",172,0,1,629.199,91.0582642899773,1436972.625,1,0,0
"182",182,0,1,390.973,96.0443747873307,4063351.5,1,0,0
"188",188,0,1,667.804,97.0283994502962,6332514,1,0,0
"195",195,0,1,465.851,97.0284129961457,1048764.375,1,0,0
"199",199,0,1,692.741,97.9913464249402,1653112.25,1,0,0
"212",212,0,1,544.422,98.9840157818479,806820.75,1,0,0
"217",217,0,1,553.165,98.9841480369001,955275.125,1,0,0
"222",222,0,1,600.416,99.0440566276302,678317.375,1,0,0
"231",231,0,1,586.705,99.0441065109171,793513.75,1,0,0
"240",240,0,1,399.021,100.075666347489,661808.25,1,0,0
"247",247,0,1,913.793,100.075670484708,863183.375,1,0,0
"251",251,0,1,444.634,102.054986068281,9562237,1,0,0
"257",257,0,1,497.744,103.054182725014,2403001,1,0,0
"260",260,0,1,993.672,103.086570079109,11451367,1,0,0
"267",267,0,1,1000.34,103.086580056542,14169095,1,0,0
"274",274,0,1,645.415,104.07049297516,272760320,1,0,0
"286",286,0,1,400.263,104.070578106096,2727324.5,1,0,0
"295",295,0,1,383.18,104.070590343357,2388502.25,1,0,0
"304",304,0,1,1001.59,104.089909747498,652348.4375,1,0,0
"314",314,0,1,926.672,104.10680781966,1118145792,1,0,0
"324",324,0,1,606.631,104.106895818931,5394661,1,0,0
"330",330,0,1,937.122,104.106915548209,1022948160,1,0,0
"340",340,0,1,940.912,104.135415167132,2423103.5,1,0,0
"353",353,0,1,644.179,105.067586908905,1018827.25,1,0,0
"364",364,0,1,240.526,105.069751850073,766009.9375,1,0,0
"369",369,0,1,645.415,105.07386769594,14581517,1,0,0
"380",380,0,1,645.415,105.076779976176,652675.625,1,0,0
"391",391,0,1,926.672,105.103932278151,5658344,1,0,0
"411",411,0,1,937.122,105.104030153327,4362361.5,1,0,0
"431",431,0,1,931.721,105.110237707119,76183696,1,0,0
"451",451,0,1,934.421,105.113144227808,2859248.75,1,0,0
"465",465,0,1,918.895,105.113145055194,1779737.375,1,0,0
"499",499,0,1,491.336,106.049861419268,663963.875,1,0,0
"516",516,0,1,926.672,106.11106899219,3315163.25,1,0,0
"526",526,0,1,934.421,106.111188887652,2875783,1,0,0
"536",536,0,1,933.16,106.113439419149,1717915.125,1,0,0
"546",546,0,1,420.775,108.044292594702,36588960,1,0,0
"562",562,0,1,660.341,109.028393164363,1583081.125,1,0,0
"568",568,0,1,671.517,109.028395004297,1583031,1,0,0
"574",574,0,1,467.132,109.028419001696,662020.9375,1,0,0
"578",578,0,1,460.898,109.028441610298,897217.125,1,0,0
"582",582,0,1,375.137,110.06006942871,10550018,1,0,0
"600",600,0,1,621.621,110.071274763883,6374952,1,0,0
"613",613,0,1,399.021,111.044056678979,3327892.75,1,0,0
"633",633,0,1,589.18,111.044118958615,5928005,1,0,0
"647",647,0,1,372.652,111.063409640644,738457.0625,1,0,0
"680",680,0,1,558.119,112.050514943314,83549472,1,0,0
"693",693,0,1,640.434,112.086842584124,1854709,1,0,0
"698",698,0,1,651.644,112.086866402102,1459417.25,1,0,0
"703",703,0,1,498.981,113.034529362613,19860786,1,0,0
"713",713,0,1,560.599,113.047519401938,1053358.5,1,0,0
"731",731,0,1,558.119,113.053848699582,4102542,1,0,0
"749",749,0,1,453.419,113.059664189105,1923342.125,1,0,0
"764",764,0,1,654.155,113.070855682865,628481.9375,1,0,0
"768",768,0,1,453.419,113.070901663698,7220765.5,1,0,0
"783",783,0,1,497.744,114.037950550965,877884.1875,1,0,0
"796",796,0,1,432.174,114.054958237531,2654595.5,1,0,0
"808",808,0,1,568.074,114.055014011216,1215229,1,0,0
"819",819,0,1,453.419,114.074302201355,529020.0625,1,0,0
"837",837,0,1,916.33,114.091316793722,2018921.875,1,0,0
"880",880,0,1,873.293,115.086611901697,2063157.875,1,0,0
"885",885,0,1,614.088,116.034202286146,880950,1,0,0
"895",895,0,1,433.413,116.070543181055,7347328.5,1,0,0
"901",901,0,1,576.779,116.070571272094,2279881984,1,0,0
"910",910,0,1,874.562,116.070605820352,7693840,1,0,0
"917",917,0,1,267.081,117.018242242306,608332.75,1,0,0
"921",921,0,1,411.925,117.05452126104,2055053.625,1,0,0
"932",932,0,1,554.404,117.054608978942,1639910.75,1,0,0
"937",937,0,1,578.014,117.06757636548,8644756,1,0,0
"958",958,0,1,576.779,117.073861217289,124493952,1,0,0
"970",970,0,1,913.793,117.1022039631,1584626.5,1,0,0
"992",992,0,1,578.014,118.074702176147,10338347,1,0,0
"1007",1007,0,1,576.779,118.077139060261,2775834.75,1,0,0
"1022",1022,0,1,531.826,118.086161723604,1579319680,1,0,0
"1031",1031,0,1,245.788,119.049093057209,521253.75,1,0,0
"1035",1035,0,1,236.621,119.049100422995,1031787.75,1,0,0
"1039",1039,0,1,526.875,119.083311919941,5949755,1,0,0
"1052",1052,0,1,535.714,119.083353138185,4983622.5,1,0,0
"1065",1065,0,1,531.826,119.089544145958,81974056,1,0,0
"1078",1078,0,1,279.884,120.047782719385,3547307,1,0,0
"1092",1092,0,1,634.23,120.065465275877,4251435,1,0,0
"1099",1099,0,1,615.326,120.065508392725,10618495,1,0,0
"1113",1113,0,1,497.744,120.080769762837,80425584,1,0,0
"1138",1138,0,1,529.35,120.090424496861,6432791.5,1,0,0
"1148",1148,0,1,526.875,120.09285949243,2098027.5,1,0,0
"1158",1158,0,1,535.714,120.092897645332,1750198.875,1,0,0
"1168",1168,0,1,688.985,121.064762557929,6155134,1,0,0
"1182",1182,0,1,199.51,121.064793305088,8005423,1,0,0
"1197",1197,0,1,696.48,121.064797848271,6056502,1,0,0
"1211",1211,0,1,458.421,121.064804263831,3765963.5,1,0,0
"1241",1241,0,1,497.744,121.084110748919,6344413.5,1,0,0
"1257",1257,0,1,1075.34,122.073099909545,853018.3125,1,0,0
"1264",1264,0,1,1081.82,122.07310293051,758736.3125,1,0,0
"1271",1271,0,1,1067.39,122.073103081633,846253.1875,1,0,0
"1278",1278,0,1,273.663,122.096411955713,520609,1,0,0
"1288",1288,0,1,585.465,123.044085739271,2090381.75,1,0,0
"1296",1296,0,1,417.056,123.047318594072,3272921.5,1,0,0
"1310",1310,0,1,411.925,123.055207621062,1129695.375,1,0,0
"1324",1324,0,1,1068.67,123.055254469714,1271518.125,1,0,0
"1338",1338,0,1,594.222,124.039308576996,865835.375,1,0,0
"1345",1345,0,1,379.079,124.039344515973,1313492.375,1,0,0
"1356",1356,0,1,371.229,124.039355164512,1159984.25,1,0,0
"1367",1367,0,1,582.991,124.039373490516,1204850.375,1,0,0
"1374",1374,0,1,387.245,124.039375557362,1322605,1,0,0
"1412",1412,0,1,406.783,124.086917966945,1089895.75,1,0,0
"1420",1420,0,1,610.341,124.999185364718,1758807.875,1,0,0
"1428",1428,0,1,410.672,125.070915577945,975185.6875,1,0,0
"1442",1442,0,1,420.775,126.054853762967,161138208,1,0,0
"1464",1464,0,1,479.855,126.066223494369,25533862,1,0,0
"1484",1484,0,1,553.165,127.015436052334,1860780,1,0,0
"1497",1497,0,1,541.941,127.015501382806,533744.625,1,0,0
"1510",1510,0,1,666.566,127.038920188514,7245241.5,1,0,0
"1525",1525,0,1,467.132,127.038975718094,2558745.5,1,0,0
"1540",1540,0,1,411.925,127.050117528062,28734066,1,0,0
"1557",1557,0,1,399.021,127.050194507322,2687195.5,1,0,0
"1574",1574,0,1,420.775,127.058188517088,10471003,1,0,0
"1602",1602,0,1,479.855,127.06953240627,1471791.125,1,0,0
"1661",1661,0,1,411.925,128.053476085811,1461143.25,1,0,0
"1692",1692,0,1,420.775,128.059041890181,732176.3125,1,0,0
"1750",1750,0,1,418.295,128.070477882694,3599870.25,1,0,0
"1779",1779,0,1,661.581,128.07055067439,1574751,1,0,0
"1800",1800,0,1,655.393,128.070556367936,1155171.25,1,0,0
"1821",1821,0,1,642.943,128.081738968859,1157107.125,1,0,0
"1831",1831,0,1,409.437,128.106898420011,1379789.25,1,0,0
"1860",1860,0,1,615.326,128.106941979109,790359.875,1,0,0
"1871",1871,0,1,1256.14,128.953455492376,4060668,1,0,0
"1891",1891,0,1,693.978,129.018216210346,2026929.625,1,0,0
"1896",1896,0,1,630.442,129.026304465399,679338.5,1,0,0
"1907",1907,0,1,611.577,129.054504445113,3666606.75,1,0,0
"1925",1925,0,1,630.442,129.065749742307,192802672,1,0,0
"1936",1936,0,1,626.71,129.102140467233,816462.4375,1,0,0
"1965",1965,0,1,629.199,130.049836430405,11504469,1,0,0
"1994",1994,0,1,482.471,130.049900926598,280226560,1,0,0
"2005",2005,0,1,631.714,130.062871283611,1485954.75,1,0,0
"2047",2047,0,1,630.442,130.069155373901,10727537,1,0,0
"2076",2076,0,1,566.834,130.086234252603,175552400,1,0,0
"2088",2088,0,1,368.744,130.086290225309,4247264,1,0,0
"2105",2105,0,1,640.434,130.097447333958,12244944,1,0,0
"2121",2121,0,1,1000.34,130.097509898003,523401.8125,1,0,0
