"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy","fragment_bin_id","loss_bin_id"
"142",142,139,2,515.411,59.0134162902832,1,1,0,0,"59.01341","32.02564"
"93",93,86,2,469.088,89.0249481201172,1,1,0,0,"89.02491",NA
"491",491,488,2,612.77,73.0294876098633,1,1,0,0,"73.02942","43.98975"
"700",700,693,2,483.384,128.035858154297,1,1,0,0,"128.03588",NA
"141",141,139,2,515.411,58.0057945251465,0.511764308621287,1,0,0,"58.00565",NA
"953",953,941,2,494.896,134.047454833984,1,1,0,0,"134.04744",NA
"221",221,214,2,650.656,78.9592132568359,1,1,0,0,"78.95923","18.00937"
"146",146,139,2,515.411,72.9927062988281,0.349702993181556,1,0,0,"72.99279","18.04723"
"5252",5252,5239,2,535.425,128.035888671875,1,1,0,0,"128.03588","162.05299"
"891",891,881,2,644.414,115.004364013672,1,1,0,0,"115.00424","18.00937"
"1929",1929,1919,2,580.359,75.0084381103516,1,1,0,0,"75.00853",NA
"1951",1951,1941,2,576.651,75.0084381103516,1,1,0,0,"75.00853","90.03189"
"6412",6412,6368,2,476.8,191.056121826172,1,1,0,0,"191.05601","162.03184"
"6462",6462,6418,2,491.004,191.056121826172,1,1,0,0,"191.05601","162.03184"
"1266",1266,1252,2,615.244,129.019836425781,1,1,0,0,"129.01973","18.00937"
"884",884,881,2,644.414,71.0137023925781,0.819664267607902,1,0,0,"71.0136","62.00047"
"4150",4150,4144,2,544.143,78.9591445922852,1,1,0,0,"78.95923","166.08421"
"4069",4069,4063,2,397.955,125.035217285156,1,1,0,0,"125.03527","116.0477"
"4085",4085,4079,2,409.708,125.035217285156,1,1,0,0,"125.03527","116.0477"
"213",213,208,2,700.955,96.9599609375,1,1,0,0,"96.95996",NA
"6524",6524,6482,2,474.263,191.056106567383,1,1,0,0,"191.05601","162.0895"
"8207",8207,8197,2,659.377,78.9591522216797,1,1,0,0,"78.95923",NA
"952",952,941,2,494.896,107.036460876465,0.402821107490705,1,0,0,"107.03631",NA
"5811",5811,5788,2,247.671,329.233520507812,1,1,0,0,"329.23358",NA
"2927",2927,2911,2,706.044,111.009429931641,1,1,0,0,"111.00947","80.01086"
"3084",3084,3082,2,700.955,96.9599151611328,1,1,0,0,"96.95996",NA
