"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy"
"1",1,0,1,577.065,70.0651852414205,14230726,1,0,0
"6",6,0,1,1209.16,72.0808147926582,1356584.875,1,0,0
"9",9,0,1,467.663,73.0647890433294,869860.4375,1,0,0
"23",23,0,1,506.417,74.0600557099113,579219.5625,1,0,0
"29",29,0,1,1024.95,76.0757021243012,1464788.25,1,0,0
"36",36,0,1,562.05,81.0335058914091,1663962.75,1,0,0
"40",40,0,1,630.456,83.0602572010966,942237.125,1,0,0
"44",44,0,1,482.652,84.044346933061,2797584.25,1,0,0
"48",48,0,1,567.07,84.0807050249469,1297613.125,1,0,0
"54",54,0,1,467.663,85.0283756846358,1068202,1,0,0
"58",58,0,1,673.416,85.0284044902153,2659406.75,1,0,0
"62",62,0,1,642.922,86.0599828229777,593708.375,1,0,0
"68",68,0,1,518.99,86.096477166365,561351.9375,1,0,0
"72",72,0,1,645.397,87.0440806770373,726254,1,0,0
"75",75,0,1,435.854,89.0596851199958,729126.3125,1,0,0
"80",80,0,1,906.439,89.0709217587212,1053386,1,0,0
"92",92,0,1,630.456,90.0549576947345,1984557.125,1,0,0
"100",100,0,1,645.397,90.0550080417924,4752445.5,1,0,0
"108",108,0,1,800.254,90.0913603663301,2200352.5,1,0,0
"115",115,0,1,410.666,95.0491010572098,917304.375,1,0,0
"122",122,0,1,392.189,95.0491350684372,1271173,1,0,0
"129",129,0,1,453.636,95.0603765731431,819985.625,1,0,0
"136",136,0,1,390.619,96.0443710609076,7237415.5,1,0,0
"142",142,0,1,466.228,97.0283930596028,785562.4375,1,0,0
"147",147,0,1,478.889,97.0284133300229,580997.1875,1,0,0
"152",152,0,1,673.416,97.0284442870875,3654520.75,1,0,0
"156",156,0,1,606.125,98.9839724551101,1504237.625,1,0,0
"162",162,0,1,505.168,99.0440721864181,884869.875,1,0,0
"178",178,0,1,444.696,102.054980307677,6560278,1,0,0
"189",189,0,1,415.643,104.070512512951,4245028.5,1,0,0
"198",198,0,1,402.831,104.070583412793,974809.4375,1,0,0
"207",207,0,1,570.805,104.070583605528,1454467,1,0,0
"215",215,0,1,558.279,104.070591900406,4076445,1,0,0
"223",223,0,1,931.026,104.106889468424,1009837888,1,0,0
"236",236,0,1,606.125,104.106958553913,4402217,1,0,0
"243",243,0,1,417.061,105.036810551509,840084.6875,1,0,0
"248",248,0,1,239.064,105.0696934023,1274947.5,1,0,0
"253",253,0,1,929.757,105.103996450835,4626469,1,0,0
"266",266,0,1,929.757,105.110253194656,69324688,1,0,0
"279",279,0,1,929.757,105.113136572328,2612597.75,1,0,0
"292",292,0,1,816.095,106.086268970299,1359728.75,1,0,0
"296",296,0,1,929.757,106.111148234142,2684291.25,1,0,0
"306",306,0,1,929.757,106.113504343861,1354874.875,1,0,0
"316",316,0,1,422.05,108.044293469903,54350484,1,0,0
"326",326,0,1,402.831,108.044376601827,1390464.125,1,0,0
"336",336,0,1,669.48,109.028448210805,814113.4375,1,0,0
"342",342,0,1,679.812,109.028468505667,733141.625,1,0,0
"354",354,0,1,392.189,111.044057112649,6731491.5,1,0,0
"372",372,0,1,589.536,111.044075181495,8530231,1,0,0
"391",391,0,1,445.94,111.055324156258,993326.3125,1,0,0
"408",408,0,1,229.837,111.11687050222,2052951.5,1,0,0
"412",412,0,1,589.536,112.047399055618,617925.0625,1,0,0
"420",420,0,1,559.521,112.050522659532,98523864,1,0,0
"438",438,0,1,646.634,112.08696117146,3062823.75,1,0,0
"444",444,0,1,498.942,113.034543451971,31327762,1,0,0
"455",455,0,1,558.279,113.047513308337,1169852.25,1,0,0
"473",473,0,1,559.521,113.053847630674,4429818.5,1,0,0
"491",491,0,1,452.39,113.059744530627,2027582.75,1,0,0
"514",514,0,1,452.39,113.070930579475,43631428,1,0,0
"537",537,0,1,498.942,114.037935708471,1376300.375,1,0,0
"549",549,0,1,433.368,114.054997244842,1488639.625,1,0,0
"559",559,0,1,493.933,114.066231477592,25951858,1,0,0
"571",571,0,1,452.39,114.074329945758,2122091.75,1,0,0
"614",614,0,1,500.185,115.038944879562,590553.875,1,0,0
"630",630,0,1,495.176,115.06957730471,1115118,1,0,0
"641",641,0,1,588.294,116.036356600702,690143.375,1,0,0
"652",652,0,1,577.065,116.070579862723,1817064704,1,0,0
"663",663,0,1,433.368,116.070620340152,5201831,1,0,0
"682",682,0,1,413.164,117.054532023734,2971956.75,1,0,0
"693",693,0,1,588.294,117.054544367581,2640168.5,1,0,0
"706",706,0,1,577.065,117.067587778054,6814958.5,1,0,0
"719",719,0,1,577.065,117.073870778734,100819400,1,0,0
"743",743,0,1,578.301,118.0747049787,7682201.5,1,0,0
"757",757,0,1,578.301,118.077146555473,2150081.75,1,0,0
"771",771,0,1,761.106,118.086222250701,826469.3125,1,0,0
"777",777,0,1,531.553,118.086223193634,1642510080,1,0,0
"785",785,0,1,1107.99,118.086228966295,710218.25,1,0,0
"791",791,0,1,388.137,118.08622955942,1569131.125,1,0,0
"800",800,0,1,1124.1,118.086230589909,611926.8125,1,0,0
"806",806,0,1,237.824,119.049109383321,1680104.875,1,0,0
"810",810,0,1,531.553,119.083401764898,7178309,1,0,0
"823",823,0,1,531.553,119.089605912766,87750000,1,0,0
"835",835,0,1,364.221,120.047793302503,623631.1875,1,0,0
"842",842,0,1,443.45,120.055676227576,762356.125,1,0,0
"849",849,0,1,635.442,120.065539370137,2839188.75,1,0,0
"863",863,0,1,616.203,120.065574509035,3064039.75,1,0,0
"877",877,0,1,498.942,120.080786208307,1274887.75,1,0,0
