,peakID,MSnParentPeakID,msLevel,rt,mz,intensity,Sample,GroupPeakMSn,CollisionEnergy
1,1,0,1,578.503,70.0651651321,16431632.0,1,0,0
4,4,0,1,652.517,70.065190596,602081.6875,1,0,0
6,6,0,1,566.043,72.0807993876,1067314.75,1,0,0
11,11,0,1,1210.11,72.0808183493,1025769.125,1,0,0
14,14,0,1,468.47,73.0647880231,925079.4375,1,0,0
17,17,0,1,656.24,76.0393161822,1047793.6875,1,0,0
20,20,0,1,1027.66,76.0756988501,1636355.75,1,0,0
26,26,0,1,562.308,81.0335144645,766053.0,1,0,0
29,29,0,1,632.557,83.0602445276,705789.625,1,0,0
33,33,0,1,486.476,84.0443749596,2827970.75,1,0,0
37,37,0,1,566.043,84.080711141,978819.375,1,0,0
40,40,0,1,667.614,85.0283720521,3757659.5,1,0,0
42,42,0,1,603.462,85.0283772743,1687362.875,1,0,0
45,45,0,1,465.819,85.0283813659,2102897.0,1,0,0
52,52,0,1,415.512,86.0599619264,1211292.75,1,0,0
55,55,0,1,646.272,86.0600076184,8953359.0,1,0,0
59,59,0,1,1005.22,86.0600237507,1433368.625,1,0,0
61,61,0,1,1018.27,86.0600258752,532986.625,1,0,0
63,63,0,1,603.462,86.0961030608,569424.0,1,0,0
65,65,0,1,609.647,86.0961288876,551113.25,1,0,0
67,67,0,1,280.189,86.0963748955,1282799.125,1,0,0
72,72,0,1,519.739,86.0964166133,2307827.75,1,0,0
76,76,0,1,646.272,87.0440553511,12338473.0,1,0,0
79,79,0,1,636.289,87.0552762407,735020.5,1,0,0
82,82,0,1,434.59,89.0596783774,787915.5625,1,0,0
89,89,0,1,908.712,89.0709238988,1793272.5,1,0,0
98,98,0,1,645.032,90.0549410571,2888840.5,1,0,0
102,102,0,1,433.349,90.0549725605,695324.875,1,0,0
104,104,0,1,631.311,90.0549727486,6755740.0,1,0,0
108,108,0,1,804.705,90.0913641833,2163393.0,1,0,0
127,127,0,1,402.687,96.0443678393,1281763.5,1,0,0
130,130,0,1,389.139,96.0443805332,1998793.875,1,0,0
133,133,0,1,667.614,97.028419709,5013418.0,1,0,0
144,144,0,1,382.583,98.0600509168,1188735.25,1,0,0
152,152,0,1,371.973,98.0600603614,1189845.0,1,0,0
157,157,0,1,603.462,98.9839778261,961194.125,1,0,0
163,163,0,1,542.28,98.9841526537,709943.625,1,0,0
168,168,0,1,554.77,98.9841676969,1279995.125,1,0,0
178,178,0,1,444.648,99.0440545306,588544.0625,1,0,0
181,181,0,1,587.22,99.0440740542,1300673.5,1,0,0
189,189,0,1,444.648,102.054967771,4110953.5,1,0,0
195,195,0,1,1002.67,103.08658557,3137810.25,1,0,0
199,199,0,1,415.512,104.070516405,18100776.0,1,0,0
208,208,0,1,646.272,104.070545072,118432208.0,1,0,0
214,214,0,1,933.275,104.106854503,1231442304.0,1,0,0
225,225,0,1,603.462,104.106894967,4361059.5,1,0,0
231,231,0,1,240.354,105.069637137,745889.5625,1,0,0
239,239,0,1,933.275,105.103995143,5746207.5,1,0,0
252,252,0,1,933.275,105.11023855,82191512.0,1,0,0
265,265,0,1,932.013,105.113095164,3130095.25,1,0,0
286,286,0,1,934.537,106.111135121,3630380.0,1,0,0
292,292,0,1,933.275,106.113431023,1912058.25,1,0,0
298,298,0,1,420.52,108.044321906,34856424.0,1,0,0
302,302,0,1,402.687,108.044373405,986085.25,1,0,0
306,306,0,1,667.614,109.028429319,1310000.25,1,0,0
311,311,0,1,460.835,109.028441688,1104494.375,1,0,0
315,315,0,1,383.824,110.060077309,6807544.0,1,0,0
324,324,0,1,621.074,110.071291657,5439790.5,1,0,0
330,330,0,1,481.308,111.044031796,707980.25,1,0,0
337,337,0,1,613.388,111.044051004,1971353.0,1,0,0
347,347,0,1,386.308,111.044064478,3665099.75,1,0,0
355,355,0,1,371.973,111.044064743,2400433.25,1,0,0
363,363,0,1,589.7,111.044078609,3321929.75,1,0,0
373,373,0,1,509.663,111.055291179,1379887.5,1,0,0
388,388,0,1,228.468,111.116812388,2909939.75,1,0,0
390,390,0,1,473.645,112.050523012,4519468.5,1,0,0
396,396,0,1,560.987,112.050564033,13179168.0,1,0,0
405,405,0,1,550.958,112.050568008,19761036.0,1,0,0
414,414,0,1,642.551,112.086868689,2005735.625,1,0,0
418,418,0,1,442.166,113.034524867,3664498.75,1,0,0
428,428,0,1,499.241,113.034564025,5409486.0,1,0,0
432,432,0,1,550.958,113.053886465,823270.6875,1,0,0
439,439,0,1,560.987,113.053895153,643787.25,1,0,0
446,446,0,1,453.384,113.05973676,2381363.75,1,0,0
462,462,0,1,653.758,113.070938645,638811.1875,1,0,0
465,465,0,1,453.384,113.070944265,25932626.0,1,0,0
481,481,0,1,460.835,114.037949244,577217.6875,1,0,0
488,488,0,1,419.279,114.054944406,2791614.25,1,0,0
506,506,0,1,567.288,114.055007314,5146769.0,1,0,0
514,514,0,1,504.39,114.05501045,573116.75,1,0,0
523,523,0,1,453.384,114.074347114,1506068.625,1,0,0
535,535,0,1,919.082,114.091322352,2463983.5,1,0,0
550,550,0,1,874.873,115.086618163,3567727.25,1,0,0
553,553,0,1,538.516,115.08676216,2304780.5,1,0,0
557,557,0,1,636.289,116.03417096,670937.0625,1,0,0
573,573,0,1,577.268,116.070544379,2079356160.0,1,0,0
584,584,0,1,874.873,116.070597914,13671213.0,1,0,0
589,589,0,1,433.349,116.070610915,5769414.0,1,0,0
595,595,0,1,265.577,117.018234849,654318.9375,1,0,0
599,599,0,1,410.326,117.054540317,2952970.0,1,0,0
603,603,0,1,588.459,117.054555416,2834420.25,1,0,0
613,613,0,1,577.268,117.067568633,8147880.0,1,0,0
622,622,0,1,577.268,117.073830808,117956944.0,1,0,0
638,638,0,1,364.448,117.090992922,1080203.875,1,0,0
640,640,0,1,278.946,117.091004875,2882627.5,1,0,0
644,644,0,1,377.302,117.091024291,1025745.8125,1,0,0
646,646,0,1,917.816,117.102197855,1111373.125,1,0,0
649,649,0,1,478.834,118.049853813,915869.4375,1,0,0
659,659,0,1,577.268,118.074708438,9219364.0,1,0,0
671,671,0,1,578.503,118.07712739,3339578.0,1,0,0
683,683,0,1,531.059,118.086198722,1698129920.0,1,0,0
694,694,0,1,365.689,118.086248369,3415746.5,1,0,0
699,699,0,1,378.542,118.086260958,3440428.75,1,0,0
704,704,0,1,236.287,119.04907593,978863.6875,1,0,0
707,707,0,1,531.059,119.08339566,7014034.5,1,0,0
720,720,0,1,531.059,119.089581496,90325936.0,1,0,0
733,733,0,1,336.679,120.047792877,736168.9375,1,0,0
737,737,0,1,278.946,120.04779697,6915450.0,1,0,0
743,743,0,1,633.804,120.065513905,5077896.0,1,0,0
746,746,0,1,455.865,120.065574651,813155.6875,1,0,0
756,756,0,1,500.483,120.080807682,3172405.0,1,0,0
762,762,0,1,529.821,120.090448595,7424051.0,1,0,0
769,769,0,1,531.059,120.092934042,2205443.0,1,0,0
784,784,0,1,199.485,121.064780587,4408663.5,1,0,0
792,792,0,1,699.082,121.064783874,3447124.25,1,0,0
799,799,0,1,260.221,121.064790126,5128256.0,1,0,0
809,809,0,1,459.598,121.06481725,3942153.75,1,0,0
818,818,0,1,448.381,121.06483761,2570730.25,1,0,0
827,827,0,1,956.847,121.071991502,1353168.0,1,0,0
829,829,0,1,917.816,121.071995683,1363144.5,1,0,0
831,831,0,1,973.873,121.072000647,1591689.625,1,0,0
839,839,0,1,281.432,122.096403543,612063.5625,1,0,0
845,845,0,1,418.038,123.04735618,2307002.5,1,0,0
854,854,0,1,411.615,123.05520769,11639933.0,1,0,0
876,876,0,1,413.033,124.039272444,12376713.0,1,0,0
884,884,0,1,593.501,124.039323456,1712131.625,1,0,0
888,888,0,1,401.069,124.039344637,6944196.0,1,0,0
896,896,0,1,387.897,124.039363321,9968454.0,1,0,0
904,904,0,1,583.488,124.039364277,1910741.0,1,0,0
908,908,0,1,402.687,124.05868496,756052.1875,1,0,0
923,923,0,1,409.09,124.086897104,815545.625,1,0,0
929,929,0,1,609.647,124.999499297,1414590.125,1,0,0
937,937,0,1,427.098,125.07099219,862747.6875,1,0,0
951,951,0,1,420.52,126.054887967,159081920.0,1,0,0
963,963,0,1,478.834,126.066215078,24917608.0,1,0,0
998,998,0,1,553.527,127.015489348,2341086.75,1,0,0
1005,1005,0,1,542.28,127.015567146,603563.3125,1,0,0
1012,1012,0,1,602.224,127.038912598,2482716.25,1,0,0
1016,1016,0,1,667.614,127.038946542,5368997.0,1,0,0
1025,1025,0,1,368.171,127.038956331,930323.25,1,0,0
1035,1035,0,1,379.781,127.038967067,1015541.1875,1,0,0
1045,1045,0,1,514.793,127.038979122,774287.875,1,0,0
1056,1056,0,1,467.234,127.038996623,2580205.25,1,0,0
1065,1065,0,1,410.326,127.050118566,40250532.0,1,0,0
1081,1081,0,1,519.739,127.050188471,8012240.5,1,0,0
1090,1090,0,1,420.52,127.058215796,10634828.0,1,0,0
1122,1122,0,1,512.32,127.069507965,903590.0625,1,0,0
1133,1133,0,1,407.855,127.086558685,911920.5625,1,0,0
1159,1159,0,1,411.615,128.053448263,2208092.75,1,0,0
1177,1177,0,1,418.038,128.070490366,2934589.0,1,0,0
1195,1195,0,1,661.235,128.070538903,984962.625,1,0,0
1202,1202,0,1,402.687,128.070568695,691384.4375,1,0,0
1220,1220,0,1,563.553,128.070662572,2195675.5,1,0,0
1223,1223,0,1,643.79,128.081757842,985787.1875,1,0,0
1227,1227,0,1,410.326,128.106887491,684077.75,1,0,0
1236,1236,0,1,613.388,129.054577379,5021718.0,1,0,0
1256,1256,0,1,631.311,129.065802218,119359424.0,1,0,0
1266,1266,0,1,489.128,129.065965597,1042811.9375,1,0,0
1274,1274,0,1,627.569,129.102125613,766099.0,1,0,0
1292,1292,0,1,630.064,130.049867606,8683524.0,1,0,0
1307,1307,0,1,484.002,130.049894053,247324512.0,1,0,0
1327,1327,0,1,630.064,130.062931257,983075.125,1,0,0
1342,1342,0,1,631.311,130.069216524,6914719.0,1,0,0
1357,1357,0,1,566.043,130.08626568,152407184.0,1,0,0
1369,1369,0,1,618.594,130.086285865,2535633.75,1,0,0
1384,1384,0,1,371.973,130.086297577,6383970.0,1,0,0
1393,1393,0,1,642.551,130.097463074,13754282.0,1,0,0
1403,1403,0,1,661.235,130.097466613,9581816.0,1,0,0
1413,1413,0,1,653.758,130.097559243,12145713.0,1,0,0
1447,1447,0,1,267.192,130.122668699,527831.5,1,0,0
1458,1458,0,1,617.355,131.033883476,1089441.875,1,0,0
1469,1469,0,1,484.002,131.047030097,798034.8125,1,0,0
1479,1479,0,1,484.002,131.053232769,13215777.0,1,0,0
1500,1500,0,1,453.384,131.070331583,5545167.5,1,0,0
1515,1515,0,1,433.349,131.081541561,1243712.625,1,0,0
1528,1528,0,1,567.288,131.089572695,10314822.0,1,0,0
1551,1551,0,1,648.791,131.100862191,861120.25,1,0,0
1562,1562,0,1,920.348,131.117861461,18450726.0,1,0,0
1574,1574,0,1,630.064,131.129118028,6165073.0,1,0,0
1594,1594,0,1,484.002,132.054145176,1776054.25,1,0,0
1614,1614,0,1,567.288,132.065460535,18472026.0,1,0,0
1634,1634,0,1,619.834,132.065526022,9824357.0,1,0,0
1640,1640,0,1,433.349,132.065537511,3752215.75,1,0,0
1656,1656,0,1,628.816,132.076757992,884834.8125,1,0,0
1677,1677,0,1,567.288,132.090412881,621744.5,1,0,0
1697,1697,0,1,519.739,132.101911929,28418200.0,1,0,0
1708,1708,0,1,533.567,132.101977216,6341282.5,1,0,0
1719,1719,0,1,1063.38,132.11312499,1481020.125,1,0,0
1724,1724,0,1,543.521,132.113231297,1715688.125,1,0,0
1731,1731,0,1,920.348,132.121209224,1176834.25,1,0,0
1748,1748,0,1,889.3,132.132479869,524139.5,1,0,0
1764,1764,0,1,636.289,133.060728841,25519770.0,1,0,0
1768,1768,0,1,567.288,133.068795882,1052361.125,1,0,0
1782,1782,0,1,874.873,133.09711928,31991762.0,1,0,0
1790,1790,0,1,742.984,133.097138583,567264.5625,1,0,0
1793,1793,0,1,448.381,133.097190977,6942230.5,1,0,0
1798,1798,0,1,614.625,134.044727293,1106318.875,1,0,0
1801,1801,0,1,636.289,134.06404358,991313.0,1,0,0
1810,1810,0,1,661.235,134.081088817,2635294.25,1,0,0
1814,1814,0,1,605.939,134.081101274,587644.375,1,0,0
1820,1820,0,1,589.7,134.0811603,2683105.0,1,0,0
1826,1826,0,1,874.873,134.10046078,1743544.0,1,0,0
1830,1830,0,1,588.459,135.065172472,7459593.5,1,0,0
1838,1838,0,1,344.381,135.101546488,1544448.625,1,0,0
1847,1847,0,1,495.514,136.061800804,599815168.0,1,0,0
1882,1882,0,1,482.766,137.045780287,55394200.0,1,0,0
1895,1895,0,1,437.165,137.045806666,6288425.5,1,0,0
1903,1903,0,1,495.514,137.058867218,11245427.0,1,0,0
1923,1923,0,1,398.577,137.059734305,1925210.375,1,0,0
1927,1927,0,1,371.973,137.059738781,1317323.375,1,0,0
1931,1931,0,1,386.308,137.059741025,2832561.25,1,0,0
1935,1935,0,1,495.514,137.065110282,32562818.0,1,0,0
1973,1973,0,1,484.002,138.042956434,742633.4375,1,0,0
1990,1990,0,1,482.766,138.049151451,3015889.5,1,0,0
2007,2007,0,1,578.503,138.052557674,20002934.0,1,0,0
2010,2010,0,1,545.999,138.05499755,456857600.0,1,0,0
2052,2052,0,1,496.763,138.068337261,635297.875,1,0,0
2061,2061,0,1,459.598,138.09137317,2871748.25,1,0,0
2074,2074,0,1,504.39,139.050177218,717885.875,1,0,0
2081,2081,0,1,578.503,139.055892376,1166527.75,1,0,0
2085,2085,0,1,545.999,139.058328753,34128796.0,1,0,0
2112,2112,0,1,531.059,140.068127473,5671602.5,1,0,0
2115,2115,0,1,523.629,140.068159093,4780116.0,1,0,0
2118,2118,0,1,409.09,140.07052319,3114038.0,1,0,0
2125,2125,0,1,518.503,140.070635549,635769.875,1,0,0
2130,2130,0,1,460.835,141.054613498,3393543.5,1,0,0
2138,2138,0,1,445.89,141.065855009,936020.75,1,0,0
2145,2145,0,1,598.469,142.04983038,753674.5,1,0,0
2148,2148,0,1,437.165,142.049928914,563062.625,1,0,0
2153,2153,0,1,447.139,142.049930165,958485.5625,1,0,0
2163,2163,0,1,877.634,142.09752135,1354715.625,1,0,0
2168,2168,0,1,501.725,143.081555743,7783711.0,1,0,0
2176,2176,0,1,583.488,143.081565216,6803019.0,1,0,0
2178,2178,0,1,504.39,144.065513761,896229.75,1,0,0
2191,2191,0,1,299.618,144.065517683,570561.8125,1,0,0
2199,2199,0,1,559.742,144.065572532,1456933.625,1,0,0
2208,2208,0,1,452.144,144.065578657,4565687.0,1,0,0
