"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy","fragment_bin_id","loss_bin_id"
"2",2,1,2,578.503,53.0025291442871,0.00555229294364162,1,0,0,"53.00259",NA
"3",3,1,2,578.503,70.065055847168,1,1,0,0,"70.06514",NA
"5",5,4,2,652.517,70.065071105957,1,1,0,0,"70.06514",NA
"7",7,6,2,566.043,53.0392112731934,0.050747223134652,1,0,0,"53.03893",NA
"8",8,6,2,566.043,55.0546455383301,1,1,0,0,"55.05466","17.02617"
"9",9,6,2,566.043,57.0577621459961,0.391896800673904,1,0,0,"57.05774",NA
"10",10,6,2,566.043,72.0807189941406,0.679170793593352,1,0,0,"72.0807",NA
"12",12,11,2,1210.11,55.0546226501465,0.00844318563481418,1,0,0,"55.05466","17.02617"
"13",13,11,2,1210.11,72.0806503295898,1,1,0,0,"72.0807",NA
"15",15,14,2,468.47,55.0546569824219,1,1,0,0,"55.05466","18.01013"
"16",16,14,2,468.47,73.0645980834961,0.288575636420486,1,0,0,"73.06468",NA
"18",18,17,2,656.24,58.0655517578125,1,1,0,0,"58.06553","17.97373"
"19",19,17,2,656.24,76.0756149291992,0.138594311380985,1,0,0,"76.07561",NA
"21",21,20,2,1027.66,53.0025634765625,0.0111854582510725,1,0,0,"53.00259",NA
"22",22,20,2,1027.66,58.0654983520508,1,1,0,0,"58.06553","18.01013"
"23",23,20,2,1027.66,59.0734901428223,0.0291550501229977,1,0,0,"59.07334",NA
"27",27,26,2,562.308,53.0389213562012,0.887303227242009,1,0,0,"53.03893","27.99468"
"28",28,26,2,562.308,81.0333404541016,1,1,0,0,"81.03333",NA
"30",30,29,2,632.557,54.0340995788574,0.0220347432147781,1,0,0,"54.03418",NA
"31",31,29,2,632.557,66.034049987793,0.0262793619976233,1,0,0,"66.03409","17.02617"
"32",32,29,2,632.557,83.0603713989258,1,1,0,0,"83.06041",NA
"34",34,33,2,486.476,53.0025939941406,0.0740424654562576,1,0,0,"53.00259","31.04189"
"35",35,33,2,486.476,56.0497512817383,0.800150403497451,1,0,0,"56.04977","27.99468"
"36",36,33,2,486.476,84.0441970825195,1,1,0,0,"84.0442",NA
"38",38,37,2,566.043,55.0546836853027,0.0341287780231397,1,0,0,"55.05466",NA
"39",39,37,2,566.043,84.0807189941406,1,1,0,0,"84.08072",NA
"41",41,40,2,667.614,85.0283279418945,1,1,0,0,"85.02832",NA
"43",43,42,2,603.462,55.0183181762695,0.272313085337509,1,0,0,"55.01824","30.0102"
"44",44,42,2,603.462,85.0283203125,1,1,0,0,"85.02832",NA
"46",46,45,2,465.819,55.0184059143066,0.157857587888145,1,0,0,"55.01824","30.0102"
"47",47,45,2,465.819,57.0532646179199,0.0847444403833441,1,0,0,"57.05317",NA
"48",48,45,2,465.819,85.0283584594727,1,1,0,0,"85.02832",NA
"49",49,45,2,465.819,85.0474624633789,0.136794956977007,1,0,0,"85.04763",NA
"53",53,52,2,415.512,69.0337371826172,0.0563738060025155,1,0,0,"69.03367","17.02617"
"54",54,52,2,415.512,86.060188293457,1,1,0,0,"86.06016",NA
"56",56,55,2,646.272,58.065486907959,0.0133258604545098,1,0,0,"58.06553","27.99468"
"57",57,55,2,646.272,69.0335922241211,1,1,0,0,"69.03367","17.02652"
"58",58,55,2,646.272,86.0601196289062,0.320713277568273,1,0,0,"86.06016",NA
"60",60,59,2,1005.22,86.0601501464844,1,1,0,0,"86.06016",NA
"62",62,61,2,1018.27,86.0601501464844,1,1,0,0,"86.06016",NA
"64",64,63,2,603.462,86.0966262817383,1,1,0,0,"86.09652",NA
"66",66,65,2,609.647,86.0966262817383,1,1,0,0,"86.09652",NA
"68",68,67,2,280.189,53.0026206970215,0.0182145844835682,1,0,0,"53.00259",NA
"69",69,67,2,280.189,56.0498008728027,0.0256439494475003,1,0,0,"56.04977",NA
"70",70,67,2,280.189,69.0701217651367,0.102667209212027,1,0,0,"69.07013","17.02617"
"71",71,67,2,280.189,86.0600967407227,1,1,0,0,"86.06016",NA
"73",73,72,2,519.739,86.0965576171875,1,1,0,0,"86.09652",NA
"77",77,76,2,646.272,70.0368576049805,1,1,0,0,"70.03679",NA
"78",78,76,2,646.272,87.0554733276367,0.340029545441409,1,0,0,"87.0554",NA
"80",80,79,2,636.289,70.0368576049805,1,1,0,0,"70.03679",NA
"81",81,79,2,636.289,87.0554733276367,0.340029545441409,1,0,0,"87.0554",NA
"83",83,82,2,434.59,72.0807647705078,1,1,0,0,"72.0807",NA
"90",90,89,2,908.712,54.0341911315918,0.0265514398483699,1,0,0,"54.03418","35.0368"
"91",91,89,2,908.712,72.044677734375,1,1,0,0,"72.04468","17.02617"
"92",92,89,2,908.712,72.0806732177734,0.387234900363175,1,0,0,"72.0807",NA
"93",93,89,2,908.712,89.0712661743164,0.10938069037133,1,0,0,"89.07118",NA
"99",99,98,2,645.032,72.0807495117188,0.521527269832801,1,0,0,"72.0807","17.97421"
"100",100,98,2,645.032,73.0841445922852,0.191844731260057,1,0,0,"73.08416",NA
"101",101,98,2,645.032,90.0553817749023,1,1,0,0,"90.05538",NA
"103",103,102,2,433.349,90.091796875,1,1,0,0,"90.09154",NA
"105",105,104,2,631.311,72.0807495117188,0.521527269832801,1,0,0,"72.0807","17.97421"
"106",106,104,2,631.311,73.0841445922852,0.191844731260057,1,0,0,"73.08416",NA
"107",107,104,2,631.311,90.0553817749023,1,1,0,0,"90.05538",NA
"109",109,108,2,804.705,56.0497703552246,0.0222974240968412,1,0,0,"56.04977",NA
"110",110,108,2,804.705,72.0806350708008,1,1,0,0,"72.0807","18.01071"
"111",111,108,2,804.705,73.0841827392578,0.0145060296139045,1,0,0,"73.08416",NA
"112",112,108,2,804.705,90.0910034179688,0.395261689727609,1,0,0,"90.09105",NA
"128",128,127,2,402.687,68.0498733520508,0.0722209054382027,1,0,0,"68.04979","27.99468"
"129",129,127,2,402.687,96.0441970825195,1,1,0,0,"96.04414",NA
"131",131,130,2,389.139,68.0498733520508,0.0722209054382027,1,0,0,"68.04979","27.99468"
"132",132,130,2,389.139,96.0441970825195,1,1,0,0,"96.04414",NA
"134",134,133,2,667.614,71.0130004882812,0.0156831650440715,1,0,0,"71.01301","26.01537"
"135",135,133,2,667.614,97.0283889770508,1,1,0,0,"97.02839",NA
"145",145,144,2,382.583,55.0547142028809,0.169466044777392,1,0,0,"55.05466","43.00565"
"146",146,144,2,382.583,56.9651679992676,0.229855044786332,1,0,0,"56.9651",NA
"147",147,144,2,382.583,70.065185546875,0.427965772463883,1,0,0,"70.06514","27.99468"
"148",148,144,2,382.583,98.0600280761719,1,1,0,0,"98.06001",NA
"153",153,152,2,371.973,55.0547142028809,0.169466044777392,1,0,0,"55.05466","43.00565"
"154",154,152,2,371.973,56.9651679992676,0.229855044786332,1,0,0,"56.9651",NA
"155",155,152,2,371.973,70.065185546875,0.427965772463883,1,0,0,"70.06514","27.99468"
"156",156,152,2,371.973,98.0600280761719,1,1,0,0,"98.06001",NA
"158",158,157,2,603.462,56.9651794433594,1,1,0,0,"56.9651",NA
"159",159,157,2,603.462,82.0290069580078,0.583837438173888,1,0,0,"82.02903",NA
"164",164,163,2,542.28,56.9651527404785,0.0661607986875519,1,0,0,"56.9651",NA
"165",165,163,2,542.28,82.0290069580078,0.0331052906485838,1,0,0,"82.02903",NA
"166",166,163,2,542.28,98.9838027954102,1,1,0,0,"98.98384",NA
"167",167,163,2,542.28,116.994262695312,0.0415556964681919,1,0,0,"116.99459",NA
"169",169,168,2,554.77,56.9651527404785,0.0661607986875519,1,0,0,"56.9651",NA
"170",170,168,2,554.77,82.0290069580078,0.0331052906485838,1,0,0,"82.02903",NA
"171",171,168,2,554.77,98.9838027954102,1,1,0,0,"98.98384",NA
