"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy","fragment_bin_id","loss_bin_id"
"2",2,1,2,515.113,71.0136871337891,1,1,0,0,"71.0136",NA
"4",4,3,2,436.2,73.0293273925781,1,1,0,0,"73.02943",NA
"6",6,5,2,423.514,73.0293273925781,1,1,0,0,"73.02943",NA
"8",8,7,2,625.683,74.0245132446289,1,1,0,0,"74.02444",NA
"10",10,9,2,378.84,55.0616493225098,0.0327685246499305,1,0,0,"55.06165",NA
"11",11,9,2,378.84,75.0083847045898,1,1,0,0,"75.00848",NA
"12",12,9,2,378.84,87.500862121582,0.0316430351978292,1,0,0,"87.50086",NA
"14",14,13,2,515.113,74.9935913085938,1,1,0,0,"74.99361",NA
"16",16,15,2,401.406,76.9701232910156,1,1,0,0,"76.97008",NA
"17",17,15,2,401.406,94.9806365966797,0.383747413603002,1,0,0,"94.98062",NA
"19",19,18,2,393.589,76.9701232910156,1,1,0,0,"76.97008",NA
"20",20,18,2,393.589,94.9806365966797,0.383747413603002,1,0,0,"94.98062",NA
"22",22,21,2,612.997,78.9186096191406,1,1,0,0,"78.91867",NA
"24",24,23,2,605.4,78.9186096191406,1,1,0,0,"78.91867",NA
"26",26,25,2,651.9,62.9636764526367,0.0121154780931331,1,0,0,"62.96367",NA
"27",27,25,2,651.9,78.9591827392578,1,1,0,0,"78.95921",NA
"29",29,28,2,612.997,80.917236328125,1,1,0,0,"80.91689",NA
"30",30,28,2,612.997,80.9745941162109,0.0611421609111451,1,0,0,"80.97459",NA
"32",32,31,2,444.929,52.0187721252441,0.304841503720451,1,0,0,"52.01852","30.01096"
"33",33,31,2,444.929,82.0296401977539,1,1,0,0,"82.0297",NA
"35",35,34,2,411.936,83.0137100219727,1,1,0,0,"83.01365",NA
"37",37,36,2,689.847,85.0293807983398,1,1,0,0,"85.02942",NA
"39",39,38,2,423.514,87.0455703735352,1,1,0,0,"87.04555",NA
"41",41,40,2,410.66,51.6919212341309,0.0216213643457586,1,0,0,"51.69192",NA
"42",42,40,2,410.66,57.0662117004395,0.0193194864049452,1,0,0,"57.06621",NA
"43",43,40,2,410.66,63.5265274047852,0.020603303109978,1,0,0,"63.52653",NA
"44",44,40,2,410.66,87.0456008911133,1,1,0,0,"87.04555",NA
"45",45,40,2,410.66,102.281661987305,0.0236172417795444,1,0,0,"102.28166",NA
"47",47,46,2,398.922,51.6919212341309,0.0216213643457586,1,0,0,"51.69192",NA
"48",48,46,2,398.922,57.0662117004395,0.0193194864049452,1,0,0,"57.06621",NA
"49",49,46,2,398.922,63.5265274047852,0.020603303109978,1,0,0,"63.52653",NA
"50",50,46,2,398.922,87.0456008911133,1,1,0,0,"87.04555",NA
"51",51,46,2,398.922,102.281661987305,0.0236172417795444,1,0,0,"102.28166",NA
"53",53,52,2,208.669,71.0135116577148,1,1,0,0,"71.0136",NA
"55",55,54,2,704.051,58.005802154541,1,1,0,0,"58.00565",NA
"56",56,54,2,704.051,60.99267578125,0.521556110260456,1,0,0,"60.99274",NA
"57",57,54,2,704.051,71.0136032104492,0.821599408072259,1,0,0,"71.0136",NA
"59",59,58,2,470.003,51.2928085327148,0.0074203182525942,1,0,0,"51.29281",NA
"60",60,58,2,470.003,70.8854598999023,0.00937482191850319,1,0,0,"70.88546",NA
"61",61,58,2,470.003,71.0135498046875,0.0245420486518845,1,0,0,"71.0136","18.01084"
"62",62,58,2,470.003,75.0804672241211,0.00878338187735595,1,0,0,"75.08047",NA
"63",63,58,2,470.003,89.0249481201172,1,1,0,0,"89.02491",NA
"65",65,64,2,515.113,58.0055046081543,0.704608819823396,1,0,0,"58.00565",NA
"66",66,64,2,515.113,59.0107498168945,0.0548461743112756,1,0,0,"59.01075",NA
"67",67,64,2,515.113,59.013500213623,1,1,0,0,"59.01341","30.01096"
"68",68,64,2,515.113,71.0137023925781,0.36450683994311,1,0,0,"71.0136","18.01084"
"69",69,64,2,515.113,72.9928970336914,0.644281905992386,1,0,0,"72.99281",NA
"70",70,64,2,515.113,78.2119216918945,0.0493181724441517,1,0,0,"78.21192",NA
"71",71,64,2,515.113,89.0243072509766,0.745281445634294,1,0,0,"89.02422",NA
"72",72,64,2,515.113,109.658660888672,0.043418291546041,1,0,0,"109.65866",NA
"74",74,73,2,393.589,72.9928512573242,0.309957761241213,1,0,0,"72.99281",NA
"75",75,73,2,393.589,73.029426574707,1,1,0,0,"73.02943",NA
"76",76,73,2,393.589,87.0454940795898,0.624005868862771,1,0,0,"87.04555",NA
"78",78,77,2,470.003,88.0123443603516,0.014975757435538,1,0,0,"88.01236",NA
"79",79,77,2,470.003,90.028205871582,1,1,0,0,"90.02821",NA
"81",81,80,2,515.113,59.0090980529785,0.736885588561402,1,0,0,"59.00909",NA
"82",82,80,2,515.113,60.0166206359863,0.472979067662629,1,0,0,"60.01674","30.01096"
"83",83,80,2,515.113,72.0172653198242,0.77196793600163,1,0,0,"72.01702","18.01049"
"84",84,80,2,515.113,73.9965667724609,1,1,0,0,"73.99657",NA
"85",85,80,2,515.113,90.0281982421875,0.834109594431623,1,0,0,"90.02821",NA
"87",87,86,2,472.709,58.0054588317871,0.716355316633114,1,0,0,"58.00565",NA
"88",88,86,2,472.709,72.9928131103516,1,1,0,0,"72.99281",NA
"89",89,86,2,472.709,74.9904174804688,0.106642711504844,1,0,0,"74.99042",NA
"90",90,86,2,472.709,90.9712753295898,0.114726156299181,1,0,0,"90.97132",NA
"91",91,86,2,472.709,91.0404357910156,0.170502967303008,1,0,0,"91.04035",NA
"93",93,92,2,515.113,56.6276206970215,0.00769821747154166,1,0,0,"56.62762",NA
"94",94,92,2,515.113,58.0057945251465,0.511764308621287,1,0,0,"58.00565",NA
"95",95,92,2,515.113,59.0134162902832,1,1,0,0,"59.01341",NA
"96",96,92,2,515.113,68.9717788696289,0.00762959005818069,1,0,0,"68.97178",NA
"97",97,92,2,515.113,71.0136260986328,0.1442377372732,1,0,0,"71.0136","20.02631"
"98",98,92,2,515.113,72.9927062988281,0.349702993181556,1,0,0,"72.99281",NA
"99",99,92,2,515.113,80.4881973266602,0.00900329568682827,1,0,0,"80.4882",NA
"100",100,92,2,515.113,89.0249481201172,0.159141139633653,1,0,0,"89.02491",NA
"101",101,92,2,515.113,91.0403213500977,0.0749612354457991,1,0,0,"91.04035",NA
"102",102,92,2,515.113,102.489974975586,0.00816591281112764,1,0,0,"102.48997",NA
"104",104,103,2,515.113,59.0091361999512,0.624563171732083,1,0,0,"59.00909",NA
"105",105,103,2,515.113,60.0170211791992,1,1,0,0,"60.01674",NA
"106",106,103,2,515.113,72.0172348022461,0.302234357757754,1,0,0,"72.01702","20.02631"
"107",107,103,2,515.113,73.9965362548828,0.542693030701414,1,0,0,"73.99657",NA
"108",108,103,2,515.113,92.0438232421875,0.148768837681508,1,0,0,"92.04382",NA
"110",110,109,2,516.35,58.0054359436035,0.340152101245703,1,0,0,"58.00565",NA
"111",111,109,2,516.35,59.0090293884277,0.605739741005441,1,0,0,"59.00909",NA
"112",112,109,2,516.35,60.0166511535645,1,1,0,0,"60.01674",NA
"113",113,109,2,516.35,72.0167846679688,0.328138848638913,1,0,0,"72.01702",NA
"114",114,109,2,516.35,72.9928588867188,0.330741945461719,1,0,0,"72.99281",NA
"115",115,109,2,516.35,73.9966125488281,0.607242316788673,1,0,0,"73.99657",NA
"117",117,116,2,515.113,58.0057525634766,1,1,0,0,"58.00565",NA
"118",118,116,2,515.113,59.0134696960449,0.983291364248598,1,0,0,"59.01341",NA
"119",119,116,2,515.113,73.0181045532227,0.960624992996931,1,0,0,"73.0181","20.02631"
"120",120,116,2,515.113,93.0442504882812,0.642005328040669,1,0,0,"93.04425",NA
"122",122,121,2,1156.59,76.9700012207031,1,1,0,0,"76.97008",NA
"123",123,121,2,1156.59,94.9806060791016,0.576627997653175,1,0,0,"94.98062",NA
"124",124,121,2,1156.59,94.9928588867188,0.256535033146563,1,0,0,"94.99289",NA
"126",126,125,2,1205.49,58.9716339111328,0.030087467294239,1,0,0,"58.97163",NA
"127",127,125,2,1205.49,76.9699783325195,1,1,0,0,"76.97008",NA
"128",128,125,2,1205.49,94.980583190918,0.576682689135948,1,0,0,"94.98062",NA
"130",130,129,2,1186.4,58.9716339111328,0.030087467294239,1,0,0,"58.97163",NA
"131",131,129,2,1186.4,76.9699783325195,1,1,0,0,"76.97008",NA
"132",132,129,2,1186.4,94.980583190918,0.576682689135948,1,0,0,"94.98062",NA
"134",134,133,2,411.936,75.9623718261719,0.0299399699135835,1,0,0,"75.96237",NA
"135",135,133,2,411.936,76.9700012207031,1,1,0,0,"76.97008",NA
"136",136,133,2,411.936,94.9929122924805,0.0312547947073577,1,0,0,"94.99289",NA
"138",138,137,2,700.214,69.034309387207,0.00166906105732231,1,0,0,"69.03431",NA
"139",139,137,2,700.214,78.9592514038086,0.159708327681896,1,0,0,"78.95921",NA
"140",140,137,2,700.214,78.9665222167969,0.0134411001347919,1,0,0,"78.96652",NA
"141",141,137,2,700.214,79.9574279785156,0.221099153138201,1,0,0,"79.95741","17.00271"
"142",142,137,2,700.214,96.9599609375,1,1,0,0,"96.95997",NA
"144",144,143,2,651.9,55.3784713745117,0.000985155655816811,1,0,0,"55.37847",NA
"145",145,143,2,651.9,62.9636764526367,0.00185561539687608,1,0,0,"62.96367",NA
"146",146,143,2,651.9,69.9024353027344,0.00146109033520944,1,0,0,"69.90244",NA
"147",147,143,2,651.9,78.9592132568359,1,1,0,0,"78.95921","18.01049"
"148",148,143,2,651.9,89.3140182495117,0.00130974721205693,1,0,0,"89.31402",NA
"149",149,143,2,651.9,96.9699325561523,0.0896681821959075,1,0,0,"96.9699",NA
"151",151,150,2,592.96,78.9584884643555,1,1,0,0,"78.95849",NA
"153",153,152,2,411.936,97.0296936035156,1,1,0,0,"97.02971",NA
"155",155,154,2,656.951,78.9591293334961,1,1,0,0,"78.95921",NA
"156",156,154,2,656.951,96.9770965576172,0.00809540297852511,1,0,0,"96.9771",NA
"158",158,157,2,701.505,80.9568176269531,0.244566899674994,1,0,0,"80.95667","17.00271"
"159",159,157,2,701.505,97.9590682983398,1,1,0,0,"97.95907",NA
"161",161,160,2,700.214,79.9573516845703,0.0136656105578194,1,0,0,"79.95741",NA
"162",162,160,2,700.214,81.9606170654297,0.026584785189465,1,0,0,"81.96062",NA
"163",163,160,2,700.214,98.9560089111328,1,1,0,0,"98.95601",NA
"164",164,160,2,700.214,98.9644088745117,0.173772301634102,1,0,0,"98.96441",NA
"166",166,165,2,700.214,79.9573516845703,0.0136656105578194,1,0,0,"79.95741",NA
"167",167,165,2,700.214,81.9606170654297,0.026584785189465,1,0,0,"81.96062",NA
"168",168,165,2,700.214,98.9560089111328,1,1,0,0,"98.95601",NA
"169",169,165,2,700.214,98.9644088745117,0.173772301634102,1,0,0,"98.96441",NA
"171",171,170,2,614.232,99.0092926025391,1,1,0,0,"99.00929",NA
"173",173,172,2,415.832,100.040306091309,1,1,0,0,"100.04036",NA
"175",175,174,2,645.658,102.056632995605,1,1,0,0,"102.05644",NA
"177",177,176,2,638.211,59.0133285522461,1,1,0,0,"59.01341","43.99009"
"178",178,176,2,638.211,99.2225875854492,0.00474842731339697,1,0,0,"99.22259",NA
"179",179,176,2,638.211,111.499145507812,0.00444150428759987,1,0,0,"111.49915",NA
"181",181,180,2,618.126,59.0246391296387,1,1,0,0,"59.02461",NA
"183",183,182,2,488.172,57.0339889526367,0.899271233449558,1,0,0,"57.03396","46.00584"
"184",184,182,2,488.172,59.0245819091797,1,1,0,0,"59.02461",NA
"185",185,182,2,488.172,83.013542175293,0.061059472763697,1,0,0,"83.01365","20.02631"
"186",186,182,2,488.172,85.0293731689453,0.303126885114846,1,0,0,"85.02942","18.01084"
"187",187,182,2,488.172,101.024826049805,0.201580499788717,1,0,0,"101.02485",NA
"188",188,182,2,488.172,103.04027557373,0.320699803385634,1,0,0,"103.04027",NA
"190",190,189,2,418.313,57.0340728759766,1,1,0,0,"57.03396","46.00584"
"191",191,189,2,418.313,73.0293579101562,0.400842379404548,1,0,0,"73.02943","30.01096"
"192",192,189,2,418.313,103.040298461914,0.800079421865366,1,0,0,"103.04027",NA
"194",194,193,2,417.072,57.0340728759766,1,1,0,0,"57.03396",NA
"195",195,193,2,417.072,73.0293579101562,0.400842379404548,1,0,0,"73.02943",NA
"196",196,193,2,417.072,103.040298461914,0.800079421865366,1,0,0,"103.04027",NA
"198",198,197,2,638.211,59.0134735107422,0.632690509268247,1,0,0,"59.01341",NA
"199",199,197,2,638.211,60.0166778564453,1,1,0,0,"60.01674","43.99009"
"201",201,200,2,533.899,105.019577026367,1,1,0,0,"105.01958",NA
"205",205,204,2,464.877,71.0135269165039,1,1,0,0,"71.0136",NA
"207",207,206,2,417.072,123.045234680176,1,1,0,0,"123.04531",NA
"209",209,208,2,636.932,111.008399963379,1,1,0,0,"111.00841",NA
"211",211,210,2,695.208,111.00838470459,1,1,0,0,"111.00841",NA
"213",213,212,2,462.366,62.165828704834,0.0216150885564881,1,0,0,"62.16583",NA
"214",214,212,2,462.366,71.1727142333984,0.021021559643051,1,0,0,"71.17271",NA
"215",215,212,2,462.366,111.020568847656,1,1,0,0,"111.02057",NA
"217",217,216,2,369.419,83.013542175293,1,1,0,0,"83.01365","28.03171"
"219",219,218,2,388.26,83.013542175293,1,1,0,0,"83.01365","28.03171"
"223",223,222,2,701.505,112.051696777344,1,1,0,0,"112.05169",NA
"225",225,224,2,689.847,112.05167388916,1,1,0,0,"112.05169",NA
"227",227,226,2,599.171,68.9951248168945,1,1,0,0,"68.99524",NA
"229",229,228,2,462.366,112.016845703125,0.0552592561124037,1,0,0,"112.01685",NA
"230",230,228,2,462.366,112.051704406738,1,1,0,0,"112.05169",NA
"232",232,231,2,462.366,112.016845703125,0.0552592561124037,1,0,0,"112.01685",NA
"233",233,231,2,462.366,112.051704406738,1,1,0,0,"112.05169",NA
"235",235,234,2,463.64,68.9956588745117,1,1,0,0,"68.9957",NA
"237",237,236,2,604.162,68.9957504272461,1,1,0,0,"68.9957",NA
"238",238,236,2,604.162,85.0294418334961,0.160738362090035,1,0,0,"85.02942",NA
