"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy"
"1",1,0,1,608.571,73.0292530751326,571518.625,1,0,0
"4",4,0,1,538.566,75.0085003240489,1689745.625,1,0,0
"6",6,0,1,368.378,75.0085617292429,33093166,1,0,0
"10",10,0,1,368.378,76.0119283360487,970834.5625,1,0,0
"12",12,0,1,687.771,76.969878663688,303840.125,1,0,0
"15",15,0,1,617.517,78.9186980967798,338136.8125,1,0,0
"17",17,0,1,648.773,78.9589157518196,5881393,1,0,0
"20",20,0,1,410.452,79.9570107490111,10993493,1,0,0
"23",23,0,1,700.338,79.9571963294069,1835010.5,1,0,0
"25",25,0,1,655.036,83.0137994554823,361920.25,1,0,0
"27",27,0,1,687.771,85.0294864629387,1815583.125,1,0,0
"29",29,0,1,528.667,85.029489180207,1796711.125,1,0,0
"31",31,0,1,557.129,87.0451862309587,2930882,1,0,0
"33",33,0,1,630.031,88.0404508048347,2258891,1,0,0
"35",35,0,1,700.338,88.9881270929087,2526007.25,1,0,0
"37",37,0,1,460.526,89.0244969473978,1460710.125,1,0,0
"39",39,0,1,590.676,92.9280319933438,826346.75,1,0,0
"41",41,0,1,590.676,94.9251240420154,706741.3125,1,0,0
"44",44,0,1,603.605,94.925124164287,376835.96875,1,0,0
"47",47,0,1,445.323,94.9904000592456,1157748.125,1,0,0
"51",51,0,1,699.098,96.9600842651988,251475296,1,0,0
"58",58,0,1,660.005,96.9695998974393,68858504,1,0,0
"63",63,0,1,648.773,96.9696031242764,84849064,1,0,0
"68",68,0,1,593.333,96.9697946275865,20139272,1,0,0
"75",75,0,1,699.098,97.9594666141707,2134785,1,0,0
"78",78,0,1,700.338,97.9642696261491,423691.0625,1,0,0
"81",81,0,1,567.057,98.0360135215499,870278,1,0,0
"84",84,0,1,699.098,98.9559156659001,12849149,1,0,0
"88",88,0,1,700.338,98.9643586012096,2270113,1,0,0
"92",92,0,1,593.333,98.9668849835837,7569082.5,1,0,0
"94",94,0,1,647.531,98.973880404503,819998.5,1,0,0
"97",97,0,1,501.405,99.0087706213236,432481.25,1,0,0
"99",99,0,1,595.811,99.0200374436168,345639.46875,1,0,0
"101",101,0,1,671.282,99.0451919051994,463629.40625,1,0,0
"103",103,0,1,600.945,99.0451981774794,1683120.75,1,0,0
"105",105,0,1,554.659,99.0452009137359,8745989,1,0,0
"107",107,0,1,467.98,100.004083075643,2165881,1,0,0
"109",109,0,1,1259.21,100.985619138904,25249026,1,0,0
"114",114,0,1,569.567,101.024413927009,1073963.625,1,0,0
"116",116,0,1,554.659,101.024419844576,1224471.375,1,0,0
"118",118,0,1,1259.21,101.988933137143,274701.15625,1,0,0
"121",121,0,1,611.052,102.056062116396,17448342,1,0,0
"123",123,0,1,416.616,102.056073053114,4206448,1,0,0
"128",128,0,1,609.813,103.003723082525,2552717.75,1,0,0
"130",130,0,1,541.053,103.014938984075,51622860,1,0,0
"136",136,0,1,466.709,103.040104223332,2869565.25,1,0,0
"141",141,0,1,419.084,103.040119079607,10774659,1,0,0
"143",143,0,1,611.052,103.059420626777,850810.0625,1,0,0
"145",145,0,1,655.036,104.035371177398,1106857.875,1,0,0
"149",149,0,1,537.327,105.019295057444,4188237,1,0,0
"152",152,0,1,475.399,106.042408502784,827158.625,1,0,0
"154",154,0,1,283.084,107.049996108051,2946383.25,1,0,0
"156",156,0,1,270.451,107.05000599565,2535722.75,1,0,0
"158",158,0,1,476.635,107.050265884776,2017570.5,1,0,0
"160",160,0,1,307.857,109.029329595232,932692.75,1,0,0
"162",162,0,1,372.083,109.029368113587,610319.875,1,0,0
"164",164,0,1,544.756,109.029438891227,537653.8125,1,0,0
"166",166,0,1,465.472,110.024728796507,333736.625,1,0,0
"169",169,0,1,479.144,110.024733132367,566148.875,1,0,0
"172",172,0,1,495.232,110.036130338935,530705.6875,1,0,0
"175",175,0,1,435.21,110.958002909214,967365.3125,1,0,0
"177",177,0,1,446.561,110.958022027039,779874.8125,1,0,0
"179",179,0,1,433.97,110.975757727992,612987.9375,1,0,0
"183",183,0,1,700.338,111.947215340426,2655012.5,1,0,0
"187",187,0,1,653.795,112.012136913079,273268.71875,1,0,0
"189",189,0,1,631.275,112.040432577792,522705,1,0,0
"192",192,0,1,493.999,112.051672244246,307889920,1,0,0
"198",198,0,1,625.056,112.987992838955,1018998,1,0,0
"203",203,0,1,285.552,113.024414775174,1645720.5,1,0,0
"207",207,0,1,410.452,113.02444417704,969747,1,0,0
"212",212,0,1,512.534,113.024450597492,1625186.625,1,0,0
"216",216,0,1,502.639,113.024451036287,1428599.125,1,0,0
"220",220,0,1,568.33,113.024460895283,653472.5625,1,0,0
"222",222,0,1,358.48,113.024470198249,327997.625,1,0,0
"224",224,0,1,343.661,113.035659204589,624579.9375,1,0,0
"228",228,0,1,406.754,113.035661025308,2725969,1,0,0
"231",231,0,1,333.782,113.035693848601,522955.59375,1,0,0
"235",235,0,1,351.072,113.03569655563,452474.34375,1,0,0
"239",239,0,1,390.645,113.035700176337,737200.3125,1,0,0
"242",242,0,1,495.232,113.048732801791,3384736,1,0,0
"247",247,0,1,495.232,113.055041738908,13798957,1,0,0
"252",252,0,1,284.319,113.060836716177,6715946.5,1,0,0
"256",256,0,1,542.287,113.060849005064,1424595.375,1,0,0
"259",259,0,1,328.846,113.060856349506,1623072.5,1,0,0
"263",263,0,1,539.801,114.019640390784,1737788.75,1,0,0
"265",265,0,1,442.85,114.019656806516,1791126.875,1,0,0
"269",269,0,1,395.584,114.936290157552,1896755.625,1,0,0
"272",272,0,1,536.092,115.003671533495,8686029,1,0,0
"275",275,0,1,595.811,115.003680998012,2145359,1,0,0
"277",277,0,1,275.418,115.076460813227,3142725.25,1,0,0
"280",280,0,1,419.084,115.076471369319,721395.8125,1,0,0
"283",283,0,1,464.236,116.035341952574,1483960.75,1,0,0
"285",285,0,1,668.798,116.04657129933,3069884.25,1,0,0
"287",287,0,1,806.812,116.928572488115,1351201.625,1,0,0
"291",291,0,1,733.378,116.928578402935,387191.625,1,0,0
"296",296,0,1,395.584,116.934518985146,1031300.625,1,0,0
"301",301,0,1,541.053,117.019348405007,2618193.75,1,0,0
"306",306,0,1,607.33,117.01936563471,3581086.5,1,0,0
"310",310,0,1,709.229,117.019372309074,1457544.875,1,0,0
"315",315,0,1,343.661,117.05574850458,4220957,1,0,0
"319",319,0,1,333.782,117.055749302667,4103791.5,1,0,0
"323",323,0,1,616.274,118.051000794451,1021469,1,0,0
"328",328,0,1,374.553,118.90412541268,621600.25,1,0,0
"333",333,0,1,701.731,118.942044588841,2759734.25,1,0,0
"338",338,0,1,646.29,118.951555129043,1647843.25,1,0,0
"344",344,0,1,681.456,118.998593174037,1026924.875,1,0,0
"351",351,0,1,482.852,119.034976821765,32662722,1,0,0
"362",362,0,1,326.377,119.050228289056,517039.53125,1,0,0
"366",366,0,1,421.554,119.071345352019,401344.875,1,0,0
"369",369,0,1,484.087,120.038331801737,1559997.75,1,0,0
"371",371,0,1,481.615,120.996506256737,410348.34375,1,0,0
"376",376,0,1,490.297,120.996531745574,393312.40625,1,0,0
"381",381,0,1,372.083,121.029519805649,13902435,1,0,0
"390",390,0,1,555.894,121.050653355193,12589494,1,0,0
"395",395,0,1,315.266,121.058279843912,569446.875,1,0,0
"398",398,0,1,545.995,122.024725580695,1162664.125,1,0,0
"400",400,0,1,625.056,122.024782656765,3402414,1,0,0
"402",402,0,1,555.894,122.054023657014,596376.625,1,0,0
"404",404,0,1,1252.8,122.967613223155,21925178,1,0,0
"410",410,0,1,574.524,123.045212564404,1128627.625,1,0,0
"413",413,0,1,536.092,123.902044599288,744919.1875,1,0,0
"415",415,0,1,637.521,124.007360345571,31122080,1,0,0
"419",419,0,1,553.422,124.015086535046,519393.375,1,0,0
"421",421,0,1,427.782,124.0403804016,543363.8125,1,0,0
"423",423,0,1,512.534,124.991390287102,48589116,1,0,0
"431",431,0,1,637.521,125.006789575195,269977.875,1,0,0
"434",434,0,1,637.521,125.010703797369,628980.0625,1,0,0
"437",437,0,1,544.756,125.024367523159,1464100.5,1,0,0
"441",441,0,1,554.659,125.024403061736,1383141.625,1,0,0
"445",445,0,1,528.667,125.046866114294,260736.3125,1,0,0
"447",447,0,1,512.534,125.990848113201,460326.8125,1,0,0
"452",452,0,1,513.768,125.994719438653,1032313,1,0,0
"457",457,0,1,637.521,126.003196540351,1352582.75,1,0,0
"461",461,0,1,493.999,126.019736556812,5204117.5,1,0,0
"465",465,0,1,690.26,126.985977947092,907398,1,0,0
"467",467,0,1,320.203,126.986010320697,579468.3125,1,0,0
"469",469,0,1,512.534,126.987227566386,2325960,1,0,0
"474",474,0,1,512.534,126.99568159735,467931.125,1,0,0
"479",479,0,1,517.486,127.0149311725,266774.0625,1,0,0
"484",484,0,1,495.232,127.023090550518,358904.9375,1,0,0
"487",487,0,1,539.801,127.039910612073,621640.0625,1,0,0
"490",490,0,1,507.597,127.051323709598,303205.75,1,0,0
"495",495,0,1,534.854,127.076449208845,400527.9375,1,0,0
"498",498,0,1,523.672,127.076515528817,348381.09375,1,0,0
"501",501,0,1,482.852,128.035357589131,37253772,1,0,0
"507",507,0,1,464.236,128.035360404143,29466842,1,0,0
"513",513,0,1,720.587,129.019366522891,39362940,1,0,0
"520",520,0,1,528.667,129.019390693405,29451700,1,0,0
"527",527,0,1,421.554,129.01940616538,3739658.25,1,0,0
"531",531,0,1,471.689,129.030528954429,291540,1,0,0
"534",534,0,1,426.508,129.030636881567,7669144,1,0,0
"538",538,0,1,389.411,129.055733146036,306116.78125,1,0,0
"540",540,0,1,257.699,129.092177946864,2515765,1,0,0
"542",542,0,1,648.773,129.508081112895,515441.5,1,0,0
"547",547,0,1,804.086,130.000094703113,365589.59375,1,0,0
"550",550,0,1,720.587,130.022668026244,2021379.375,1,0,0
"553",553,0,1,528.667,130.022687048975,1562910.625,1,0,0
"555",555,0,1,426.508,130.033944434392,375909.1875,1,0,0
"558",558,0,1,421.554,130.050964432721,1103799.75,1,0,0
"561",561,0,1,595.811,130.050977201344,1881346.875,1,0,0
"563",563,0,1,628.788,130.062188540489,3909303.75,1,0,0
"565",565,0,1,420.318,130.087323434601,469433.46875,1,0,0
"568",568,0,1,372.083,130.087353121744,277951.75,1,0,0
"571",571,0,1,382,130.087360889514,419909.15625,1,0,0
"574",574,0,1,522.433,130.087365478677,417531.25,1,0,0
"576",576,0,1,365.904,130.087370615111,331540.34375,1,0,0
"579",579,0,1,625.056,130.998602228495,359957.375,1,0,0
"581",581,0,1,558.401,131.03499090957,10390892,1,0,0
"586",586,0,1,636.279,131.046231536921,850396,1,0,0
"591",591,0,1,422.789,131.071397905199,2478434,1,0,0
"594",594,0,1,541.053,132.030291932729,15208933,1,0,0
"603",603,0,1,519.958,132.066701575358,282081.875,1,0,0
"605",605,0,1,602.186,132.867898613111,877286.5,1,0,0
"608",608,0,1,585.69,132.867900247743,926400.875,1,0,0
"611",611,0,1,477.908,132.996528742677,374814.15625,1,0,0
"616",616,0,1,633.795,133.014292843671,1922369.75,1,0,0
"621",621,0,1,643.803,133.014304518661,2659954.75,1,0,0
"626",626,0,1,539.801,133.033719046372,627702.5,1,0,0
"629",629,0,1,481.615,133.050677485066,9297311,1,0,0
"634",634,0,1,318.969,134.061193522462,8218682.5,1,0,0
"637",637,0,1,603.605,134.89473590149,3320377.25,1,0,0
"645",645,0,1,588.2,134.894736273474,3438770.25,1,0,0
"653",653,0,1,595.811,135.01224070777,321828.40625,1,0,0
"661",661,0,1,541.053,135.02991107202,570022912,1,0,0
"678",678,0,1,660.005,135.029980566191,5251087.5,1,0,0
"680",680,0,1,677.716,135.029980605942,1297498.875,1,0,0
"682",682,0,1,503.873,135.066364486056,2600099.5,1,0,0
"684",684,0,1,597.049,135.894802646545,385847.59375,1,0,0
"688",688,0,1,608.571,136.000099117067,818856.0625,1,0,0
"692",692,0,1,652.554,136.497752382529,414762.21875,1,0,0
"697",697,0,1,584.453,136.863299833663,299461.125,1,0,0
"703",703,0,1,603.605,136.891649909276,1116399.75,1,0,0
"714",714,0,1,588.2,136.891663520683,1091215.125,1,0,0
"725",725,0,1,701.731,136.9400974874,554880.5,1,0,0
"731",731,0,1,661.262,136.949609600749,698535.8125,1,0,0
"737",737,0,1,701.731,136.952608802648,260762.609375,1,0,0
"743",743,0,1,648.773,136.962161130141,768291.4375,1,0,0
"749",749,0,1,763.324,137.024349472438,1203526.25,1,0,0
"752",752,0,1,502.639,137.024430897711,1279464.875,1,0,0
"755",755,0,1,480.38,137.035671714191,1678422,1,0,0
"758",758,0,1,527.427,137.060812400781,1563711.5,1,0,0
"760",760,0,1,432.733,137.060824867389,879333.5625,1,0,0
"764",764,0,1,562.108,138.019683509127,3443151.25,1,0,0
"766",766,0,1,704.25,138.019693034541,298951.53125,1,0,0
"769",769,0,1,584.453,138.023087625524,513923.875,1,0,0
"773",773,0,1,541.053,138.037543326435,290502.875,1,0,0
"775",775,0,1,347.369,138.056079659462,763195.375,1,0,0
"779",779,0,1,522.433,138.53160799175,392589.3125,1,0,0
"781",781,0,1,709.229,138.970697048314,36130056,1,0,0
"783",783,0,1,433.97,139.007106784059,2417199.75,1,0,0
"788",788,0,1,440.199,139.007111425073,1984218.375,1,0,0
"793",793,0,1,709.229,139.970154792979,298664.3125,1,0,0
"797",797,0,1,709.229,139.97410678529,791254.3125,1,0,0
"801",801,0,1,640.008,140.011908745327,492363.53125,1,0,0
"803",803,0,1,617.517,140.919369016294,309968.90625,1,0,0
"805",805,0,1,1228.35,140.965692058507,310062.375,1,0,0
"807",807,0,1,709.229,140.966526362504,1670373.75,1,0,0
"813",813,0,1,487.828,140.968669810578,270053.34375,1,0,0
"816",816,0,1,709.229,140.974991274653,354586.03125,1,0,0
"822",822,0,1,1254.04,140.978219923783,3767254,1,0,0
"826",826,0,1,470.452,141.01940031013,961325.8125,1,0,0
"828",828,0,1,479.144,141.019416526447,795477.5625,1,0,0
"830",830,0,1,621.288,141.019417851787,367987.46875,1,0,0
"832",832,0,1,283.084,141.092174811473,621129.1875,1,0,0
"834",834,0,1,260.182,141.092186689264,4305807,1,0,0
"836",836,0,1,322.673,141.092197404435,406178.40625,1,0,0
"838",838,0,1,330.08,141.092219597916,444462.5625,1,0,0
"840",840,0,1,339.955,141.092220162487,369126.4375,1,0,0
"842",842,0,1,346.135,141.09222120604,584539.9375,1,0,0
"844",844,0,1,433.97,142.050978865864,3609073.5,1,0,0
"847",847,0,1,517.486,142.087372937662,833307.25,1,0,0
"849",849,0,1,554.659,143.034996740455,1905080.5,1,0,0
"851",851,0,1,415.383,143.035026608792,2599462.75,1,0,0
"856",856,0,1,565.82,143.046244968613,1105331.125,1,0,0
"859",859,0,1,538.566,143.071449273705,1147570.625,1,0,0
"862",862,0,1,253.797,143.107772360016,6105599,1,0,0
"864",864,0,1,244.592,143.10778821579,3015450.5,1,0,0
"866",866,0,1,493.999,144.030324697322,13110476,1,0,0
"871",871,0,1,364.655,144.066652413131,4179443,1,0,0
"875",875,0,1,446.561,144.06666329739,6713115.5,1,0,0
"880",880,0,1,342.427,144.066666389189,4113987.75,1,0,0
"884",884,0,1,1257.96,144.975504362878,4641832,1,0,0
"887",887,0,1,633.795,145.014288084535,766551.375,1,0,0
"889",889,0,1,433.97,145.014290215737,521820.59375,1,0,0
"894",894,0,1,424.025,145.014317159035,644494.4375,1,0,0
"899",899,0,1,495.232,145.033718753363,729701.5625,1,0,0
"902",902,0,1,479.144,145.033737136039,298681.9375,1,0,0
"905",905,0,1,417.851,145.050698920716,968943.3125,1,0,0
"910",910,0,1,542.287,145.050729621071,2048430.75,1,0,0
"913",913,0,1,285.552,145.06183507197,9109873,1,0,0
"920",920,0,1,407.987,145.061888369456,5642083.5,1,0,0
"929",929,0,1,626.299,145.06192350541,509693.03125,1,0,0
"933",933,0,1,437.723,145.070001916495,412746.625,1,0,0
"938",938,0,1,362.184,145.070053673544,367769.8125,1,0,0
"941",941,0,1,424.025,145.070071618846,320824.75,1,0,0
"946",946,0,1,631.275,145.09829137183,377711.5,1,0,0
"948",948,0,1,604.847,146.045959326606,693145.75,1,0,0
"951",951,0,1,667.557,146.045960079455,1738647.125,1,0,0
"953",953,0,1,470.452,146.045965907008,3703169.5,1,0,0
"957",957,0,1,583.216,146.08235671396,299331.59375,1,0,0
"960",960,0,1,611.052,147.029961320405,32657692,1,0,0
"972",972,0,1,597.049,147.029974785023,20365456,1,0,0
"984",984,0,1,713.063,147.029983520508,3280991.25,1,0,0
"989",989,0,1,432.733,147.029990417148,400669.9375,1,0,0
"996",996,0,1,500.169,147.030011268624,3231812.75,1,0,0
"1000",1000,0,1,455.4,147.066369324544,2593137.25,1,0,0
"1006",1006,0,1,658.762,148.062994473325,342447.90625,1,0,0
"1008",1008,0,1,890.131,148.973243258854,574499,1,0,0
"1011",1011,0,1,676.469,149.009170532227,24933458,1,0,0
"1017",1017,0,1,534.854,149.045543708966,31437536,1,0,0
"1030",1030,0,1,470.452,149.045561042726,12557790,1,0,0
"1041",1041,0,1,490.297,149.045592554964,31354096,1,0,0
"1052",1052,0,1,474.161,149.08193655445,1827222.375,1,0,0
"1060",1060,0,1,565.82,149.505555839912,498280.40625,1,0,0
"1063",1063,0,1,676.469,150.012563314033,1102339.25,1,0,0
"1066",1066,0,1,465.472,150.017261791514,339255.4375,1,0,0
"1073",1073,0,1,482.852,150.017323775899,315832.78125,1,0,0
"1080",1080,0,1,489.063,150.049003786066,1610034.75,1,0,0
"1087",1087,0,1,386.94,150.056051511196,38226924,1,0,0
"1096",1096,0,1,1255.29,150.962536037469,1852528.125,1,0,0
"1098",1098,0,1,616.274,151.00373840332,1155975,1,0,0
"1101",1101,0,1,481.615,151.007092580837,11011680,1,0,0
"1113",1113,0,1,676.469,151.013414294137,321259.15625,1,0,0
"1116",1116,0,1,476.635,151.040099824087,7423859.5,1,0,0
"1128",1128,0,1,314.031,151.040103531051,1510849.625,1,0,0
"1133",1133,0,1,384.469,151.040144923612,1138909,1,0,0
"1141",1141,0,1,422.789,151.051353398833,23800308,1,0,0
"1145",1145,0,1,388.174,151.059376322624,3204828.25,1,0,0
"1153",1153,0,1,585.69,151.061242904498,19991312,1,0,0
"1161",1161,0,1,267.975,151.061282475365,283359.6875,1,0,0
"1163",1163,0,1,480.38,152.002355424513,315503.3125,1,0,0
"1167",1167,0,1,482.852,152.010493745888,490087.34375,1,0,0
"1171",1171,0,1,665.024,152.013261371012,561463.75,1,0,0
"1173",1173,0,1,421.554,152.035365336982,2752352.25,1,0,0
"1176",1176,0,1,476.635,152.043476178958,580477.375,1,0,0
"1180",1180,0,1,422.789,152.05472694131,1944013,1,0,0
"1183",1183,0,1,701.731,152.917686139996,1224703.625,1,0,0
"1187",1187,0,1,652.554,152.927212264729,1192197.375,1,0,0
"1193",1193,0,1,663.784,152.986394799447,8355308,1,0,0
"1200",1200,0,1,681.456,152.986405512021,414977.625,1,0,0
"1207",1207,0,1,481.615,153.002907980149,619568.6875,1,0,0
"1209",1209,0,1,616.274,153.019387440511,20383074,1,0,0
"1216",1216,0,1,307.857,153.019397791874,4146420.75,1,0,0
"1221",1221,0,1,553.422,153.019410010792,1358432.375,1,0,0
"1224",1224,0,1,424.025,153.019411869786,4707933,1,0,0
"1232",1232,0,1,544.756,153.019414311756,1481625.625,1,0,0
"1235",1235,0,1,559.636,153.030588853559,741458.25,1,0,0
"1238",1238,0,1,422.789,153.038747136727,308353.75,1,0,0
"1246",1246,0,1,422.789,153.067048633887,316986.59375,1,0,0
"1254",1254,0,1,536.092,154.014670101622,560126.75,1,0,0
"1256",1256,0,1,528.667,154.014685312837,508859.625,1,0,0
"1258",1258,0,1,690.26,154.014696551034,1117781.5,1,0,0
"1260",1260,0,1,616.274,154.022773088344,1685749,1,0,0
"1271",1271,0,1,545.995,154.05104682132,6837877.5,1,0,0
"1277",1277,0,1,621.288,154.062271608512,13904993,1,0,0
"1288",1288,0,1,663.784,154.982229285018,379687.21875,1,0,0
"1292",1292,0,1,652.554,154.998720404621,3543863,1,0,0
"1297",1297,0,1,430.256,155.002078284466,1041560,1,0,0
"1301",1301,0,1,490.297,155.009989686063,2034879.125,1,0,0
"1305",1305,0,1,420.318,155.035130191016,455573.8125,1,0,0
"1309",1309,0,1,496.466,155.046379515153,2458371.5,1,0,0
"1313",1313,0,1,621.288,155.065649986108,872665.6875,1,0,0
