"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy"
"1",1,0,1,597.846,70.06505240452,1053706.75,1,0,0
"3",3,0,1,590.056,70.0650556365417,1453148.75,1,0,0
"5",5,0,1,628.161,72.0554944358233,553467.25,1,0,0
"9",9,0,1,1204.07,72.0808150229657,3102811.5,1,0,0
"14",14,0,1,807.443,74.0712750357966,2406004.75,1,0,0
"18",18,0,1,793.814,74.0712752020942,5087354,1,0,0
"22",22,0,1,655.655,76.039320752118,8394232,1,0,0
"26",26,0,1,669.416,76.0393243675354,1439144.625,1,0,0
"30",30,0,1,523.051,76.0756687165447,166198608,1,0,0
"38",38,0,1,319.586,77.0383754746304,683518.875,1,0,0
"40",40,0,1,333.166,77.038391835278,691865.125,1,0,0
"42",42,0,1,523.051,77.0789973346874,5835899.5,1,0,0
"49",49,0,1,1038.33,83.0215479027392,577817.3125,1,0,0
"51",51,0,1,803.448,83.0215610312065,557759.8125,1,0,0
"53",53,0,1,540.419,83.0215768653016,9576397,1,0,0
"55",55,0,1,634.411,83.0602809940496,1474552.125,1,0,0
"57",57,0,1,1015.45,84.0556337043526,545982.75,1,0,0
"65",65,0,1,515.62,84.0805258623383,908256.3125,1,0,0
"67",67,0,1,447.356,86.0600879969845,7242080.5,1,0,0
"72",72,0,1,495.848,86.0711994007143,1465504.375,1,0,0
"74",74,0,1,483.468,86.0712400581051,645015,1,0,0
"89",89,0,1,641.938,90.0549791279499,1672397.875,1,0,0
"93",93,0,1,628.161,90.0550162374019,3403802.75,1,0,0
"97",97,0,1,1015.45,90.0913576912471,601483.8125,1,0,0
"103",103,0,1,805.986,90.0913632557895,860377.9375,1,0,0
"105",105,0,1,797.999,90.0913652055191,960066.1875,1,0,0
"107",107,0,1,330.697,91.054064351858,1990917.25,1,0,0
"110",110,0,1,297.348,91.054065325898,3059082.25,1,0,0
"112",112,0,1,287.402,91.0540724261497,5036159,1,0,0
"114",114,0,1,898.665,92.0705902523749,814510.5625,1,0,0
"116",116,0,1,906.568,92.07059494154,742225.5625,1,0,0
"120",120,0,1,784.506,92.0705980083154,763722.9375,1,0,0
"122",122,0,1,892.036,92.0705983535178,597528.0625,1,0,0
"124",124,0,1,595.191,93.0546568644647,714020.6875,1,0,0
