"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy"
"1373",1373,0,1,214.212,311.185159436742,1307364.625,1,0,0
"1551",1551,0,1,214.682,343.258958064148,1266598.875,1,0,0
"1587",1587,0,1,193.988,239.138917084862,704888.5,1,0,0
"1588",1588,0,1,214.212,246.152117593952,974210.25,1,0,0
"1596",1596,0,1,207.308,299.257941386233,2475826.75,1,0,0
"1672",1672,0,1,218.212,637.304875264103,1196579,1,3716,0
"1699",1699,0,1,219.624,260.167741277004,1413452.5,1,1869,0
"1725",1725,0,1,207.308,281.247294953078,1019791.5625,1,0,0
"1764",1764,0,1,221.516,304.248126595082,4405133,1,0,0
"1858",1858,0,1,221.516,287.221325168543,3865784.75,1,2144,0
"1869",1869,0,1,218.212,654.331580930066,3090745.25,1,3727,0
"2066",2066,0,1,227.777,768.537543273533,3926508.5,1,0,0
"2067",2067,0,1,252.681,768.537180273267,1619335.75,1,3866,0
"2101",2101,0,1,231.815,432.237759372772,1617582.75,1,0,0
"2104",2104,0,1,251.572,523.5196776224,2184421.75,1,3522,0
"2189",2189,0,1,245.105,276.231924364663,4634830.5,1,0,0
"2220",2220,0,1,246.889,312.25289725796,1228809.25,1,0,0
"2229",2229,0,1,249.345,704.521630172079,2068097,1,0,0
"2230",2230,0,1,269.264,704.522093013539,1231304,1,3782,0
"2231",2231,0,1,231.815,704.52181423128,2825588.75,1,0,0
"2244",2244,0,1,226.59,421.316911347848,3232826,1,0,0
"2288",2288,0,1,290.191,455.457209441146,1014835.1875,1,3295,0
"2289",2289,0,1,248.281,559.519492586772,2261938.25,1,3605,0
"2314",2314,0,1,241.788,415.210846542788,3424790.5,1,3110,0
"2368",2368,0,1,262.587,549.535416680655,2482630,1,0,0
"2379",2379,0,1,289.108,523.520018617381,1855352.5,1,0,0
"2417",2417,0,1,289.108,481.472782537178,2537635,1,0,0
"2418",2418,0,1,252.681,481.472302184181,2139274,1,3385,0
"2463",2463,0,1,251.572,509.503964732286,7748592,1,0,0
"2464",2464,0,1,289.108,509.504361529282,8478757,1,3487,0
"2511",2511,0,1,250.459,318.240063881051,7010620.5,1,2421,0
"2512",2512,0,1,288.028,318.240243091272,2871528,1,0,0
"2514",2514,0,1,251.572,535.519582540077,10445076,1,3546,0
"2515",2515,0,1,302.408,535.520081883959,5487645.5,1,0,0
"2537",2537,0,1,237.386,563.5505728313,49453644,1,0,0
"2538",2538,0,1,284.69,563.551074958379,26961918,1,0,0
"2541",2541,0,1,264.784,563.550970330826,33345504,1,3616,0
"2551",2551,0,1,286.929,304.261021099019,10451101,1,0,0
"2552",2552,0,1,237.386,304.260819105638,7654556,1,2303,0
"2617",2617,0,1,306.801,227.219903503055,2168187,1,0,0
"2618",2618,0,1,252.681,227.219713061452,1541041.375,1,1493,0
"2620",2620,0,1,289.108,227.219866342356,2338093,1,0,0
"2649",2649,0,1,246.889,184.169583703684,1049640,1,0,0
"2739",2739,0,1,301.302,288.289405614932,960735.1875,1,2155,0
"2757",2757,0,1,409.488,170.07475860976,6472343.5,1,885,0
"2778",2778,0,1,278.026,176.074004053306,10291107,1,0,0
"2780",2780,0,1,326.486,176.074089637204,897807,1,0,0
"2789",2789,0,1,310.113,181.026079128996,679138.5625,1,0,0
"2790",2790,0,1,335.857,181.026078752133,948233.4375,1,0,0
"2795",2795,0,1,290.191,237.221253823785,1278151.25,1,1615,0
"2811",2811,0,1,328.333,202.086342637758,1266778.375,1,0,0
"2899",2899,0,1,246.027,135.116671135516,640116.3125,1,0,0
"2951",2951,0,1,314.503,172.16963336966,4828384.5,1,906,0
"2953",2953,0,1,260.396,172.169521093729,1349480.25,1,0,0
"2961",2961,0,1,415.856,182.056128040884,1174269.125,1,0,0
"3014",3014,0,1,290.191,242.247763769596,8410714,1,0,0
"3016",3016,0,1,251.572,242.247554779786,4765254,1,0,0
"3021",3021,0,1,301.302,245.226360557711,1206551.875,1,0,0
"3026",3026,0,1,248.281,247.241823559413,1409126.5,1,0,0
"3041",3041,0,1,299.099,257.266687902366,3592522.25,1,0,0
"3042",3042,0,1,250.459,257.266499963242,2681134.75,1,1842,0
"3048",3048,0,1,246.027,263.23663805865,7018496.5,1,0,0
"3081",3081,0,1,227.777,393.285472181361,130776592,1,2974,0
"3084",3084,0,1,251.572,393.285322173472,62419712,1,0,0
"3120",3120,0,1,304.602,156.138448072337,2098623.75,1,0,0
"3121",3121,0,1,248.281,156.138301859352,1580114.25,1,0,0
"3122",3122,0,1,336.924,156.138392310749,1405251.625,1,0,0
"3125",3125,0,1,280.241,156.138372954505,1883886.5,1,0,0
"3137",3137,0,1,249.345,170.153896280875,1140974.125,1,0,0
"3151",3151,0,1,269.264,186.148908079864,1880740.875,1,0,0
"3153",3153,0,1,311.222,186.14900417472,1209766.25,1,0,0
"3160",3160,0,1,313.397,200.201043120127,8926091,1,0,0
"3161",3161,0,1,257.077,200.200848855109,3299075,1,0,0
"3169",3169,0,1,309.03,228.232233540229,46999356,1,0,0
"3170",3170,0,1,254.898,228.232041551763,24850644,1,0,0
"3172",3172,0,1,289.108,228.232196354735,43630232,1,1504,0
"3192",3192,0,1,238.5,296.258082217808,10916680,1,0,0
"3199",3199,0,1,392.513,338.34152977216,1135385.375,1,2589,0
"3210",3210,0,1,252.681,376.258876098696,30528190,1,2863,0
"3262",3262,0,1,264.784,123.116787251268,811924.3125,1,392,0
"3379",3379,0,1,272.56,146.117580800007,1377168,1,0,0
"3392",3392,0,1,398.572,190.053271230117,3735348.75,1,1091,0
"3395",3395,0,1,370.632,193.162829761159,1842337.625,1,0,0
"3400",3400,0,1,409.488,265.064105461341,2089105.375,1,0,0
"3405",3405,0,1,408.453,351.300558826044,2099374,1,2670,0
"3453",3453,0,1,402.892,355.063172640768,10278854,1,0,0
"3454",3454,0,1,320.929,355.063357059232,2806965.5,1,2703,0
"3507",3507,0,1,409.488,176.07413217185,8647510,1,0,0
"3560",3560,0,1,410.527,357.253599656865,4980873.5,1,2719,0
"3604",3604,0,1,405.952,262.143682159968,5691572,1,1888,0
"3607",3607,0,1,410.527,423.430766131308,6951313.5,1,3147,0
"3613",3613,0,1,243.82,142.12262058552,1044337.9375,1,0,0
"3615",3615,0,1,291.336,142.12273243306,1066206.375,1,0,0
"3634",3634,0,1,409.488,323.26936609882,6257711.5,1,2460,0
"3645",3645,0,1,414.751,167.092791625938,28140680,1,858,0
"3654",3654,0,1,249.345,265.252336830763,4257886,1,0,0
"3657",3657,0,1,285.796,265.252483281301,4741296,1,1914,0
"3658",3658,0,1,291.336,268.263374198583,6898484.5,1,0,0
"3659",3659,0,1,248.281,268.26319410514,5604354,1,0,0
"3690",3690,0,1,274.756,172.133214481291,2575931,1,0,0
"3692",3692,0,1,325.374,172.133243112007,2410023.5,1,0,0
"3698",3698,0,1,279.137,239.148807737689,1181682.875,1,0,0
"3703",3703,0,1,410.527,295.237981659734,5683184.5,1,2222,0
"3714",3714,0,1,280.241,162.058350753161,16946578,1,0,0
"3715",3715,0,1,410.527,162.058398012389,51251164,1,0,0
"3716",3716,0,1,373.904,162.058380581282,3198346.5,1,798,0
"3718",3718,0,1,298.016,162.058422121133,9348950,1,0,0
"3722",3722,0,1,302.408,192.159610799869,19436888,1,0,0
"3723",3723,0,1,341.921,192.159545409545,23085358,1,0,0
"3724",3724,0,1,408.453,192.159616139017,25263824,1,0,0
"3737",3737,0,1,410.527,176.037701858636,2514485.75,1,0,0
"3744",3744,0,1,330.676,148.042697281446,19104138,1,655,0
"3745",3745,0,1,410.527,148.042722860089,64923812,1,0,0
"3749",3749,0,1,402.137,244.190626382941,2907564.5,1,1702,0
"3750",3750,0,1,410.527,298.096791313655,27041064,1,2245,0
"3762",3762,0,1,412.578,202.107447566379,2716090.75,1,0,0
"3766",3766,0,1,410.527,309.253655539384,13121789,1,2347,0
"3768",3768,0,1,411.542,110.071333958643,2864894.5,1,253,0
"3830",3830,0,1,429.518,134.060044588878,6275784.5,1,0,0
"3835",3835,0,1,423.092,263.095953100181,4888019,1,0,0
"3869",3869,0,1,294.655,242.099862060857,5308799.5,1,0,0
"3872",3872,0,1,419.172,242.099743425772,19039342,1,0,0
"3942",3942,0,1,448.878,399.127263129333,827801.875,1,0,0
"3949",3949,0,1,413.676,220.117951789687,74030792,1,1416,0
"3950",3950,0,1,296.909,220.118084882728,22369284,1,0,0
"3951",3951,0,1,316.752,220.118038066438,15814985,1,1412,0
"3979",3979,0,1,448.878,377.145284976389,1365072.875,1,2870,0
"4034",4034,0,1,464.79,325.038156946051,784321.75,1,2474,0
"4076",4076,0,1,411.542,144.065606237272,7502087.5,1,0,0
"4092",4092,0,1,464.79,152.03183320509,3903458.25,1,0,0
"4098",4098,0,1,466.988,195.995778301876,1820325,1,1146,0
"4105",4105,0,1,464.79,259.092319160695,3443722.5,1,0,0
"4106",4106,0,1,443.974,259.09230581547,1583504.875,1,1861,0
"4109",4109,0,1,413.676,281.222146456843,12818251,1,0,0
"4118",4118,0,1,438.378,202.180238201282,664390.5,1,0,0
"4130",4130,0,1,428.633,152.07061990469,115225592,1,0,0
"4135",4135,0,1,441.38,267.206532737965,926275.1875,1,1935,0
"4144",4144,0,1,435.88,252.108957481859,711917.4375,1,0,0
"4154",4154,0,1,475.435,278.612653086216,668074.9375,1,2043,0
"4174",4174,0,1,464.79,84.0444026133629,7627015.5,1,0,0
"4178",4178,0,1,420.281,84.0444057171239,2349726.25,1,0,0
"4198",4198,0,1,318.952,241.203593224335,2856214,1,0,0
"4203",4203,0,1,309.03,124.039388326007,64111184,1,0,0
"4204",4204,0,1,411.542,124.039361277994,249747648,1,0,0
"4205",4205,0,1,373.904,124.039367425413,27626460,1,0,0
"4206",4206,0,1,330.676,124.039369773934,41944756,1,0,0
"4228",4228,0,1,250.459,256.263165218531,14365392,1,0,0
"4260",4260,0,1,407.346,239.139064982764,4141929.5,1,1636,0
"4277",4277,0,1,488.157,107.049143711235,1954494.25,1,224,0
"4295",4295,0,1,490.072,250.04258640587,2665895.5,1,0,0
"4303",4303,0,1,488.585,103.05422769924,4458295,1,0,0
"4310",4310,0,1,498.197,302.124694286231,794511.875,1,2284,0
"4332",4332,0,1,409.488,151.096581763606,4891342,1,691,0
"4339",4339,0,1,484.597,161.092070853611,1761483.875,1,0,0
"4340",4340,0,1,452.501,161.092087416438,1086122.75,1,0,0
"4345",4345,0,1,289.108,254.247719139462,39274264,1,0,0
