"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy","fragment_bin_id","loss_bin_id"
"10188",10188,1373,2,212.158,237.112306326528,1,1,0,0,"237.11231",NA
"10189",10189,1373,2,212.158,57.0702979399741,0.379392367853257,1,0,0,"57.07027",NA
"10190",10190,1373,2,212.158,111.044121002408,0.206274740874142,1,0,0,"111.04412",NA
"10191",10191,1373,2,212.158,83.0491497611244,0.158579988591514,1,0,0,"83.04911",NA
"10192",10192,1373,2,212.158,125.059990811863,0.101525811311461,1,0,0,"125.05999",NA
"10193",10193,1373,2,212.158,153.054870999091,0.101320858701033,1,0,0,"153.05487","158.13043"
"10194",10194,1373,2,212.158,107.049227302394,0.0701740426084302,1,0,0,"107.04913",NA
"10195",10195,1373,2,212.158,181.121985094518,0.0621491504818984,1,0,0,"181.12199","130.06286"
"10196",10196,1373,2,212.158,68.9973322141508,0.058721985932636,1,0,0,"68.99733",NA
"10197",10197,1373,2,212.158,163.111722575406,0.0410437861129136,1,0,0,"163.11172",NA
"10198",10198,1373,2,212.158,91.054482287191,0.0400297219088525,1,0,0,"91.05434",NA
"10199",10199,1373,2,212.158,71.0129036615673,0.0348637413125838,1,0,0,"71.01291",NA
"10201",10201,1551,2,212.629,133.060543688592,1,1,0,0,"133.06054",NA
"10202",10202,1551,2,212.629,87.055246778432,0.673362047382717,1,0,0,"87.05525",NA
"10203",10203,1551,2,212.629,74.0236364627663,0.489391781187368,1,0,0,"74.02366",NA
"10204",10204,1551,2,212.629,57.0702565199284,0.333715794794866,1,0,0,"57.07027",NA
"10205",10205,1551,2,212.629,211.205690902105,0.308536902681195,1,0,0,"211.20569",NA
"10206",10206,1551,2,212.629,95.0855749129837,0.241426367347372,1,0,0,"95.08564",NA
"10207",10207,1551,2,212.629,326.231568640926,0.238413417277454,1,0,0,"326.23157",NA
"10208",10208,1551,2,212.629,71.085598570439,0.216318386214292,1,0,0,"71.08561",NA
"10209",10209,1551,2,212.629,67.0544122436944,0.155827327034862,1,0,0,"67.05438",NA
"10210",10210,1551,2,212.629,81.0698177791518,0.131362583559168,1,0,0,"81.06986",NA
"10211",10211,1551,2,212.629,116.034325504935,0.111214817532951,1,0,0,"116.03432",NA
"10212",10212,1551,2,212.629,228.232354583607,0.0991782295751302,1,0,0,"228.23242",NA
"10213",10213,1551,2,212.629,109.101398592946,0.0855868784405002,1,0,0,"109.10109",NA
"10214",10214,1551,2,212.629,240.231898580797,0.0790786159377603,1,0,0,"240.2319",NA
"10215",10215,1551,2,212.629,69.0699152604389,0.0690525539164614,1,0,0,"69.06997",NA
"10216",10216,1551,2,212.629,99.0079724101141,0.0624433350992936,1,0,0,"99.00797",NA
"10217",10217,1551,2,212.629,55.0546849758902,0.0606304655356983,1,0,0,"55.05464",NA
"10218",10218,1551,2,212.629,97.1011962743975,0.0567915622513125,1,0,0,"97.10123",NA
"10219",10219,1551,2,212.629,98.0238877219589,0.0410492447054252,1,0,0,"98.02392",NA
"10226",10226,1587,2,195.072,193.13386713348,1,1,0,0,"193.13401","46.00537"
"10227",10227,1587,2,195.072,221.129172644073,0.286151157128386,1,0,0,"221.12917",NA
"10228",10228,1587,2,195.072,56.0497916520884,0.278830210912596,1,0,0,"56.04979",NA
"10229",10229,1587,2,195.072,89.0595239998014,0.262970382650653,1,0,0,"89.0596",NA
"10230",10230,1587,2,195.072,110.060109665574,0.217394213541175,1,0,0,"110.06013",NA
"10231",10231,1587,2,195.072,165.13900218934,0.199200114637263,1,0,0,"165.13908","74.00013"
"10232",10232,1587,2,195.072,82.0651639030216,0.185304714559568,1,0,0,"82.06515",NA
"10233",10233,1587,2,195.072,148.112046095751,0.148198119263599,1,0,0,"148.11219","91.02684"
"10234",10234,1587,2,195.072,212.128710918613,0.142708728542954,1,0,0,"212.12886",NA
"10235",10235,1587,2,195.072,79.0543109766247,0.120128597050473,1,0,0,"79.05431",NA
"10236",10236,1587,2,195.072,97.0884726337952,0.114087201074032,1,0,0,"97.08854",NA
"10237",10237,1587,2,195.072,81.0699394534245,0.106985156550662,1,0,0,"81.06986",NA
"10238",10238,1587,2,195.072,91.0543098614811,0.0951930776746879,1,0,0,"91.05434",NA
"10239",10239,1587,2,195.072,124.075538992254,0.0900594536145683,1,0,0,"124.07567","115.06311"
"10240",10240,1587,2,195.072,133.085981978867,0.0808198876023839,1,0,0,"133.08601",NA
"10241",10241,1587,2,195.072,95.0856090189196,0.0761082963613788,1,0,0,"95.08564",NA
