"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy"
"452",452,0,1,203.211,385.180956175353,812519.9375,1,2164,0
"631",631,0,1,200.343,513.253134653276,836454.625,1,2519,0
"672",672,0,1,204.488,358.258770112419,620586,1,0,0
"693",693,0,1,207.232,391.250976579334,706321.6875,1,0,0
"701",701,0,1,210.293,763.387842054471,3067729,1,3018,0
"716",716,0,1,210.293,742.458875827472,1796363.875,1,2966,0
"718",718,0,1,205.485,880.59025457616,864663.9375,1,0,0
"723",723,0,1,210.293,312.216835761482,719323.25,1,1810,0
"728",728,0,1,210.293,725.431971031412,4088666.75,1,2921,0
"729",729,0,1,202.648,774.563749953401,1193191.625,1,3039,0
"745",745,0,1,209.289,288.198935865449,1085179.375,1,0,0
"749",749,0,1,201.206,492.323539466084,9982513,1,2476,0
"752",752,0,1,203.769,928.590361291196,804047.8125,1,3226,0
"757",757,0,1,208.276,468.190928270845,1338711.875,1,2413,0
"767",767,0,1,214.453,246.152095003133,1243760.125,1,0,0
"779",779,0,1,209.289,401.175486045821,20868814,1,2227,0
"790",790,0,1,213.442,893.619633699446,1758086.25,1,3199,0
"795",795,0,1,205.485,354.26374172498,9401324,1,2025,0
"814",814,0,1,213.442,291.198577088836,1198791.5,1,1682,0
"852",852,0,1,216.657,663.452722072301,1006408.3125,1,0,0
"860",860,0,1,215.466,344.242969679474,1230264.5,1,0,0
"900",900,0,1,219.717,624.482522895762,965578,1,2771,0
"973",973,0,1,220.741,559.438686952211,941764.4375,1,2657,0
"1134",1134,0,1,224.833,545.387068353524,2117705,1,0,0
"1156",1156,0,1,215.466,309.205823969782,1018376.375,1,0,0
"1178",1178,0,1,216.657,564.429009892217,1685331.625,1,2672,0
"1181",1181,0,1,216.657,680.479548711731,4993214.5,1,2849,0
"1309",1309,0,1,232.061,532.43989370965,2934070,1,2589,0
"1356",1356,0,1,230.021,810.599515076824,5365107.5,1,3100,0
"1399",1399,0,1,220.741,654.331209171871,3328474,1,2811,0
"1479",1479,0,1,229.009,878.568603588594,1939896.375,1,3187,0
"1673",1673,0,1,246.075,675.543125620034,2891741.5,1,2840,0
"1694",1694,0,1,250.271,184.060507748335,969169.5,1,0,0
"1710",1710,0,1,256.573,508.37632867709,1441524.375,1,2509,0
"1730",1730,0,1,233.054,131.106732575831,6087012.5,1,0,0
"1742",1742,0,1,258.554,176.074025751606,30316812,1,0,0
"1766",1766,0,1,251.294,207.159166157342,16282084,1,0,0
"1767",1767,0,1,225.847,209.153635744039,3123832,1,0,0
"1787",1787,0,1,251.294,224.185636908546,12627276,1,0,0
"1809",1809,0,1,233.054,249.205997254191,2865380.75,1,0,0
"1816",1816,0,1,232.061,267.171809791698,19406334,1,0,0
"1817",1817,0,1,268.817,267.171827906541,1420391.25,1,1536,0
"1827",1827,0,1,235.021,294.206314887091,3984212.25,1,0,0
"1833",1833,0,1,237.039,305.214446748038,1819749.75,1,1778,0
"1835",1835,0,1,272.792,334.142992219361,2311367.5,1,0,0
"1843",1843,0,1,209.289,363.219483363237,178107360,1,0,0
"1848",1848,0,1,234.033,370.295113789206,2331696.25,1,0,0
"1855",1855,0,1,231.015,377.235491464697,12917040,1,2130,0
"1863",1863,0,1,231.015,394.207928951272,2868697,1,2194,0
"1868",1868,0,1,237.039,415.211229161462,11979495,1,2269,0
"1878",1878,0,1,263.725,520.339964571626,8530655,1,2541,0
"1880",1880,0,1,249.275,521.08354717629,20520492,1,2547,0
"1882",1882,0,1,221.846,531.407338415835,177966608,1,2588,0
"1883",1883,0,1,267.822,531.407533600917,32100500,1,0,0
"1889",1889,0,1,244.096,703.573707171486,73264568,1,2875,0
"1890",1890,0,1,244.096,717.589761798172,6237203,1,2903,0
"1892",1892,0,1,242.091,731.605630383746,1945531.375,1,0,0
"1894",1894,0,1,246.075,741.530097745689,1249290.625,1,2964,0
"1949",1949,0,1,268.817,388.253861318937,1520505.875,1,0,0
"1951",1951,0,1,237.039,460.269150101558,4061828,1,2393,0
"1953",1953,0,1,262.714,480.34483720161,1223948.875,1,2449,0
"1961",1961,0,1,229.009,834.599743401196,9447216,1,3129,0
"1998",1998,0,1,229.009,854.56857620537,3264145,1,3155,0
"2000",2000,0,1,229.009,856.583922505211,2901813.5,1,0,0
"2018",2018,0,1,245.092,362.235697877181,4725486,1,2067,0
"2050",2050,0,1,244.096,190.089612263116,4932651.5,1,0,0
"2134",2134,0,1,259.576,524.371260558887,11859067,1,0,0
"2143",2143,0,1,277.807,247.003854077421,5504496,1,1398,0
"2159",2159,0,1,259.576,227.164098953658,1230475.125,1,0,0
"2166",2166,0,1,232.061,782.569030663502,7522330.5,1,0,0
"2197",2197,0,1,231.015,830.568884780426,9173723,1,3123,0
"2224",2224,0,1,273.782,182.138868637158,3361291.5,1,0,0
"2229",2229,0,1,277.807,217.118510308216,4317675,1,0,0
"2245",2245,0,1,273.782,165.112269919564,4364047,1,710,0
"2256",2256,0,1,277.807,258.073881116986,3935766.5,1,0,0
"2260",2260,0,1,274.782,300.20178492023,5362713,1,0,0
"2266",2266,0,1,247.23,721.584654797595,4442248,1,2910,0
"2299",2299,0,1,233.054,758.569160992478,8477592,1,0,0
