PiMP Compound ID,Polarity,Detected m/z,RT,Intensity
507,+,137.0458,482.31,55176633.33
424,+,388.1813,513.23,27944956.67
845,+,364.7948,637.53,6777116.667
1824,+,540.2708,262.78,6813086.333
2116,+,374.7983,623.26,5118955
230,+,303.1062,589.43,4572691.417
508,+,291.0489,482.29,4642159.25
509,+,275.075,483.11,4435143.917
2304,+,152.0567,536.53,4239186.167
846,+,365.1291,636.34,3471533
510,+,253.0931,481.88,3415940.25
232,+,325.0881,588.18,3362550.667
2408,+,308.1702,286.95,3451008.75
1443,+,275.1599,410.68,2128179.21
427,+,371.1549,512.68,1749759.17
2946,+,611.161,530.06,1592204.253
3005,+,365.1292,612.09,1574690.13
1825,+,578.2266,262.9,1586923.463
848,+,546.689,635.94,1506014.297
3065,+,234.1083,812.6,1452947.17
3011,+,147.0763,420.3,1410892.67
3060,+,164.0739,674.44,1380069.793
2985,+,763.2843,514.35,1338637.42
849,+,365.4633,635.51,1252567.293
1444,+,412.2177,411.51,1210426.877
428,+,529.1757,512.68,1207786.063
3211,+,527.1965,480.02,1188005.753
1620,+,225.0756,202.87,1154849.857
432,+,209.102,514.6,1136126.417
444,+,344.0976,492.85,1128082.753
716,+,215.1252,278.59,1143198.853
951,+,434.1869,616.93,1063005.147
3240,+,479.1185,422.47,1057122.233
2117,+,561.6943,621.59,1021152.003
3012,+,277.1584,426.55,986078.8333
614,+,169.0583,629.59,980605.5433
3114,+,223.0938,550.53,969389.4833
335,+,457.222,206.75,933101.0667
3293,+,561.6943,598.15,934433.94
718,+,628.3829,272.14,846562.2533
850,+,547.1904,636.33,861247.8967
717,+,606.3699,271.24,848171.4167
332,+,513.1888,207.91,818422.3367
719,+,584.3568,273.99,812112.3533
1621,+,449.2355,204.28,818934.31
2308,+,388.1475,487.24,788511.8967
720,+,650.396,271.24,766731.96
3412,+,510.2163,516.85,760094.0233
2947,+,608.2398,647.78,754263.0833
3389,+,625.1765,456.3,749795.21
511,+,527.1618,483.11,715369.7933
1149,+,308.1699,360.07,741868.5433
233,+,403.1573,590.27,707773.96
3431,+,672.4089,270.77,684693.23
234,+,333.1306,588.6,675766.3767
1227,+,358.1132,419.4,675895.0833
445,+,366.0795,493.05,674670.6867
1224,+,375.1398,413.97,679932.8967
1225,+,375.1398,413.97,679932.8967
1445,+,387.1414,412.4,650689.3533
2587,+,553.3094,423.03,654725.8367
851,+,315.502,635.51,638757.0433
2118,+,562.1958,623.21,631173.3567
184,+,443.1952,539.98,651459.9833
176,+,351.122,646.12,632158.8033
434,+,268.1403,514.49,625208.8567
1900,+,397.1679,213.21,626517.4367
726,+,540.3305,274.4,594788.69
2060,+,178.0498,409.43,901637.3767
2522,+,182.0448,514.62,593538.73
1226,+,396.0691,420.02,597061.98
723,+,628.8846,271.65,577437.5833
3279,+,410.1769,545.15,578762.9167
235,+,238.1073,593.06,545996.3967
721,+,660.5233,273.52,567403.5633
3449,+,448.2029,645.64,552573.26
752,+,396.1612,567.79,544145.9367
2473,+,474.164,520.33,541861.3967
3496,+,117.0182,265.53,537704.7733
725,+,606.8715,272.61,529368.4733
3538,+,517.1342,415.73,530272.8333
2508,+,610.2187,656.79,526500.4067
3230,+,439.1787,467.45,513299.6167
3432,+,694.4219,271.18,511353.1567
730,+,584.8585,273.57,504403.6367
337,+,506.2751,207.05,502089.53
3594,+,420.1863,418.23,501823.99
1221,+,178.0498,418.55,1883158.877
443,+,361.124,492.61,1559985.337
715,+,231.0993,277.83,1571434.713
2805,+,527.3695,412.38,1739422.793
555,+,420.1866,449.48,876132.8533
328,+,527.2046,206.88,884327.4633
1026,+,270.0964,456.85,1701604.67
3514,+,475.7802,480.8,610075.6267
449,+,406.1819,503.87,606894.7533
727,+,476.3067,274.14,558423.76
49,+,249.1208,494.8,774019.49
2931,+,275.1598,400.31,1244831.133
2643,+,553.3097,297.54,748274.3133
3275,+,277.1584,299.26,826606.68
2577,+,419.1523,413.51,652331.1367
1899,+,371.1828,209.46,903128.1267
657,+,316.1292,412.48,839061.3133
272,+,205.0972,553.33,38112566.67
2111,+,355.1023,473.35,5929006
2747,+,255.0973,1073.97,1634976.42
2930,+,307.1582,710.43,593711.37
712,+,146.1175,272.86,30100363.33
999,+,132.0655,565.12,18659983
266,+,156.0768,620.47,117497746.7
3008,+,150.055,1375.39,1506989.627
1616,+,223.0964,207.88,9278525.333
2807,+,150.055,1364,2071643.417
613,+,130.0499,629.62,9205663.333
2937,+,132.1131,1058.11,1606654.547
713,+,193.1435,275.03,25254985.67
1823,+,251.1852,263.43,7551794.5
1780,+,437.1878,559.09,2555985.5
425,+,393.1366,511.69,5279758.167
426,+,325.1129,514.18,3926308.667
174,+,104.0706,644.87,113785178.7
793,+,133.0971,874.35,33796059.33
714,+,210.17,278.39,5227184.75
229,+,267.1199,586.18,17078911.33
3294,+,192.0501,689.17,768050.25
