"Ferulic acid nodes and edges",,,,,"Cosine","MzDiff"
"3156 (pp) 3215","pp","3156 (pp) 3215","pp","3156 (pp) 3215",0.837057,-42.011
"3113 (pp) 3215","pp","3113 (pp) 3215","pp","3113 (pp) 3215",0.61542,-72.021
"3113 (pp) 3156","pp","3113 (pp) 3156","pp","3113 (pp) 3156",0.803993,-30.01
"3070 (pp) 3215","pp","3070 (pp) 3215","pp","3070 (pp) 3215",0.657118,-99.059
"3017 (pp) 3215","pp","3017 (pp) 3215","pp","3017 (pp) 3215",0.591566,-116.015
"3017 (pp) 3156","pp","3017 (pp) 3156","pp","3017 (pp) 3156",0.634103,-74.004
"3017 (pp) 3064","pp","3017 (pp) 3064","pp","3017 (pp) 3064",0.891705,-15.994
"2519 (pp) 3215","pp","2519 (pp) 3215","pp","2519 (pp) 3215",0.804038,-217.101
"2519 (pp) 3156","pp","2519 (pp) 3156","pp","2519 (pp) 3156",0.825241,-175.09
"2519 (pp) 3113","pp","2519 (pp) 3113","pp","2519 (pp) 3113",0.632781,-145.08
"2519 (pp) 3070","pp","2519 (pp) 3070","pp","2519 (pp) 3070",0.688858,-118.042
"2519 (pp) 3064","pp","2519 (pp) 3064","pp","2519 (pp) 3064",0.670404,-117.08
"2519 (pp) 3017","pp","2519 (pp) 3017","pp","2519 (pp) 3017",0.626619,-101.086
"2442 (pp) 3215","pp","2442 (pp) 3215","pp","2442 (pp) 3215",0.664311,-233.108
"2442 (pp) 3156","pp","2442 (pp) 3156","pp","2442 (pp) 3156",0.719856,-191.097
"2442 (pp) 3113","pp","2442 (pp) 3113","pp","2442 (pp) 3113",0.550174,-161.087
"2442 (pp) 3070","pp","2442 (pp) 3070","pp","2442 (pp) 3070",0.587917,-134.049
"2442 (pp) 3017","pp","2442 (pp) 3017","pp","2442 (pp) 3017",0.61245,-117.093
"2442 (pp) 2519","pp","2442 (pp) 2519","pp","2442 (pp) 2519",0.728948,-16.007
"2279 (pp) 3215","pp","2279 (pp) 3215","pp","2279 (pp) 3215",0.798325,-259.121
"2279 (pp) 3156","pp","2279 (pp) 3156","pp","2279 (pp) 3156",0.857697,-217.11
"2279 (pp) 3070","pp","2279 (pp) 3070","pp","2279 (pp) 3070",0.726171,-160.062
"2279 (pp) 3064","pp","2279 (pp) 3064","pp","2279 (pp) 3064",0.662998,-159.1
"2279 (pp) 3017","pp","2279 (pp) 3017","pp","2279 (pp) 3017",0.663567,-143.106
"2279 (pp) 2519","pp","2279 (pp) 2519","pp","2279 (pp) 2519",0.888033,-42.02
"2279 (pp) 2442","pp","2279 (pp) 2442","pp","2279 (pp) 2442",0.744711,-26.013
"2131 (pp) 3215","pp","2131 (pp) 3215","pp","2131 (pp) 3215",0.810476,-275.119
"2131 (pp) 3156","pp","2131 (pp) 3156","pp","2131 (pp) 3156",0.846946,-233.108
"2131 (pp) 3113","pp","2131 (pp) 3113","pp","2131 (pp) 3113",0.649862,-203.098
"2131 (pp) 3070","pp","2131 (pp) 3070","pp","2131 (pp) 3070",0.688493,-176.06
"2131 (pp) 3017","pp","2131 (pp) 3017","pp","2131 (pp) 3017",0.679275,-159.104
"2131 (pp) 2519","pp","2131 (pp) 2519","pp","2131 (pp) 2519",0.830199,-58.018
"2131 (pp) 2442","pp","2131 (pp) 2442","pp","2131 (pp) 2442",0.752643,-42.011
"2131 (pp) 2279","pp","2131 (pp) 2279","pp","2131 (pp) 2279",0.908177,-15.998
