Topic 0,fragment_55.05468,loss_199.06926,fragment_144.992,fragment_143.08192,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_144.07733,fragment_144.08044,fragment_144.08074,fragment_144.10184,fragment_144.11326,fragment_144.13788,fragment_144.9935,fragment_143.07219,fragment_145.02839,fragment_145.0321,fragment_145.04997,fragment_145.06489
Topic 1,loss_91.02682,fragment_130.06466,fragment_126.0665,fragment_175.08718,fragment_158.05975,loss_117.0425,fragment_109.03969,fragment_104.04916,fragment_222.08567,fragment_248.1019,fragment_108.056,fragment_164.08269,loss_188.07961,fragment_242.11504,fragment_144.9935,fragment_144.08074,fragment_143.08514,fragment_143.11762,fragment_145.10132
Topic 2,fragment_95.08537,loss_43.00568,fragment_109.04829,loss_73.01579,fragment_123.11715,loss_45.0213,fragment_54.03416,fragment_82.02908,fragment_54.04242,fragment_144.06586,fragment_144.11326,fragment_143.11762,fragment_144.07733,fragment_144.08044,fragment_144.08074,fragment_143.08514,fragment_144.10184,loss_199.06926,fragment_144.13788
Topic 3,loss_146.06892,fragment_188.07057,fragment_118.06547,fragment_175.12224,fragment_89.10723,fragment_257.1242,fragment_200.13942,fragment_198.1244,fragment_145.04997,fragment_144.08074,fragment_143.08192,fragment_143.08514,fragment_146.04403,fragment_143.11762,fragment_144.06586,fragment_144.07733,fragment_144.08044,fragment_144.10184,fragment_145.06489
Topic 4,fragment_79.05417,loss_199.06926,fragment_144.992,fragment_143.08192,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_144.07733,fragment_144.08044,fragment_144.08074,fragment_144.10184,fragment_144.11326,fragment_144.13788,fragment_144.9935,fragment_143.07219,fragment_145.02839,fragment_145.0321,fragment_145.04997,fragment_145.06489
Topic 5,loss_132.04205,fragment_112.05107,loss_149.06875,fragment_71.01309,loss_186.06388,fragment_68.01312,fragment_137.04629,fragment_69.04509,fragment_82.03966,loss_82.02658,loss_199.06926,fragment_144.10184,fragment_144.07733,fragment_144.08074,fragment_144.08044,fragment_144.13788,fragment_144.06586,fragment_143.11762,fragment_144.11326
Topic 6,loss_59.03701,fragment_140.06835,fragment_74.0963,loss_111.0684,fragment_114.08889,loss_17.0258,fragment_143.08192,loss_199.06926,fragment_144.11326,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_144.07733,fragment_144.08044,fragment_144.08074,fragment_144.10184,fragment_144.992,fragment_144.13788,fragment_143.07219
Topic 7,fragment_98.05999,fragment_235.07575,fragment_114.10281,fragment_207.07983,fragment_97.07643,fragment_178.07836,fragment_263.06919,fragment_189.0702,loss_56.08736,fragment_115.05434,fragment_301.15214,fragment_191.08582,loss_161.10472,fragment_205.06525,fragment_246.63321,fragment_190.07874,fragment_203.05179,fragment_151.03858,fragment_144.08044
Topic 8,fragment_69.07013,fragment_125.09606,fragment_64.70525,fragment_144.9935,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_144.07733,fragment_144.08044,fragment_144.08074,fragment_144.10184,fragment_144.11326,fragment_144.13788,fragment_144.992,loss_199.06926,fragment_145.02839,fragment_143.0739,fragment_145.0321,fragment_145.04997
Topic 9,fragment_60.04476,fragment_107.04885,fragment_167.08158,fragment_160.90204,fragment_130.04926,fragment_144.07733,fragment_134.01288,loss_18.0095,fragment_144.13788,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_144.08044,fragment_144.08074,fragment_144.10184,fragment_144.11326,loss_199.06926,fragment_144.992,fragment_144.9935
Topic 10,loss_88.01596,fragment_156.01208,loss_106.02645,loss_119.05808,fragment_114.05541,fragment_143.0739,fragment_143.08192,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_144.07733,fragment_144.08044,fragment_144.08074,fragment_144.10184,fragment_144.11326,loss_199.06926,fragment_143.07219,fragment_144.992,fragment_144.9935
Topic 11,loss_68.02589,fragment_91.05413,fragment_51.0234,loss_70.04156,loss_56.02613,fragment_77.03872,loss_44.02606,loss_40.03143,fragment_81.03337,fragment_94.04141,loss_30.01047,fragment_127.03996,fragment_144.9935,fragment_144.06586,fragment_144.07733,fragment_144.08044,fragment_144.08074,fragment_144.10184,fragment_144.11326
Topic 12,loss_146.05776,fragment_175.00169,loss_163.08425,loss_181.05929,loss_195.07466,fragment_75.04398,fragment_59.04942,loss_199.06926,fragment_144.08074,fragment_143.0739,fragment_143.08192,fragment_143.08514,fragment_143.11762,fragment_144.06586,fragment_144.07733,fragment_144.08044,fragment_144.11326,fragment_144.10184,fragment_143.05747
Topic 13,fragment_96.04414,fragment_276.12192,fragment_324.14693,fragment_108.08067,loss_134.0566,fragment_208.09792,fragment_306.13616,fragment_140.11901,fragment_68.04931,fragment_198.11122,fragment_174.09146,fragment_188.1073,fragment_216.12171,fragment_119.04876,fragment_142.03245,fragment_142.04698,fragment_144.07733,fragment_141.02265,fragment_144.08044
