Topic 0,fragment_72.04464,fragment_90.09183,fragment_83.02156,fragment_133.09596,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,loss_197.12615,fragment_132.10153,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756
Topic 1,fragment_182.06331,fragment_316.11221,fragment_120.08038,fragment_93.06975,fragment_166.03151,fragment_135.0548,fragment_108.08043,fragment_150.0922,fragment_95.04928,fragment_283.13279,fragment_77.03869,fragment_148.07562,fragment_66.04626,fragment_137.10694,fragment_137.13277,fragment_132.06547,fragment_132.07688,fragment_132.08126,fragment_132.10153
Topic 2,fragment_151.07551,fragment_154.08562,fragment_243.04294,loss_167.04276,loss_179.11551,fragment_116.0165,fragment_214.01763,fragment_261.05283,fragment_253.10634,fragment_130.08698,fragment_133.07609,fragment_132.10153,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_130.06102,fragment_133.05262
Topic 3,loss_106.02643,fragment_130.06456,fragment_176.07091,loss_120.04187,fragment_169.00492,fragment_109.01041,fragment_61.08456,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.09596,fragment_133.08622,fragment_132.08126,fragment_133.09783
Topic 4,fragment_90.05527,loss_42.02137,fragment_132.07688,fragment_264.11969,loss_99.05336,fragment_157.0616,fragment_70.02898,fragment_188.07047,fragment_118.06543,fragment_146.05925,fragment_87.05538,fragment_144.08045,fragment_88.08681,fragment_73.02844,fragment_115.0507,fragment_114.06575,fragment_123.08075,fragment_133.05262,fragment_133.05131
Topic 5,loss_59.0736,fragment_97.04011,fragment_60.08098,fragment_70.02898,loss_103.03847,loss_88.05254,fragment_133.08622,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,loss_197.12615,fragment_132.10153,fragment_133.09596,fragment_133.09783,fragment_133.10075
Topic 6,fragment_168.0484,fragment_108.08131,fragment_109.04729,fragment_168.10203,fragment_150.0922,fragment_134.04803,fragment_181.04224,loss_179.05897,fragment_275.17417,fragment_94.92986,fragment_303.16995,fragment_342.09013,loss_18.01099,fragment_304.11845,fragment_132.99595,fragment_132.39426,fragment_133.04831,fragment_133.04976,fragment_132.10153
Topic 7,fragment_85.02826,fragment_60.08098,fragment_57.03403,loss_161.10491,loss_189.09988,loss_59.07417,fragment_217.07062,fragment_173.08041,fragment_144.10178,fragment_115.03912,fragment_84.08065,fragment_255.15766,fragment_243.15812,loss_148.07328,fragment_199.0612,fragment_58.06551,fragment_153.09084,fragment_131.06923,fragment_130.12219
Topic 8,fragment_110.03448,fragment_128.04547,loss_70.05305,fragment_55.02948,fragment_153.04054,fragment_71.06061,fragment_82.04025,fragment_135.02955,fragment_137.08257,loss_45.05823,fragment_243.07153,fragment_122.05871,fragment_162.07753,fragment_165.06372,fragment_136.08638,fragment_94.06543,fragment_116.07104,fragment_80.02427,fragment_162.09123
Topic 9,loss_59.07417,fragment_136.06225,fragment_195.11206,fragment_250.09302,fragment_102.05461,fragment_61.01084,fragment_164.09482,fragment_119.0351,fragment_147.09238,loss_179.05897,fragment_177.10154,fragment_298.09725,fragment_137.04605,fragment_145.03171,fragment_74.0597,fragment_75.02608,fragment_94.03965,fragment_75.02666,fragment_133.04976
