65," ""Small nitrogen containing abundant fragment ion - often proline or ornithine derived""",,
182," ""Water loss - indicative of a free hydroxyl group""",,
208," ""Combined loss of H2O and CO"," suggests free carboxylic acid group (COOH) substructure""",
168," ""Loss of [hexose-H2O] - suggests hexose conjugation (e.g. glucose) substructure""",,
89," ""Leucine substructure""",,
268," ""Conjugation of a phosphate group (H4O4P) substructure""",,
46," ""Losses indicative of a hexose with NH2 group""",,
297," ""Losses indicative of a hexose with NH2 group""",,
37," ""Fragments possibly indicative for N-Methyl-oxo-pyrrolidinecarboxylic acid like structure""",,
63," ""Pyroglutamic acid (pyroglutamate) substructure""",,
61," ""Amine loss - suggests free NH2 group in fragmented molecule""",,
45," ""Double water loss - indicative for metabolites containing multiple OH groups and aliphatic chain"," e.g. as in sugars""",
90," ""[proline-H2O] suggests conjugated proline substructure""",,
136," ""Loss possibly indicative of carboxylic acid group with 1-carbon attached""",,
81," ""Imidazole group linked to a carboxylgroup through one CH2 group substructure""",,
298," ""Fragments indicative for dihydroxylated benzene ring substructure""",,
72," ""Alkyl aromatic substructure - suggests aromatic ring with 2-carbon alkyl chain attached""",,
53," ""Pipecolic acid (pipecolate) substructure""",,
108," ""Trimethylated amine connected to a carboxylic acid group substructure (e.g. betaine)""",,
6," ""Cytosine and a loss of conjugated deoxyribose substructure""",,
166,Adenine substructure,,
202," ""Cinnamic acid (cinnamate) substructure""",,
289," ""Histidine substructure""",,
117," ""[phenylalanine-COOH] substructure""",,
269," ""Guanine substructure""",,
2," ""Ferulic acid substructure""",,
133," ""Ethylphenol substructure (e.g. resulting from Tyramine - MzCloud)""",,
71," ""Tryptophan related substructure""",,
238," ""Possibly suggests agmatine based substructure (C5H15N4)"," with unknown conjugation""",
111," ""fragments from [hexose-H2O] substructure (a hexose conjugation"," e.g. glucose)""",
134," ""Serine substructure""",,
187," ""y-aminobutyric acid (amimobutyrate) substructure""",,
290," ""Aconitic acid (aconitate) substructure""",,
246," ""Tyrosine substructure""",,
145," ""Asparagine substructure""",,
4," ""5-methylcytosine substructure""",,
29," ""N-acetylputrescine substructure""",,
165," ""Aromatic substructure", i.e.," benzene ring with hydroxyl and amine substitution"""
92," ""[Pentose-H2O] loss"," e.g. ribose""",
