74," ""Fragment ion related to 3-hydroxy-carboxilic acid substructure"" ",
158," ""2-oxo-butyric acid (2-oxo-butyrate) fragment""",
75," ""Loss of carboxilic acid group - suggests free CO2 group""",
273," ""Fragment related to small organic acid"" ",
50," ""Fragment of phosphonate - indicates phosphate substructure""",
180," ""Fragment consisting of aldehyde and hydroxyl group - common structural motif in sugar fragmentation""",
292," ""Loss of [hexose-H2O] - indication of hexose conjugation""",
82," ""Loss of water molecule (H2O) - indication of free hydroxyl group""",
47," ""Combined loss of CO2 and H20"," possibly suggests two carboxylic acid groups in the fragmented metabolite"""
145," ""Fragment related to pyruvic acid (pyruvate) or oxaloacetate""",
162," ""Loss related to lactic acid (lactate)""",
13," ""Loss possibly indicative of fumaric acid (fumarate)""",
88," ""Bicarbonate fragment - possibly related to small oxygen rich organic acids""",
184," ""Fragment and loss related to proline substructure - EF fits""",
216," ""Fragment of sulphate ion"," fragmented from aromatic structure"""
101," ""Fragments indicating lactic acid (lactate) substructure""",
105," ""Fragment ion indicating alanine substructure""",
284," ""Fragments related to nicotinic acid (nicotinate) substructure""",
32," ""Fragment related to 2-hydroxycarboxilic acid related substructure""",
254," ""Fragment related to 2-hydroxyethanoic acid substructure""",
164," ""Loss possibly indicating hydrated hexose loss""",
168," ""Loss of C=O""",
62," ""Glycine related fragment""",
174," ""Fragment indicative for ethylcarboxylate substructure""",
225," ""Fragment indicative of leucine substructure""",
21," ""Loss of two CO2 molecules – indicative for two free carboxylic acid groups""",
288," ""Loss indicating [pentose (C5-sugar)-H2O] loss""",
237," ""Fragment indicative of glutamine substructure""",
120," ""Fragments related to polysaccharides - this mass2motif contains doubly charged species""",
136," ""Fragments related to polysaccharides - this mass2motif contains singly charged species""",
291," ""Fragments related to polysaccharides - this mass2motif contains doubly charged species""",
95," ""Fragments indicative for guanine (C5H4N5O) substructure""",
199," ""Fragments indicative for caffeoylquinic acid like metabolites""",
191," ""Fragments indicative for polyhydroxylated benzene ring""",
287," ""Fragments indicative for citric acid (citrate) substructure""",
106," ""Fragment possibly indicative for carboxylic acid group with a 5-carbon alkyl chain attached""",
193," ""Loss of acetyl group  - indicative for the conjugation of acetic acid""",
87," ""Fragments indicative to phenylalanine substructure""",
99," ""Fragments indicative to phenylalanine substructure""",
140," ""Fragment possibly suggests hydroxyphenylethylene substructure""",
2," ""Fragments indicative for sulphate group substructure""",
