,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
fragment_50.00524,2.887319470350074e-06,7.408274449898492e-07,2.558578658383658e-06,2.9634722411554675e-06,0.011080892032444991,6.244458043486435e-06,2.0385614279714386e-06,8.973905677072081e-07,1.5222043955173887e-06,3.1187430218124126e-06,2.330231019103178e-06,1.7576484070431945e-06,3.3428940102024505e-06,5.119226791985358e-06,3.0946147514095466e-06,1.8401227729913493e-06,3.1731727284842336e-06,3.634486919481516e-06,2.0062514796104046e-06,2.589050388098619e-06,4.028327196848191e-06,1.2704188062636625e-06,1.0811488720373602e-06,3.7944616038429574e-06,2.943409999352363e-06,1.3481776682458049e-06,5.08538359048425e-06,3.296609107871594e-06,2.445334546219158e-06,2.7805428731905196e-06,2.3065815999371987e-06,2.094056648420382e-06,2.3549248543478695e-06,2.0171782903203455e-06,1.955638300784933e-06,1.7186796415521398e-06,1.3897729388972278e-06,3.609561005190457e-06,2.7507138102336084e-06,2.5836989267314287e-06,2.2087634900229858e-06,2.4128828641883982e-06,2.5390892794571815e-06,1.3155436747344235e-06,2.089244153250212e-06,2.956463124035326e-06,2.2787244611955507e-06,1.8988231094367514e-06,1.8260104228674817e-06,1.7691537429985168e-06
fragment_52.01852,2.887319470350074e-06,7.408274449898492e-07,2.558578658383658e-06,2.9634722411554675e-06,2.1722979871485966e-06,6.244458043486435e-06,2.0385614279714386e-06,8.973905677072081e-07,1.5222043955173887e-06,3.1187430218124126e-06,2.330231019103178e-06,1.7576484070431945e-06,3.3428940102024505e-06,5.119226791985358e-06,3.0946147514095466e-06,1.8401227729913493e-06,3.1731727284842336e-06,3.634486919481516e-06,2.0062514796104046e-06,2.589050388098619e-06,4.028327196848191e-06,1.2704188062636625e-06,1.0811488720373602e-06,3.7944616038429574e-06,2.943409999352363e-06,1.3481776682458049e-06,5.08538359048425e-06,3.296609107871594e-06,2.445334546219158e-06,2.7805428731905196e-06,2.3065815999371987e-06,0.010681782963592368,2.3549248543478695e-06,2.0171782903203455e-06,1.955638300784933e-06,1.7186796415521398e-06,1.3897729388972278e-06,3.609561005190457e-06,2.7507138102336084e-06,2.5836989267314287e-06,2.2087634900229858e-06,2.4128828641883982e-06,2.5390892794571815e-06,1.3155436747344235e-06,2.089244153250212e-06,2.956463124035326e-06,2.2787244611955507e-06,1.8988231094367514e-06,1.8260104228674817e-06,1.7691537429985168e-06
fragment_53.81545,2.887319470350074e-06,7.408274449898492e-07,2.558578658383658e-06,2.9634722411554675e-06,2.1722979871485966e-06,6.244458043486435e-06,2.0385614279714386e-06,8.973905677072081e-07,1.5222043955173887e-06,3.1187430218124126e-06,2.330231019103178e-06,1.7576484070431945e-06,3.3428940102024505e-06,5.119226791985358e-06,3.0946147514095466e-06,1.8401227729913493e-06,3.1731727284842336e-06,3.634486919481516e-06,2.0062514796104046e-06,2.589050388098619e-06,4.028327196848191e-06,1.2704188062636625e-06,1.0811488720373602e-06,3.7944616038429574e-06,2.943409999352363e-06,1.3481776682458049e-06,5.08538359048425e-06,3.296609107871594e-06,2.445334546219158e-06,2.7805428731905196e-06,2.3065815999371987e-06,2.094056648420382e-06,2.3549248543478695e-06,2.0171782903203455e-06,1.955638300784933e-06,1.7186796415521398e-06,1.3897729388972278e-06,3.609561005190457e-06,2.7507138102336084e-06,2.5836989267314287e-06,2.2087634900229858e-06,2.4128828641883982e-06,2.5390892794571815e-06,1.3155436747344235e-06,2.089244153250212e-06,2.956463124035326e-06,2.2787244611955507e-06,1.8988231094367514e-06,1.8260104228674817e-06,0.00973211474023484
fragment_53.93885,2.887319470350074e-06,7.408274449898492e-07,2.558578658383658e-06,2.9634722411554675e-06,2.1722979871485966e-06,6.244458043486435e-06,2.0385614279714386e-06,8.973905677072081e-07,1.5222043955173887e-06,3.1187430218124126e-06,2.330231019103178e-06,1.7576484070431945e-06,3.3428940102024505e-06,5.119226791985358e-06,3.0946147514095466e-06,1.8401227729913493e-06,3.1731727284842336e-06,3.634486919481516e-06,2.0062514796104046e-06,2.589050388098619e-06,4.028327196848191e-06,1.2704188062636625e-06,0.00562305528346631,3.7944616038429574e-06,2.943409999352363e-06,1.3481776682458049e-06,5.08538359048425e-06,3.296609107871594e-06,2.445334546219158e-06,2.7805428731905196e-06,2.3065815999371987e-06,2.094056648420382e-06,2.3549248543478695e-06,2.0171782903203455e-06,1.955638300784933e-06,1.7186796415521398e-06,1.3897729388972278e-06,3.609561005190457e-06,2.7507138102336084e-06,2.5836989267314287e-06,2.2087634900229858e-06,2.4128828641883982e-06,2.5390892794571815e-06,1.3155436747344235e-06,2.089244153250212e-06,2.956463124035326e-06,2.2787244611955507e-06,1.8988231094367514e-06,1.8260104228674817e-06,1.7691537429985168e-06
fragment_54.7677,2.887319470350074e-06,7.408274449898492e-07,2.558578658383658e-06,2.9634722411554675e-06,2.1722979871485966e-06,6.244458043486435e-06,2.0385614279714386e-06,8.973905677072081e-07,1.5222043955173887e-06,3.1187430218124126e-06,2.330231019103178e-06,1.7576484070431945e-06,3.3428940102024505e-06,5.119226791985358e-06,3.0946147514095466e-06,1.8401227729913493e-06,3.1731727284842336e-06,3.634486919481516e-06,2.0062514796104046e-06,2.589050388098619e-06,4.028327196848191e-06,1.2704188062636625e-06,0.005514940396262575,3.7944616038429574e-06,2.943409999352363e-06,1.3481776682458049e-06,5.08538359048425e-06,3.296609107871594e-06,2.445334546219158e-06,2.7805428731905196e-06,2.3065815999371987e-06,2.094056648420382e-06,2.3549248543478695e-06,2.0171782903203455e-06,1.955638300784933e-06,1.7186796415521398e-06,1.3897729388972278e-06,3.609561005190457e-06,2.7507138102336084e-06,2.5836989267314287e-06,2.2087634900229858e-06,2.4128828641883982e-06,2.5390892794571815e-06,1.3155436747344235e-06,2.089244153250212e-06,2.956463124035326e-06,2.2787244611955507e-06,1.8988231094367514e-06,1.8260104228674817e-06,1.7691537429985168e-06
fragment_55.01843,2.887319470350074e-06,7.408274449898492e-07,0.01714503558982889,2.9634722411554675e-06,2.1722979871485966e-06,6.244458043486435e-06,2.0385614279714386e-06,8.973905677072081e-07,1.5222043955173887e-06,3.1187430218124126e-06,2.330231019103178e-06,1.7576484070431945e-06,3.3428940102024505e-06,5.119226791985358e-06,3.0946147514095466e-06,1.8401227729913493e-06,3.1731727284842336e-06,3.634486919481516e-06,2.0062514796104046e-06,2.589050388098619e-06,4.028327196848191e-06,1.2704188062636625e-06,0.05416663963794379,3.7944616038429574e-06,2.943409999352363e-06,1.3481776682458049e-06,5.08538359048425e-06,3.296609107871594e-06,2.445334546219158e-06,2.7805428731905196e-06,2.3065815999371987e-06,2.094056648420382e-06,2.3549248543478695e-06,2.0171782903203455e-06,1.955638300784933e-06,1.7186796415521398e-06,1.3897729388972278e-06,3.609561005190457e-06,2.7507138102336084e-06,2.5836989267314287e-06,0.026949123341770447,2.4128828641883982e-06,2.5390892794571815e-06,1.3155436747344235e-06,2.089244153250212e-06,2.956463124035326e-06,2.2787244611955507e-06,1.8988231094367514e-06,1.8260104228674817e-06,1.7691537429985168e-06
fragment_55.94488,2.887319470350074e-06,7.408274449898492e-07,2.558578658383658e-06,2.9634722411554675e-06,2.1722979871485966e-06,6.244458043486435e-06,2.0385614279714386e-06,8.973905677072081e-07,1.5222043955173887e-06,3.1187430218124126e-06,2.330231019103178e-06,1.7576484070431945e-06,3.3428940102024505e-06,5.119226791985358e-06,3.0946147514095466e-06,1.8401227729913493e-06,3.1731727284842336e-06,3.634486919481516e-06,2.0062514796104046e-06,2.589050388098619e-06,4.028327196848191e-06,1.2704188062636625e-06,1.0811488720373602e-06,3.7944616038429574e-06,2.943409999352363e-06,1.3481776682458049e-06,5.08538359048425e-06,3.296609107871594e-06,2.445334546219158e-06,2.7805428731905196e-06,2.3065815999371987e-06,2.094056648420382e-06,2.3549248543478695e-06,2.0171782903203455e-06,1.955638300784933e-06,1.7186796415521398e-06,1.3897729388972278e-06,3.609561005190457e-06,2.7507138102336084e-06,2.5836989267314287e-06,2.2087634900229858e-06,2.4128828641883982e-06,2.5390892794571815e-06,1.3155436747344235e-06,2.089244153250212e-06,2.956463124035326e-06,0.012763135707156278,1.8988231094367514e-06,1.8260104228674817e-06,1.7691537429985168e-06
fragment_56.97985,2.887319470350074e-06,7.408274449898492e-07,2.558578658383658e-06,2.9634722411554675e-06,2.1722979871485966e-06,6.244458043486435e-06,2.0385614279714386e-06,8.973905677072081e-07,1.5222043955173887e-06,3.1187430218124126e-06,2.330231019103178e-06,0.010547648090666209,3.3428940102024505e-06,5.119226791985358e-06,3.0946147514095466e-06,1.8401227729913493e-06,3.1731727284842336e-06,3.634486919481516e-06,2.0062514796104046e-06,2.589050388098619e-06,4.028327196848191e-06,1.2704188062636625e-06,1.0811488720373602e-06,3.7944616038429574e-06,2.943409999352363e-06,1.3481776682458049e-06,5.08538359048425e-06,3.296609107871594e-06,2.445334546219158e-06,2.7805428731905196e-06,2.3065815999371987e-06,2.094056648420382e-06,2.3549248543478695e-06,2.0171782903203455e-06,1.955638300784933e-06,1.7186796415521398e-06,1.3897729388972278e-06,3.609561005190457e-06,2.7507138102336084e-06,2.5836989267314287e-06,2.2087634900229858e-06,2.4128828641883982e-06,2.5390892794571815e-06,1.3155436747344235e-06,2.089244153250212e-06,2.956463124035326e-06,2.2787244611955507e-06,1.8988231094367514e-06,1.8260104228674817e-06,1.7691537429985168e-06
fragment_56.99533,2.887319470350074e-06,7.408274449898492e-07,2.558578658383658e-06,2.9634722411554675e-06,2.1722979871485966e-06,6.244458043486435e-06,2.0385614279714386e-06,8.973905677072081e-07,1.5222043955173887e-06,3.1187430218124126e-06,2.330231019103178e-06,1.7576484070431945e-06,3.3428940102024505e-06,5.119226791985358e-06,3.0946147514095466e-06,1.8401227729913493e-06,3.1731727284842336e-06,3.634486919481516e-06,2.0062514796104046e-06,2.589050388098619e-06,4.028327196848191e-06,1.2704188062636625e-06,1.0811488720373602e-06,3.7944616038429574e-06,2.943409999352363e-06,1.3481776682458049e-06,5.08538359048425e-06,3.296609107871594e-06,2.445334546219158e-06,2.7805428731905196e-06,2.3065815999371987e-06,2.094056648420382e-06,2.3549248543478695e-06,2.0171782903203455e-06,1.955638300784933e-06,1.7186796415521398e-06,1.3897729388972278e-06,3.609561005190457e-06,2.7507138102336084e-06,2.5836989267314287e-06,2.2087634900229858e-06,0.02968087211238149,2.5390892794571815e-06,1.3155436747344235e-06,2.089244153250212e-06,2.956463124035326e-06,2.2787244611955507e-06,1.8988231094367514e-06,1.8260104228674817e-06,1.7691537429985168e-06
fragment_57.03411,2.887319470350074e-06,7.408274449898492e-07,2.558578658383658e-06,2.9634722411554675e-06,2.1722979871485966e-06,6.244458043486435e-06,2.0385614279714386e-06,0.00924402023795195,1.5222043955173887e-06,3.1187430218124126e-06,0.011420462224624676,1.7576484070431945e-06,3.3428940102024505e-06,5.119226791985358e-06,3.0946147514095466e-06,1.8401227729913493e-06,3.1731727284842336e-06,3.634486919481516e-06,2.0062514796104046e-06,2.589050388098619e-06,4.028327196848191e-06,1.2704188062636625e-06,0.03308423663321526,3.7944616038429574e-06,2.943409999352363e-06,0.010112680689511783,5.08538359048425e-06,3.296609107871594e-06,2.445334546219158e-06,2.7805428731905196e-06,2.3065815999371987e-06,2.094056648420382e-06,2.3549248543478695e-06,0.061324237204028825,1.955638300784933e-06,1.7186796415521398e-06,1.3897729388972278e-06,3.609561005190457e-06,2.7507138102336084e-06,2.5836989267314287e-06,0.09011975915642784,2.4128828641883982e-06,2.5390892794571815e-06,1.3155436747344235e-06,2.089244153250212e-06,2.956463124035326e-06,0.0654016707607735,0.030762833195984808,0.015888116689369958,1.7691537429985168e-06
