Topic 0,loss_72.0213,loss_104.01114,fragment_71.05,fragment_146.08216,fragment_99.04505,mzdiff_28.03132,fragment_115.02077,fragment_143.03464,loss_102.03175,mzdiff_27.99497,mzdiff_42.01068,loss_90.03211,loss_105.99035,fragment_187.02647,fragment_145.01484,loss_18.01079,mzdiff_58.04129,loss_18.00927,mzdiff_72.02077
Topic 1,fragment_161.04671,fragment_113.02446,mzdiff_90.03306,mzdiff_42.01068,fragment_89.02435,fragment_73.02948,fragment_71.01372,mzdiff_60.02231,mzdiff_24.00015,fragment_179.05753,mzdiff_48.02228,fragment_221.06878,mzdiff_18.01065,mzdiff_39.99496,fragment_143.03464,mzdiff_108.04387,mzdiff_72.02191,fragment_85.02956,fragment_101.02503
Topic 2,loss_60.02113,fragment_87.00873,loss_76.0163,mzdiff_15.99504,fragment_89.00354,loss_108.04234,fragment_115.03962,fragment_55.01843,fragment_233.08356,fragment_90.97145,fragment_88.01248,fragment_153.05545,mzdiff_30.04656,mzdiff_31.99042,fragment_117.01894,mzdiff_42.01122,fragment_123.00915,mzdiff_58.00544,mzdiff_24.00049
Topic 3,fragment_108.0456,loss_74.00063,loss_43.98962,loss_88.01616,fragment_138.0565,fragment_152.03533,fragment_167.0817,fragment_94.03029,fragment_100.00454,fragment_128.07181,loss_89.99551,loss_104.01114,fragment_154.05175,loss_46.00581,fragment_124.04034,fragment_65.00311,fragment_215.08596,fragment_120.04533,fragment_153.06614
Topic 4,fragment_85.02956,fragment_99.92583,loss_17.00271,loss_27.99447,fragment_60.99278,fragment_73.02948,mzdiff_15.99551,fragment_73.0289,fragment_68.99541,fragment_106.03021,fragment_83.49499,fragment_191.02146,fragment_50.00524,fragment_142.12401,fragment_143.03464,fragment_147.04491,fragment_147.02973,fragment_146.08216,fragment_141.05675
Topic 5,fragment_91.01918,fragment_102.05654,fragment_249.11417,mzdiff_138.06859,fragment_263.09244,fragment_235.09928,fragment_326.14197,fragment_262.08328,fragment_238.0837,fragment_182.02306,fragment_293.14279,fragment_164.04767,fragment_178.0642,fragment_97.02986,fragment_269.14025,fragment_125.02487,mzdiff_67.01894,mzdiff_23.99967,mzdiff_34.00595
Topic 6,fragment_94.03029,fragment_66.03468,loss_130.02687,fragment_126.0306,fragment_108.0201,fragment_133.01595,fragment_92.02568,loss_30.01075,fragment_107.03665,mzdiff_27.99546,fragment_135.03191,fragment_66.00944,fragment_65.01407,fragment_150.04231,loss_74.00063,fragment_122.06139,mzdiff_18.0104,fragment_120.99653,fragment_118.04145
Topic 7,fragment_109.02994,fragment_67.01856,fragment_85.02956,fragment_111.04523,fragment_87.00873,fragment_173.04607,mzdiff_42.01122,mzdiff_24.00015,fragment_191.05634,fragment_161.02545,fragment_133.02914,fragment_127.04041,fragment_93.03432,mzdiff_64.01638,mzdiff_46.00549,mzdiff_18.0109,fragment_135.0453,mzdiff_26.01579,mzdiff_68.02661
Topic 8,loss_302.0853,loss_284.07467,fragment_65.00311,fragment_248.10579,fragment_180.04311,fragment_133.06559,fragment_184.03783,fragment_219.10267,mzdiff_68.06273,mzdiff_68.02661,fragment_111.04523,fragment_125.06066,mzdiff_62.0003,mzdiff_56.02632,mzdiff_42.04726,mzdiff_122.02174,mzdiff_84.05739,mzdiff_71.98517,fragment_205.08604
Topic 9,fragment_125.06066,loss_18.01,fragment_171.00671,loss_148.07379,fragment_125.00103,fragment_139.00423,fragment_263.12888,mzdiff_92.04748,fragment_256.09618,mzdiff_138.06859,fragment_195.06784,fragment_177.90385,fragment_155.08248,fragment_250.08623,fragment_297.13356,fragment_163.0758,fragment_182.99328,fragment_139.07742,fragment_96.96915
