,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
fragment_51.0234,1.2196549839980865e-06,1.0062346297659996e-06,1.984504985076435e-06,0.005877067562406173,5.399556372448583e-07,1.6594645903444896e-06,1.1650883603012068e-06,2.1495945864608924e-06,4.373680241987296e-07,1.6321094688462143e-06,1.250775480798049e-06,2.648978553869464e-06,1.1957374351909913e-06,1.7342925127122723e-06,1.6404091836666945e-06,1.972371026658477e-06,1.4534799216283045e-06,1.7714666326544322e-06,1.418029392913205e-06,1.3858016308113116e-06,1.4461232328373537e-06,9.56293559171594e-07,9.768448692199833e-07,1.3906194375221958e-06,1.9743180705383483e-06,1.7430591385103718e-06,1.916795730912453e-06,1.5179021378133074e-06,2.161208893806699e-06,0.06442215970818174,1.7652126022057155e-06,1.786658662435776e-06,2.6041395402130454e-06,8.788087571534806e-07,8.139319097121417e-07,2.767752363660444e-06,1.724126040509983e-06,1.369292787660974e-06,7.376241421431086e-07,1.0921752198548382e-06,1.2365463754352177e-06,1.2485890943233712e-06,2.1565481427806336e-06,1.4148193841573645e-06,1.3376065403608857e-06,9.472352098694106e-07,1.407451611813541e-06,2.6198310732922935e-06,6.953600017801074e-07,1.5787712107911512e-06
fragment_52.01851,1.2196549839980865e-06,1.0062346297659996e-06,1.984504985076435e-06,1.2241340475747083e-06,5.399556372448583e-07,1.6594645903444896e-06,1.1650883603012068e-06,2.1495945864608924e-06,4.373680241987296e-07,1.6321094688462143e-06,1.250775480798049e-06,2.648978553869464e-06,1.1957374351909913e-06,1.7342925127122723e-06,1.6404091836666945e-06,1.972371026658477e-06,0.015262992657018826,1.7714666326544322e-06,1.418029392913205e-06,1.3858016308113116e-06,1.4461232328373537e-06,9.56293559171594e-07,9.768448692199833e-07,1.3906194375221958e-06,1.9743180705383483e-06,1.7430591385103718e-06,1.916795730912453e-06,1.5179021378133074e-06,2.161208893806699e-06,5.52027486552658e-07,1.7652126022057155e-06,1.786658662435776e-06,2.6041395402130454e-06,8.788087571534806e-07,8.139319097121417e-07,2.767752363660444e-06,1.724126040509983e-06,1.369292787660974e-06,7.376241421431086e-07,1.0921752198548382e-06,1.2365463754352177e-06,1.2485890943233712e-06,2.1565481427806336e-06,1.4148193841573645e-06,1.3376065403608857e-06,9.472352098694106e-07,1.407451611813541e-06,2.6198310732922935e-06,6.953600017801074e-07,1.5787712107911512e-06
fragment_53.0026,0.009636494028568882,1.0062346297659996e-06,1.984504985076435e-06,0.006366721181436057,0.030508033459971735,1.6594645903444896e-06,1.1650883603012068e-06,2.1495945864608924e-06,4.373680241987296e-07,0.21968356661616928,1.250775480798049e-06,2.648978553869464e-06,1.1957374351909913e-06,1.7342925127122723e-06,1.6404091836666945e-06,0.011047250120314128,1.4534799216283045e-06,1.7714666326544322e-06,1.418029392913205e-06,0.02993470102715514,1.4461232328373537e-06,9.56293559171594e-07,9.768448692199833e-07,1.3906194375221958e-06,1.9743180705383483e-06,1.7430591385103718e-06,0.008435818011745705,1.5179021378133074e-06,0.07650895604965095,5.52027486552658e-07,1.7652126022057155e-06,1.786658662435776e-06,2.6041395402130454e-06,8.788087571534806e-07,0.018232888709461683,2.767752363660444e-06,1.724126040509983e-06,0.09516721803522535,7.376241421431086e-07,1.0921752198548382e-06,1.2365463754352177e-06,1.2485890943233712e-06,2.1565481427806336e-06,1.4148193841573645e-06,1.3376065403608857e-06,9.472352098694106e-07,1.407451611813541e-06,2.6198310732922935e-06,6.953600017801074e-07,1.5787712107911512e-06
fragment_53.03889,1.2196549839980865e-06,1.0062346297659996e-06,1.984504985076435e-06,0.00979429651464524,5.399556372448583e-07,1.6594645903444896e-06,0.05988670680784233,2.1495945864608924e-06,4.373680241987296e-07,1.6321094688462143e-06,1.250775480798049e-06,2.648978553869464e-06,1.1957374351909913e-06,1.7342925127122723e-06,1.6404091836666945e-06,1.972371026658477e-06,1.4534799216283045e-06,1.7714666326544322e-06,1.418029392913205e-06,1.3858016308113116e-06,1.4461232328373537e-06,9.56293559171594e-07,0.051969123887372334,1.3906194375221958e-06,1.9743180705383483e-06,1.7430591385103718e-06,1.916795730912453e-06,1.5179021378133074e-06,2.161208893806699e-06,0.1069282761727364,1.7652126022057155e-06,1.786658662435776e-06,2.6041395402130454e-06,8.788087571534806e-07,8.139319097121417e-07,2.767752363660444e-06,1.724126040509983e-06,1.369292787660974e-06,7.376241421431086e-07,1.0921752198548382e-06,0.7759340871319745,1.2485890943233712e-06,2.1565481427806336e-06,1.4148193841573645e-06,1.3376065403608857e-06,9.472352098694106e-07,1.407451611813541e-06,2.6198310732922935e-06,6.953600017801074e-07,1.5787712107911512e-06
fragment_54.03416,1.2196549839980865e-06,1.0062346297659996e-06,1.984504985076435e-06,1.2241340475747083e-06,5.399556372448583e-07,1.6594645903444896e-06,1.1650883603012068e-06,2.1495945864608924e-06,4.373680241987296e-07,1.6321094688462143e-06,1.250775480798049e-06,2.648978553869464e-06,1.1957374351909913e-06,1.7342925127122723e-06,1.6404091836666945e-06,1.972371026658477e-06,1.4534799216283045e-06,1.7714666326544322e-06,1.418029392913205e-06,1.3858016308113116e-06,1.4461232328373537e-06,9.56293559171594e-07,9.768448692199833e-07,0.026562221876111458,1.9743180705383483e-06,1.7430591385103718e-06,1.916795730912453e-06,1.5179021378133074e-06,2.161208893806699e-06,5.52027486552658e-07,1.7652126022057155e-06,1.786658662435776e-06,2.6041395402130454e-06,8.788087571534806e-07,8.139319097121417e-07,2.767752363660444e-06,1.724126040509983e-06,1.369292787660974e-06,7.376241421431086e-07,0.03888253000205209,1.2365463754352177e-06,1.2485890943233712e-06,2.1565481427806336e-06,1.4148193841573645e-06,1.3376065403608857e-06,9.472352098694106e-07,1.407451611813541e-06,2.6198310732922935e-06,6.953600017801074e-07,1.5787712107911512e-06
fragment_54.04242,1.2196549839980865e-06,1.0062346297659996e-06,1.984504985076435e-06,1.2241340475747083e-06,5.399556372448583e-07,1.6594645903444896e-06,1.1650883603012068e-06,2.1495945864608924e-06,4.373680241987296e-07,1.6321094688462143e-06,1.250775480798049e-06,2.648978553869464e-06,1.1957374351909913e-06,1.7342925127122723e-06,1.6404091836666945e-06,1.972371026658477e-06,1.4534799216283045e-06,1.7714666326544322e-06,1.418029392913205e-06,1.3858016308113116e-06,1.4461232328373537e-06,9.56293559171594e-07,9.768448692199833e-07,1.3906194375221958e-06,1.9743180705383483e-06,1.7430591385103718e-06,1.916795730912453e-06,1.5179021378133074e-06,2.161208893806699e-06,5.52027486552658e-07,1.7652126022057155e-06,1.786658662435776e-06,2.6041395402130454e-06,8.788087571534806e-07,8.139319097121417e-07,2.767752363660444e-06,1.724126040509983e-06,1.369292787660974e-06,7.376241421431086e-07,1.0921752198548382e-06,1.2365463754352177e-06,1.2485890943233712e-06,2.1565481427806336e-06,1.4148193841573645e-06,1.3376065403608857e-06,9.472352098694106e-07,1.407451611813541e-06,0.0125778089828763,6.953600017801074e-07,1.5787712107911512e-06
fragment_55.01824,1.2196549839980865e-06,1.0062346297659996e-06,1.984504985076435e-06,1.2241340475747083e-06,5.399556372448583e-07,1.6594645903444896e-06,1.1650883603012068e-06,2.1495945864608924e-06,4.373680241987296e-07,1.6321094688462143e-06,1.250775480798049e-06,2.648978553869464e-06,1.1957374351909913e-06,0.8002042996579551,1.6404091836666945e-06,1.972371026658477e-06,1.4534799216283045e-06,1.7714666326544322e-06,1.418029392913205e-06,1.3858016308113116e-06,1.4461232328373537e-06,9.56293559171594e-07,9.768448692199833e-07,1.3906194375221958e-06,1.9743180705383483e-06,1.7430591385103718e-06,1.916795730912453e-06,1.5179021378133074e-06,2.161208893806699e-06,5.52027486552658e-07,1.7652126022057155e-06,1.786658662435776e-06,2.6041395402130454e-06,8.788087571534806e-07,8.139319097121417e-07,2.767752363660444e-06,1.724126040509983e-06,1.369292787660974e-06,7.376241421431086e-07,1.0921752198548382e-06,1.2365463754352177e-06,1.2485890943233712e-06,2.1565481427806336e-06,1.4148193841573645e-06,1.3376065403608857e-06,9.472352098694106e-07,1.407451611813541e-06,2.6198310732922935e-06,6.953600017801074e-07,1.5787712107911512e-06
fragment_55.02948,1.2196549839980865e-06,1.0062346297659996e-06,1.984504985076435e-06,1.2241340475747083e-06,5.399556372448583e-07,1.6594645903444896e-06,1.1650883603012068e-06,2.1495945864608924e-06,4.373680241987296e-07,1.6321094688462143e-06,1.250775480798049e-06,2.648978553869464e-06,1.1957374351909913e-06,1.7342925127122723e-06,1.6404091836666945e-06,1.972371026658477e-06,1.4534799216283045e-06,1.7714666326544322e-06,0.007658776751124219,1.3858016308113116e-06,0.0754890788773427,9.56293559171594e-07,9.768448692199833e-07,1.3906194375221958e-06,1.9743180705383483e-06,1.7430591385103718e-06,1.916795730912453e-06,1.5179021378133074e-06,2.161208893806699e-06,5.52027486552658e-07,1.7652126022057155e-06,1.786658662435776e-06,2.6041395402130454e-06,8.788087571534806e-07,8.139319097121417e-07,2.767752363660444e-06,1.724126040509983e-06,1.369292787660974e-06,0.01615470633707622,1.0921752198548382e-06,1.2365463754352177e-06,1.2485890943233712e-06,2.1565481427806336e-06,1.4148193841573645e-06,1.3376065403608857e-06,9.472352098694106e-07,1.407451611813541e-06,2.6198310732922935e-06,6.953600017801074e-07,1.5787712107911512e-06
fragment_55.05468,1.2196549839980865e-06,0.22378758789458808,1.984504985076435e-06,1.2241340475747083e-06,5.399556372448583e-07,1.6594645903444896e-06,1.1650883603012068e-06,2.1495945864608924e-06,4.373680241987296e-07,1.6321094688462143e-06,0.14546643919229388,2.648978553869464e-06,1.1957374351909913e-06,1.7342925127122723e-06,1.6404091836666945e-06,1.972371026658477e-06,1.4534799216283045e-06,1.7714666326544322e-06,1.418029392913205e-06,1.3858016308113116e-06,1.4461232328373537e-06,9.56293559171594e-07,9.768448692199833e-07,0.07926669855820268,1.9743180705383483e-06,1.7430591385103718e-06,0.020703310689585405,1.5179021378133074e-06,2.161208893806699e-06,5.52027486552658e-07,1.7652126022057155e-06,1.786658662435776e-06,2.6041395402130454e-06,8.788087571534806e-07,0.08228933000380724,2.767752363660444e-06,1.724126040509983e-06,0.033822901148013715,0.020801738432577804,1.0921752198548382e-06,1.2365463754352177e-06,1.2485890943233712e-06,2.1565481427806336e-06,1.4148193841573645e-06,1.3376065403608857e-06,9.472352098694106e-07,1.407451611813541e-06,2.6198310732922935e-06,6.953600017801074e-07,1.5787712107911512e-06
fragment_56.01352,1.2196549839980865e-06,1.0062346297659996e-06,1.984504985076435e-06,1.2241340475747083e-06,5.399556372448583e-07,1.6594645903444896e-06,1.1650883603012068e-06,2.1495945864608924e-06,4.373680241987296e-07,1.6321094688462143e-06,1.250775480798049e-06,2.648978553869464e-06,1.1957374351909913e-06,1.7342925127122723e-06,1.6404091836666945e-06,1.972371026658477e-06,1.4534799216283045e-06,1.7714666326544322e-06,1.418029392913205e-06,1.3858016308113116e-06,1.4461232328373537e-06,9.56293559171594e-07,9.768448692199833e-07,1.3906194375221958e-06,0.015401655268269655,1.7430591385103718e-06,1.916795730912453e-06,1.5179021378133074e-06,2.161208893806699e-06,5.52027486552658e-07,1.7652126022057155e-06,1.786658662435776e-06,2.6041395402130454e-06,8.788087571534806e-07,8.139319097121417e-07,2.767752363660444e-06,1.724126040509983e-06,1.369292787660974e-06,0.00745074145978754,1.0921752198548382e-06,1.2365463754352177e-06,1.2485890943233712e-06,0.009275313562099504,1.4148193841573645e-06,1.3376065403608857e-06,9.472352098694106e-07,1.407451611813541e-06,2.6198310732922935e-06,6.953600017801074e-07,1.5787712107911512e-06
fragment_56.02155,1.2196549839980865e-06,1.0062346297659996e-06,1.984504985076435e-06,1.2241340475747083e-06,5.399556372448583e-07,1.6594645903444896e-06,1.1650883603012068e-06,2.1495945864608924e-06,4.373680241987296e-07,1.6321094688462143e-06,1.250775480798049e-06,2.648978553869464e-06,1.1957374351909913e-06,1.7342925127122723e-06,1.6404091836666945e-06,1.972371026658477e-06,1.4534799216283045e-06,1.7714666326544322e-06,1.418029392913205e-06,1.3858016308113116e-06,1.4461232328373537e-06,9.56293559171594e-07,9.768448692199833e-07,1.3906194375221958e-06,0.009873564670762279,1.7430591385103718e-06,1.916795730912453e-06,1.5179021378133074e-06,2.161208893806699e-06,5.52027486552658e-07,1.7652126022057155e-06,1.786658662435776e-06,2.6041395402130454e-06,8.788087571534806e-07,8.139319097121417e-07,2.767752363660444e-06,1.724126040509983e-06,1.369292787660974e-06,7.376241421431086e-07,1.0921752198548382e-06,1.2365463754352177e-06,1.2485890943233712e-06,2.1565481427806336e-06,1.4148193841573645e-06,1.3376065403608857e-06,9.472352098694106e-07,1.407451611813541e-06,2.6198310732922935e-06,6.953600017801074e-07,1.5787712107911512e-06
fragment_56.04978,1.2196549839980865e-06,1.0062346297659996e-06,1.984504985076435e-06,0.007590855229010765,0.20302385955970395,1.6594645903444896e-06,1.1650883603012068e-06,2.1495945864608924e-06,4.373680241987296e-07,1.6321094688462143e-06,1.250775480798049e-06,2.648978553869464e-06,0.06935396697851269,1.7342925127122723e-06,1.6404091836666945e-06,1.972371026658477e-06,1.4534799216283045e-06,1.7714666326544322e-06,1.418029392913205e-06,1.3858016308113116e-06,1.4461232328373537e-06,0.043416683879949534,9.768448692199833e-07,0.048812132876466595,0.009281269249600774,1.7430591385103718e-06,0.013419486912118084,1.5179021378133074e-06,2.161208893806699e-06,5.52027486552658e-07,1.7652126022057155e-06,1.786658662435776e-06,2.6041395402130454e-06,8.788087571534806e-07,8.139319097121417e-07,2.767752363660444e-06,1.724126040509983e-06,1.369292787660974e-06,7.376241421431086e-07,0.08508154180191176,0.000124891183918957,0.08890079210491834,2.1565481427806336e-06,1.4148193841573645e-06,0.06019363192278022,9.472352098694106e-07,1.407451611813541e-06,2.6198310732922935e-06,6.953600017801074e-07,1.5787712107911512e-06
fragment_56.05813,1.2196549839980865e-06,1.0062346297659996e-06,1.984504985076435e-06,1.2241340475747083e-06,5.399556372448583e-07,1.6594645903444896e-06,1.1650883603012068e-06,2.1495945864608924e-06,4.373680241987296e-07,1.6321094688462143e-06,1.250775480798049e-06,2.648978553869464e-06,1.1957374351909913e-06,1.7342925127122723e-06,1.6404091836666945e-06,1.972371026658477e-06,1.4534799216283045e-06,1.7714666326544322e-06,1.418029392913205e-06,1.3858016308113116e-06,1.4461232328373537e-06,9.56293559171594e-07,9.768448692199833e-07,1.3906194375221958e-06,1.9743180705383483e-06,1.7430591385103718e-06,1.916795730912453e-06,1.5179021378133074e-06,0.011672689235449982,5.52027486552658e-07,1.7652126022057155e-06,1.786658662435776e-06,2.6041395402130454e-06,8.788087571534806e-07,8.139319097121417e-07,2.767752363660444e-06,1.724126040509983e-06,1.369292787660974e-06,7.376241421431086e-07,1.0921752198548382e-06,1.2365463754352177e-06,1.2485890943233712e-06,2.1565481427806336e-06,1.4148193841573645e-06,1.3376065403608857e-06,9.472352098694106e-07,1.407451611813541e-06,2.6198310732922935e-06,6.953600017801074e-07,1.5787712107911512e-06
fragment_56.96508,1.2196549839980865e-06,1.0062346297659996e-06,1.984504985076435e-06,1.2241340475747083e-06,5.399556372448583e-07,1.6594645903444896e-06,0.04217736373126399,2.1495945864608924e-06,4.373680241987296e-07,1.6321094688462143e-06,1.250775480798049e-06,2.648978553869464e-06,1.1957374351909913e-06,1.7342925127122723e-06,1.6404091836666945e-06,1.972371026658477e-06,1.4534799216283045e-06,1.7714666326544322e-06,1.418029392913205e-06,1.3858016308113116e-06,1.4461232328373537e-06,9.56293559171594e-07,9.768448692199833e-07,1.3906194375221958e-06,1.9743180705383483e-06,1.7430591385103718e-06,1.916795730912453e-06,1.5179021378133074e-06,2.161208893806699e-06,5.52027486552658e-07,1.7652126022057155e-06,1.786658662435776e-06,2.6041395402130454e-06,8.788087571534806e-07,8.139319097121417e-07,2.767752363660444e-06,1.724126040509983e-06,1.369292787660974e-06,7.376241421431086e-07,1.0921752198548382e-06,1.2365463754352177e-06,1.2485890943233712e-06,2.1565481427806336e-06,1.4148193841573645e-06,1.3376065403608857e-06,9.472352098694106e-07,1.407451611813541e-06,2.6198310732922935e-06,6.953600017801074e-07,1.5787712107911512e-06
