Topic 0,loss_59.04851,fragment_60.0559,loss_71.07342,loss_86.0366,fragment_114.10281,fragment_72.08072,fragment_87.04389,mzdiff_27.99513,mzdiff_55.04162,loss_27.99479,fragment_80.04949,fragment_108.04426,loss_114.03136,fragment_136.07598,loss_113.04717,loss_105.04249,fragment_89.03862,fragment_117.03314,fragment_148.03977
Topic 1,loss_125.04751,fragment_98.05999,loss_504.16871,loss_141.07865,loss_27.99479,fragment_104.071,fragment_125.07087,loss_73.01579,loss_97.05266,fragment_72.04465,loss_113.08407,loss_142.07382,fragment_138.12838,fragment_183.14943,mzdiff_27.9947,loss_55.98959,fragment_154.07315,fragment_114.09125,fragment_59.04942
Topic 2,fragment_60.08102,loss_105.07856,loss_59.07329,fragment_172.09755,fragment_62.92941,fragment_114.05541,mzdiff_42.01046,fragment_144.13788,loss_130.06264,fragment_191.08582,loss_18.01103,fragment_285.12282,loss_188.07961,fragment_303.135,fragment_72.04465,loss_209.0664,fragment_206.08523,fragment_149.07558,loss_143.05793
Topic 3,fragment_144.10184,loss_105.04249,fragment_102.0918,loss_133.03727,fragment_85.06477,loss_88.01596,loss_79.06321,loss_106.02645,fragment_57.07007,loss_46.00544,fragment_137.05983,loss_135.05318,fragment_84.08071,fragment_111.04429,loss_95.05815,loss_123.05299,fragment_95.04936,fragment_67.05455,loss_113.08407
Topic 4,fragment_89.06008,fragment_133.08628,fragment_177.11272,fragment_111.04429,fragment_239.14817,fragment_155.07009,fragment_95.04936,mzdiff_44.02566,fragment_195.12241,fragment_283.17358,fragment_113.0602,mzdiff_44.02618,mzdiff_88.05173,fragment_185.09247,mzdiff_150.08762,mzdiff_106.0614,mzdiff_128.10374,fragment_87.04389,mzdiff_42.01046
Topic 5,loss_17.02617,loss_35.03718,fragment_163.07451,fragment_121.02826,fragment_181.08644,loss_129.07874,fragment_62.06029,fragment_65.03877,loss_107.05823,fragment_139.03837,loss_130.06264,fragment_53.03889,fragment_91.05413,fragment_110.07086,loss_99.06814,loss_84.04249,fragment_281.15008,loss_77.0838,fragment_174.0763
Topic 6,loss_64.01556,loss_90.03154,loss_78.03146,loss_92.01082,loss_102.03162,loss_82.02658,loss_18.01103,loss_36.02083,loss_106.02645,loss_94.02658,loss_92.04714,fragment_53.03889,loss_110.02127,fragment_134.05999,fragment_180.10128,fragment_82.065,fragment_106.06503,fragment_108.08067,fragment_134.09682
Topic 7,loss_31.04205,loss_61.05279,loss_57.05775,loss_99.06814,loss_101.08372,loss_49.05257,fragment_81.03337,loss_87.0684,loss_71.07342,loss_59.03701,loss_35.03718,fragment_65.03877,fragment_59.04942,fragment_91.05413,fragment_51.0234,fragment_83.04895,fragment_109.05257,fragment_82.065,fragment_53.03889
Topic 8,loss_46.00544,loss_63.03183,loss_17.02676,loss_91.02682,loss_71.03707,loss_99.03179,fragment_152.07031,loss_73.01648,loss_36.02083,loss_48.02067,fragment_221.12831,fragment_87.06383,fragment_107.06036,loss_150.08907,fragment_89.0594,fragment_121.07623,fragment_56.02155,loss_18.01191,fragment_151.08528
Topic 9,loss_18.01058,loss_42.01046,fragment_109.05257,loss_43.98978,fragment_92.04951,loss_70.04156,loss_36.02083,fragment_110.05976,fragment_122.06034,fragment_94.06505,fragment_166.04983,fragment_148.03977,loss_119.02147,fragment_104.04995,loss_97.05266,fragment_81.05755,loss_59.01317,fragment_138.05451,loss_59.03701
Topic 10,loss_132.04205,loss_149.06875,fragment_94.03985,loss_163.08425,fragment_95.02388,loss_175.04792,fragment_112.05107,fragment_69.04509,fragment_112.05007,fragment_71.01309,loss_200.07938,fragment_150.07838,fragment_52.01851,fragment_133.05119,loss_159.05307,loss_186.06388,loss_145.07348,fragment_137.04629,loss_170.06921
Topic 11,loss_208.05803,fragment_56.04978,fragment_69.03368,loss_196.05806,fragment_84.04422,fragment_87.03159,fragment_156.06572,fragment_112.03985,mzdiff_30.01007,fragment_102.05469,mzdiff_27.9947,fragment_246.09757,loss_162.05266,loss_184.05828,fragment_144.06586,fragment_186.07565,loss_84.04249,mzdiff_30.01044,mzdiff_54.011
Topic 12,loss_102.06815,loss_88.05246,loss_114.06812,loss_116.04727,loss_130.06264,loss_46.00544,fragment_182.11724,loss_144.11505,loss_173.06877,fragment_68.04931,fragment_74.0963,fragment_79.05417,loss_141.04225,mzdiff_27.9947,loss_64.01556,loss_74.07291,fragment_136.11225,fragment_165.07001,fragment_167.07347
Topic 13,fragment_110.07176,fragment_83.06042,fragment_93.04514,fragment_156.07692,fragment_56.04978,fragment_95.06076,fragment_82.05293,fragment_110.07086,fragment_95.05992,fragment_81.04506,loss_385.12297,fragment_143.11762,fragment_81.04442,fragment_252.10826,loss_208.08492,mzdiff_23.97512,fragment_190.09757,fragment_255.14642,fragment_187.14449
Topic 14,fragment_69.07013,fragment_111.11652,fragment_195.06547,fragment_147.12488,fragment_263.09309,fragment_168.06291,loss_120.04253,fragment_251.12733,fragment_153.10193,fragment_281.11089,fragment_252.08505,loss_36.02001,fragment_233.04462,fragment_181.07491,fragment_199.17044,fragment_234.05312,fragment_153.05477,fragment_359.18495,fragment_154.06586
Topic 15,fragment_56.04978,fragment_84.04422,fragment_130.05052,loss_129.04222,fragment_102.05469,loss_17.0258,fragment_64.9275,fragment_123.9638,fragment_172.17063,fragment_136.04336,mzdiff_43.04216,fragment_281.11089,fragment_280.11613,fragment_280.12934,fragment_281.13706,fragment_279.23344,fragment_281.15008,fragment_282.10975,fragment_282.13232
Topic 16,fragment_130.08581,fragment_56.04978,fragment_67.05455,fragment_126.09181,loss_118.02644,loss_105.04249,loss_147.05328,loss_114.03136,loss_133.07373,loss_129.07874,mzdiff_17.02628,loss_63.03183,loss_103.0638,fragment_274.12622,loss_160.0369,fragment_147.11301,fragment_111.04429,fragment_146.08112,loss_177.09986
Topic 17,loss_160.0369,loss_132.04205,fragment_106.06503,fragment_108.04426,fragment_81.03337,loss_163.04805,loss_66.03222,loss_201.06337,loss_173.06877,loss_64.01556,fragment_53.03889,fragment_188.07057,fragment_206.0825,loss_148.03699,fragment_94.06505,loss_36.02083,loss_146.05776,fragment_134.05999,mzdiff_27.01083
