,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
fragment_52.01897,4.886439154059681e-06,2.2917487876648324e-06,3.0326188483325805e-06,2.120674883574824e-06,2.8797862046719308e-06,3.2056624822084685e-06,1.4552905633138323e-06,2.891443639980484e-06,2.102395048439067e-06,2.915043958862819e-06,1.7987293775676605e-06,4.3318547269197595e-06,2.266812951662434e-06,5.185431013025835e-06,2.8847707184232227e-06,3.061399426905944e-06,3.8752480158728835e-06,3.1761357861570293e-06,1.4321559102209561e-06,4.274454152204645e-06,3.296543903371594e-06,4.635037172998096e-06,3.692107750472499e-06,6.073562994995413e-06,7.286080671485247e-06,4.122895261968697e-06,2.3400132912754446e-06,6.8097624754849085e-06,2.645866627155022e-06,3.1600768530689763e-06,3.370998624632482e-06,1.5606759599717406e-06,4.031477778494363e-06,9.544279731385537e-07,2.087909334624973e-06,2.9218578340850426e-06,3.1893043489353385e-06,4.0875053137568455e-06,3.3938801553038654e-06,3.349545131771039e-06,5.894558143921572e-06,1.4833538036157647e-06,4.164098805736361e-06,4.249026972823116e-06,1.879176469703868e-06,5.802214124910106e-06,5.594468189853909e-06,5.19891030839939e-06,5.1033947782064935e-06,3.351790526499137e-06,2.7905834551887213e-06,6.581198831179138e-06,1.8980806608357283e-06,3.5913348273285214e-06,1.3163991743543903e-06,2.1135035971830455e-06,5.50818516315248e-06,4.656620783429849e-06,4.645803909908547e-06,1.2521160761687007e-06,2.1019531348528605e-06,1.6640374874364392e-06,2.711879115276415e-06,2.3637979614605854e-06,2.9416263663852154e-06,4.455374964356932e-06,3.2889543756247228e-06,4.10091532430026e-06,3.89183803726821e-06,1.854778279804395e-06,2.4286699631812605e-06,3.028944594545387e-06,2.5097377825963463e-06,3.0455492343488403e-06,0.019857215463294716,2.4024139455323553e-06,3.4885992576260028e-06,4.1920284387208435e-06,3.2525825505450716e-06,2.1310692853244933e-06,2.6024858945263877e-06,3.751669492924271e-06,6.646814846325688e-06,1.9064032271593477e-06,1.3054012281214324e-06,2.692891842691943e-06,3.66638802117693e-06,3.489816714826036e-06,5.1693478350771585e-06,3.3961854045534964e-06,9.066610574569045e-07,3.2653274470362984e-06,5.5757521689676294e-06,3.342826961905045e-06,2.2657857291750336e-06,4.02174962195544e-06,2.679901808397673e-06,2.0988649338437326e-06,3.405437803083893e-06,1.926975342423464e-06
fragment_52.67822,4.886439154059681e-06,2.2917487876648324e-06,3.0326188483325805e-06,2.120674883574824e-06,2.8797862046719308e-06,3.2056624822084685e-06,1.4552905633138323e-06,2.891443639980484e-06,2.102395048439067e-06,2.915043958862819e-06,1.7987293775676605e-06,4.3318547269197595e-06,2.266812951662434e-06,5.185431013025835e-06,2.8847707184232227e-06,3.061399426905944e-06,3.8752480158728835e-06,3.1761357861570293e-06,1.4321559102209561e-06,4.274454152204645e-06,3.296543903371594e-06,4.635037172998096e-06,3.692107750472499e-06,6.073562994995413e-06,7.286080671485247e-06,4.122895261968697e-06,2.3400132912754446e-06,6.8097624754849085e-06,2.645866627155022e-06,3.1600768530689763e-06,3.370998624632482e-06,1.5606759599717406e-06,4.031477778494363e-06,9.544279731385537e-07,2.087909334624973e-06,2.9218578340850426e-06,3.1893043489353385e-06,4.0875053137568455e-06,3.3938801553038654e-06,3.349545131771039e-06,5.894558143921572e-06,1.4833538036157647e-06,4.164098805736361e-06,4.249026972823116e-06,1.879176469703868e-06,5.802214124910106e-06,5.594468189853909e-06,5.19891030839939e-06,5.1033947782064935e-06,3.351790526499137e-06,2.7905834551887213e-06,6.581198831179138e-06,1.8980806608357283e-06,3.5913348273285214e-06,1.3163991743543903e-06,2.1135035971830455e-06,5.50818516315248e-06,4.656620783429849e-06,4.645803909908547e-06,1.2521160761687007e-06,2.1019531348528605e-06,1.6640374874364392e-06,2.711879115276415e-06,2.3637979614605854e-06,2.9416263663852154e-06,4.455374964356932e-06,3.2889543756247228e-06,4.10091532430026e-06,3.89183803726821e-06,1.854778279804395e-06,2.4286699631812605e-06,3.028944594545387e-06,2.5097377825963463e-06,3.0455492343488403e-06,3.970648962866371e-06,2.4024139455323553e-06,3.4885992576260028e-06,4.1920284387208435e-06,3.2525825505450716e-06,2.1310692853244933e-06,2.6024858945263877e-06,3.751669492924271e-06,6.646814846325688e-06,1.9064032271593477e-06,1.3054012281214324e-06,2.692891842691943e-06,3.66638802117693e-06,3.489816714826036e-06,5.1693478350771585e-06,3.3961854045534964e-06,9.066610574569045e-07,3.2653274470362984e-06,5.5757521689676294e-06,3.342826961905045e-06,2.2657857291750336e-06,4.02174962195544e-06,2.679901808397673e-06,2.0988649338437326e-06,0.01737113823353094,1.926975342423464e-06
fragment_54.82219,4.886439154059681e-06,2.2917487876648324e-06,3.0326188483325805e-06,2.120674883574824e-06,2.8797862046719308e-06,3.2056624822084685e-06,1.4552905633138323e-06,2.891443639980484e-06,2.102395048439067e-06,2.915043958862819e-06,1.7987293775676605e-06,4.3318547269197595e-06,2.266812951662434e-06,5.185431013025835e-06,2.8847707184232227e-06,3.061399426905944e-06,3.8752480158728835e-06,3.1761357861570293e-06,1.4321559102209561e-06,4.274454152204645e-06,3.296543903371594e-06,4.635037172998096e-06,3.692107750472499e-06,6.073562994995413e-06,7.286080671485247e-06,4.122895261968697e-06,2.3400132912754446e-06,6.8097624754849085e-06,2.645866627155022e-06,3.1600768530689763e-06,3.370998624632482e-06,1.5606759599717406e-06,4.031477778494363e-06,9.544279731385537e-07,2.087909334624973e-06,2.9218578340850426e-06,3.1893043489353385e-06,4.0875053137568455e-06,3.3938801553038654e-06,3.349545131771039e-06,5.894558143921572e-06,1.4833538036157647e-06,4.164098805736361e-06,4.249026972823116e-06,1.879176469703868e-06,5.802214124910106e-06,5.594468189853909e-06,5.19891030839939e-06,5.1033947782064935e-06,3.351790526499137e-06,2.7905834551887213e-06,6.581198831179138e-06,1.8980806608357283e-06,3.5913348273285214e-06,1.3163991743543903e-06,2.1135035971830455e-06,5.50818516315248e-06,4.656620783429849e-06,4.645803909908547e-06,1.2521160761687007e-06,2.1019531348528605e-06,1.6640374874364392e-06,2.711879115276415e-06,2.3637979614605854e-06,2.9416263663852154e-06,4.455374964356932e-06,3.2889543756247228e-06,4.10091532430026e-06,3.89183803726821e-06,1.854778279804395e-06,2.4286699631812605e-06,3.028944594545387e-06,2.5097377825963463e-06,3.0455492343488403e-06,3.970648962866371e-06,2.4024139455323553e-06,3.4885992576260028e-06,4.1920284387208435e-06,3.2525825505450716e-06,2.1310692853244933e-06,2.6024858945263877e-06,3.751669492924271e-06,6.646814846325688e-06,1.9064032271593477e-06,1.3054012281214324e-06,2.692891842691943e-06,3.66638802117693e-06,3.489816714826036e-06,5.1693478350771585e-06,3.3961854045534964e-06,9.066610574569045e-07,3.2653274470362984e-06,5.5757521689676294e-06,3.342826961905045e-06,2.2657857291750336e-06,4.02174962195544e-06,2.679901808397673e-06,2.0988649338437326e-06,0.015327875551680603,1.926975342423464e-06
fragment_54.96296,4.886439154059681e-06,2.2917487876648324e-06,3.0326188483325805e-06,2.120674883574824e-06,2.8797862046719308e-06,3.2056624822084685e-06,1.4552905633138323e-06,2.891443639980484e-06,2.102395048439067e-06,2.915043958862819e-06,1.7987293775676605e-06,4.3318547269197595e-06,2.266812951662434e-06,5.185431013025835e-06,2.8847707184232227e-06,3.061399426905944e-06,3.8752480158728835e-06,3.1761357861570293e-06,1.4321559102209561e-06,4.274454152204645e-06,3.296543903371594e-06,4.635037172998096e-06,3.692107750472499e-06,6.073562994995413e-06,7.286080671485247e-06,4.122895261968697e-06,2.3400132912754446e-06,6.8097624754849085e-06,2.645866627155022e-06,3.1600768530689763e-06,3.370998624632482e-06,1.5606759599717406e-06,4.031477778494363e-06,9.544279731385537e-07,2.087909334624973e-06,2.9218578340850426e-06,3.1893043489353385e-06,4.0875053137568455e-06,3.3938801553038654e-06,3.349545131771039e-06,5.894558143921572e-06,1.4833538036157647e-06,4.164098805736361e-06,4.249026972823116e-06,1.879176469703868e-06,5.802214124910106e-06,5.594468189853909e-06,5.19891030839939e-06,5.1033947782064935e-06,3.351790526499137e-06,2.7905834551887213e-06,6.581198831179138e-06,1.8980806608357283e-06,3.5913348273285214e-06,1.3163991743543903e-06,2.1135035971830455e-06,5.50818516315248e-06,4.656620783429849e-06,4.645803909908547e-06,1.2521160761687007e-06,2.1019531348528605e-06,1.6640374874364392e-06,2.711879115276415e-06,2.3637979614605854e-06,2.9416263663852154e-06,4.455374964356932e-06,3.2889543756247228e-06,4.10091532430026e-06,3.89183803726821e-06,1.854778279804395e-06,2.4286699631812605e-06,3.028944594545387e-06,2.5097377825963463e-06,3.0455492343488403e-06,3.970648962866371e-06,2.4024139455323553e-06,3.4885992576260028e-06,4.1920284387208435e-06,3.2525825505450716e-06,2.1310692853244933e-06,2.6024858945263877e-06,3.751669492924271e-06,6.646814846325688e-06,1.9064032271593477e-06,1.3054012281214324e-06,2.692891842691943e-06,3.66638802117693e-06,3.489816714826036e-06,5.1693478350771585e-06,3.3961854045534964e-06,9.066610574569045e-07,3.2653274470362984e-06,5.5757521689676294e-06,3.342826961905045e-06,0.010878037285769337,4.02174962195544e-06,2.679901808397673e-06,2.0988649338437326e-06,3.405437803083893e-06,1.926975342423464e-06
fragment_55.01831,4.886439154059681e-06,2.2917487876648324e-06,3.0326188483325805e-06,2.120674883574824e-06,2.8797862046719308e-06,3.2056624822084685e-06,1.4552905633138323e-06,2.891443639980484e-06,2.102395048439067e-06,2.915043958862819e-06,0.013492269061135022,4.3318547269197595e-06,2.266812951662434e-06,5.185431013025835e-06,2.8847707184232227e-06,3.061399426905944e-06,3.8752480158728835e-06,3.1761357861570293e-06,1.4321559102209561e-06,4.274454152204645e-06,3.296543903371594e-06,4.635037172998096e-06,3.692107750472499e-06,6.073562994995413e-06,7.286080671485247e-06,4.122895261968697e-06,2.3400132912754446e-06,6.8097624754849085e-06,0.02460920549916886,3.1600768530689763e-06,3.370998624632482e-06,0.018261469407629335,4.031477778494363e-06,9.544279731385537e-07,2.087909334624973e-06,2.9218578340850426e-06,3.1893043489353385e-06,4.0875053137568455e-06,3.3938801553038654e-06,3.349545131771039e-06,5.894558143921572e-06,1.4833538036157647e-06,4.164098805736361e-06,4.249026972823116e-06,1.879176469703868e-06,5.802214124910106e-06,5.594468189853909e-06,5.19891030839939e-06,5.1033947782064935e-06,3.351790526499137e-06,2.7905834551887213e-06,6.581198831179138e-06,1.8980806608357283e-06,3.5913348273285214e-06,1.3163991743543903e-06,2.1135035971830455e-06,5.50818516315248e-06,4.656620783429849e-06,4.645803909908547e-06,1.2521160761687007e-06,2.1019531348528605e-06,0.12730053182637505,2.711879115276415e-06,2.3637979614605854e-06,2.9416263663852154e-06,4.455374964356932e-06,3.2889543756247228e-06,4.10091532430026e-06,3.89183803726821e-06,1.854778279804395e-06,2.4286699631812605e-06,3.028944594545387e-06,2.5097377825963463e-06,3.0455492343488403e-06,3.970648962866371e-06,2.4024139455323553e-06,3.4885992576260028e-06,4.1920284387208435e-06,3.2525825505450716e-06,2.1310692853244933e-06,2.6024858945263877e-06,3.751669492924271e-06,6.646814846325688e-06,1.9064032271593477e-06,1.3054012281214324e-06,2.692891842691943e-06,3.66638802117693e-06,3.489816714826036e-06,5.1693478350771585e-06,3.3961854045534964e-06,9.066610574569045e-07,3.2653274470362984e-06,5.5757521689676294e-06,3.342826961905045e-06,2.2657857291750336e-06,4.02174962195544e-06,2.679901808397673e-06,2.0988649338437326e-06,3.405437803083893e-06,1.926975342423464e-06
fragment_55.01865,4.886439154059681e-06,2.2917487876648324e-06,0.01577265063017775,2.120674883574824e-06,2.8797862046719308e-06,3.2056624822084685e-06,1.4552905633138323e-06,2.891443639980484e-06,2.102395048439067e-06,2.915043958862819e-06,1.7987293775676605e-06,4.3318547269197595e-06,2.266812951662434e-06,5.185431013025835e-06,2.8847707184232227e-06,3.061399426905944e-06,3.8752480158728835e-06,3.1761357861570293e-06,1.4321559102209561e-06,4.274454152204645e-06,3.296543903371594e-06,4.635037172998096e-06,3.692107750472499e-06,6.073562994995413e-06,7.286080671485247e-06,4.122895261968697e-06,2.3400132912754446e-06,6.8097624754849085e-06,2.645866627155022e-06,3.1600768530689763e-06,3.370998624632482e-06,1.5606759599717406e-06,4.031477778494363e-06,9.544279731385537e-07,2.087909334624973e-06,2.9218578340850426e-06,3.1893043489353385e-06,4.0875053137568455e-06,3.3938801553038654e-06,3.349545131771039e-06,5.894558143921572e-06,1.4833538036157647e-06,4.164098805736361e-06,4.249026972823116e-06,1.879176469703868e-06,5.802214124910106e-06,5.594468189853909e-06,5.19891030839939e-06,5.1033947782064935e-06,3.351790526499137e-06,2.7905834551887213e-06,6.581198831179138e-06,1.8980806608357283e-06,3.5913348273285214e-06,1.3163991743543903e-06,2.1135035971830455e-06,5.50818516315248e-06,4.656620783429849e-06,4.645803909908547e-06,1.2521160761687007e-06,2.1019531348528605e-06,1.6640374874364392e-06,2.711879115276415e-06,2.3637979614605854e-06,2.9416263663852154e-06,4.455374964356932e-06,3.2889543756247228e-06,4.10091532430026e-06,3.89183803726821e-06,1.854778279804395e-06,2.4286699631812605e-06,3.028944594545387e-06,2.5097377825963463e-06,3.0455492343488403e-06,3.970648962866371e-06,2.4024139455323553e-06,3.4885992576260028e-06,4.1920284387208435e-06,3.2525825505450716e-06,2.1310692853244933e-06,2.6024858945263877e-06,3.751669492924271e-06,6.646814846325688e-06,1.9064032271593477e-06,1.3054012281214324e-06,2.692891842691943e-06,3.66638802117693e-06,3.489816714826036e-06,5.1693478350771585e-06,3.3961854045534964e-06,9.066610574569045e-07,3.2653274470362984e-06,5.5757521689676294e-06,3.342826961905045e-06,2.2657857291750336e-06,4.02174962195544e-06,2.679901808397673e-06,2.0988649338437326e-06,3.405437803083893e-06,1.926975342423464e-06
fragment_55.02966,4.886439154059681e-06,2.2917487876648324e-06,3.0326188483325805e-06,2.120674883574824e-06,2.8797862046719308e-06,3.2056624822084685e-06,1.4552905633138323e-06,2.891443639980484e-06,2.102395048439067e-06,0.014578134838272956,1.7987293775676605e-06,4.3318547269197595e-06,2.266812951662434e-06,5.185431013025835e-06,2.8847707184232227e-06,3.061399426905944e-06,3.8752480158728835e-06,3.1761357861570293e-06,1.4321559102209561e-06,4.274454152204645e-06,3.296543903371594e-06,4.635037172998096e-06,3.692107750472499e-06,6.073562994995413e-06,7.286080671485247e-06,4.122895261968697e-06,0.014042419760943942,6.8097624754849085e-06,2.645866627155022e-06,3.1600768530689763e-06,3.370998624632482e-06,1.5606759599717406e-06,4.031477778494363e-06,9.544279731385537e-07,2.087909334624973e-06,2.9218578340850426e-06,3.1893043489353385e-06,4.0875053137568455e-06,3.3938801553038654e-06,3.349545131771039e-06,5.894558143921572e-06,1.4833538036157647e-06,4.164098805736361e-06,4.249026972823116e-06,1.879176469703868e-06,5.802214124910106e-06,5.594468189853909e-06,5.19891030839939e-06,5.1033947782064935e-06,3.351790526499137e-06,2.7905834551887213e-06,6.581198831179138e-06,1.8980806608357283e-06,3.5913348273285214e-06,1.3163991743543903e-06,2.1135035971830455e-06,5.50818516315248e-06,4.656620783429849e-06,4.645803909908547e-06,1.2521160761687007e-06,2.1019531348528605e-06,1.6640374874364392e-06,2.711879115276415e-06,2.3637979614605854e-06,2.9416263663852154e-06,4.455374964356932e-06,3.2889543756247228e-06,4.10091532430026e-06,3.89183803726821e-06,1.854778279804395e-06,2.4286699631812605e-06,3.028944594545387e-06,2.5097377825963463e-06,3.0455492343488403e-06,3.970648962866371e-06,2.4024139455323553e-06,3.4885992576260028e-06,4.1920284387208435e-06,3.2525825505450716e-06,2.1310692853244933e-06,2.6024858945263877e-06,3.751669492924271e-06,6.646814846325688e-06,1.9064032271593477e-06,1.3054012281214324e-06,2.692891842691943e-06,3.66638802117693e-06,3.489816714826036e-06,5.1693478350771585e-06,3.3961854045534964e-06,9.066610574569045e-07,3.2653274470362984e-06,5.5757521689676294e-06,3.342826961905045e-06,2.2657857291750336e-06,4.02174962195544e-06,2.679901808397673e-06,2.0988649338437326e-06,3.405437803083893e-06,1.926975342423464e-06
fragment_56.0218,4.886439154059681e-06,2.2917487876648324e-06,3.0326188483325805e-06,2.120674883574824e-06,2.8797862046719308e-06,3.2056624822084685e-06,1.4552905633138323e-06,2.891443639980484e-06,2.102395048439067e-06,2.915043958862819e-06,1.7987293775676605e-06,4.3318547269197595e-06,2.266812951662434e-06,5.185431013025835e-06,2.8847707184232227e-06,3.061399426905944e-06,3.8752480158728835e-06,3.1761357861570293e-06,0.006589349342926619,4.274454152204645e-06,3.296543903371594e-06,4.635037172998096e-06,3.692107750472499e-06,6.073562994995413e-06,7.286080671485247e-06,4.122895261968697e-06,2.3400132912754446e-06,6.8097624754849085e-06,2.645866627155022e-06,3.1600768530689763e-06,3.370998624632482e-06,1.5606759599717406e-06,4.031477778494363e-06,9.544279731385537e-07,2.087909334624973e-06,2.9218578340850426e-06,3.1893043489353385e-06,4.0875053137568455e-06,3.3938801553038654e-06,3.349545131771039e-06,5.894558143921572e-06,1.4833538036157647e-06,4.164098805736361e-06,4.249026972823116e-06,1.879176469703868e-06,5.802214124910106e-06,5.594468189853909e-06,5.19891030839939e-06,5.1033947782064935e-06,3.351790526499137e-06,2.7905834551887213e-06,6.581198831179138e-06,1.8980806608357283e-06,3.5913348273285214e-06,1.3163991743543903e-06,2.1135035971830455e-06,5.50818516315248e-06,4.656620783429849e-06,4.645803909908547e-06,1.2521160761687007e-06,2.1019531348528605e-06,1.6640374874364392e-06,2.711879115276415e-06,2.3637979614605854e-06,2.9416263663852154e-06,4.455374964356932e-06,3.2889543756247228e-06,4.10091532430026e-06,3.89183803726821e-06,1.854778279804395e-06,2.4286699631812605e-06,3.028944594545387e-06,2.5097377825963463e-06,3.0455492343488403e-06,3.970648962866371e-06,2.4024139455323553e-06,3.4885992576260028e-06,4.1920284387208435e-06,3.2525825505450716e-06,2.1310692853244933e-06,2.6024858945263877e-06,3.751669492924271e-06,6.646814846325688e-06,1.9064032271593477e-06,1.3054012281214324e-06,2.692891842691943e-06,3.66638802117693e-06,3.489816714826036e-06,5.1693478350771585e-06,3.3961854045534964e-06,9.066610574569045e-07,3.2653274470362984e-06,5.5757521689676294e-06,3.342826961905045e-06,2.2657857291750336e-06,4.02174962195544e-06,2.679901808397673e-06,2.0988649338437326e-06,3.405437803083893e-06,1.926975342423464e-06
fragment_56.98001,4.886439154059681e-06,2.2917487876648324e-06,3.0326188483325805e-06,2.120674883574824e-06,2.8797862046719308e-06,3.2056624822084685e-06,1.4552905633138323e-06,2.891443639980484e-06,2.102395048439067e-06,2.915043958862819e-06,1.7987293775676605e-06,4.3318547269197595e-06,2.266812951662434e-06,5.185431013025835e-06,2.8847707184232227e-06,3.061399426905944e-06,3.8752480158728835e-06,3.1761357861570293e-06,1.4321559102209561e-06,4.274454152204645e-06,3.296543903371594e-06,4.635037172998096e-06,3.692107750472499e-06,6.073562994995413e-06,7.286080671485247e-06,4.122895261968697e-06,2.3400132912754446e-06,6.8097624754849085e-06,2.645866627155022e-06,3.1600768530689763e-06,3.370998624632482e-06,1.5606759599717406e-06,4.031477778494363e-06,9.544279731385537e-07,2.087909334624973e-06,2.9218578340850426e-06,3.1893043489353385e-06,4.0875053137568455e-06,3.3938801553038654e-06,3.349545131771039e-06,5.894558143921572e-06,1.4833538036157647e-06,4.164098805736361e-06,4.249026972823116e-06,1.879176469703868e-06,5.802214124910106e-06,5.594468189853909e-06,5.19891030839939e-06,5.1033947782064935e-06,3.351790526499137e-06,2.7905834551887213e-06,6.581198831179138e-06,1.8980806608357283e-06,3.5913348273285214e-06,1.3163991743543903e-06,2.1135035971830455e-06,5.50818516315248e-06,4.656620783429849e-06,4.645803909908547e-06,1.2521160761687007e-06,2.1019531348528605e-06,1.6640374874364392e-06,2.711879115276415e-06,2.3637979614605854e-06,2.9416263663852154e-06,4.455374964356932e-06,3.2889543756247228e-06,4.10091532430026e-06,3.89183803726821e-06,1.854778279804395e-06,2.4286699631812605e-06,3.028944594545387e-06,2.5097377825963463e-06,3.0455492343488403e-06,3.970648962866371e-06,2.4024139455323553e-06,3.4885992576260028e-06,4.1920284387208435e-06,3.2525825505450716e-06,2.1310692853244933e-06,2.6024858945263877e-06,3.751669492924271e-06,6.646814846325688e-06,1.9064032271593477e-06,1.3054012281214324e-06,2.692891842691943e-06,3.66638802117693e-06,3.489816714826036e-06,0.025334973739713156,3.3961854045534964e-06,9.066610574569045e-07,3.2653274470362984e-06,5.5757521689676294e-06,3.342826961905045e-06,2.2657857291750336e-06,4.02174962195544e-06,2.679901808397673e-06,2.0988649338437326e-06,3.405437803083893e-06,1.926975342423464e-06
fragment_56.9951,4.886439154059681e-06,2.2917487876648324e-06,3.0326188483325805e-06,2.120674883574824e-06,2.8797862046719308e-06,3.2056624822084685e-06,1.4552905633138323e-06,2.891443639980484e-06,2.102395048439067e-06,2.915043958862819e-06,1.7987293775676605e-06,4.3318547269197595e-06,2.266812951662434e-06,5.185431013025835e-06,2.8847707184232227e-06,3.061399426905944e-06,3.8752480158728835e-06,3.1761357861570293e-06,1.4321559102209561e-06,4.274454152204645e-06,3.296543903371594e-06,4.635037172998096e-06,3.692107750472499e-06,6.073562994995413e-06,7.286080671485247e-06,4.122895261968697e-06,2.3400132912754446e-06,6.8097624754849085e-06,2.645866627155022e-06,3.1600768530689763e-06,3.370998624632482e-06,1.5606759599717406e-06,4.031477778494363e-06,9.544279731385537e-07,2.087909334624973e-06,2.9218578340850426e-06,3.1893043489353385e-06,4.0875053137568455e-06,3.3938801553038654e-06,3.349545131771039e-06,5.894558143921572e-06,1.4833538036157647e-06,4.164098805736361e-06,4.249026972823116e-06,1.879176469703868e-06,5.802214124910106e-06,5.594468189853909e-06,5.19891030839939e-06,5.1033947782064935e-06,3.351790526499137e-06,2.7905834551887213e-06,6.581198831179138e-06,1.8980806608357283e-06,3.5913348273285214e-06,1.3163991743543903e-06,2.1135035971830455e-06,5.50818516315248e-06,4.656620783429849e-06,4.645803909908547e-06,1.2521160761687007e-06,2.1019531348528605e-06,1.6640374874364392e-06,2.711879115276415e-06,0.011584973809118328,2.9416263663852154e-06,4.455374964356932e-06,3.2889543756247228e-06,4.10091532430026e-06,3.89183803726821e-06,1.854778279804395e-06,2.4286699631812605e-06,3.028944594545387e-06,2.5097377825963463e-06,3.0455492343488403e-06,3.970648962866371e-06,2.4024139455323553e-06,3.4885992576260028e-06,4.1920284387208435e-06,3.2525825505450716e-06,2.1310692853244933e-06,2.6024858945263877e-06,3.751669492924271e-06,6.646814846325688e-06,1.9064032271593477e-06,1.3054012281214324e-06,2.692891842691943e-06,3.66638802117693e-06,3.489816714826036e-06,5.1693478350771585e-06,3.3961854045534964e-06,9.066610574569045e-07,3.2653274470362984e-06,5.5757521689676294e-06,3.342826961905045e-06,2.2657857291750336e-06,4.02174962195544e-06,2.679901808397673e-06,2.0988649338437326e-06,3.405437803083893e-06,1.926975342423464e-06
