Topic 0,loss_162.05294,loss_120.04251,fragment_138.97138,fragment_198.99126,loss_292.15401,fragment_121.06573,fragment_120.9973,fragment_121.03007,fragment_121.04028,fragment_121.10222,fragment_121.88708,fragment_122.02379,fragment_122.02512,fragment_122.03653,fragment_122.03786,fragment_122.06087,fragment_120.75532,fragment_120.04533,fragment_123.00762
Topic 1,fragment_156.06724,loss_144.04254,fragment_84.04593,loss_116.01112,fragment_200.05643,fragment_114.05567,fragment_101.02396,fragment_135.08209,fragment_151.11275,fragment_119.03596,fragment_121.03007,fragment_122.03786,fragment_122.03653,fragment_122.02512,fragment_122.02379,fragment_121.88708,fragment_121.10222,fragment_121.06573,fragment_118.94241
Topic 2,fragment_116.92874,loss_181.07374,fragment_115.92074,fragment_99.92644,fragment_244.97766,fragment_196.95448,fragment_120.9973,fragment_121.03007,fragment_121.04028,fragment_121.06573,fragment_120.04533,fragment_121.10222,fragment_121.88708,fragment_122.02379,fragment_122.02512,fragment_122.03653,fragment_122.03786,fragment_120.75532,loss_292.15401
Topic 3,fragment_97.06594,loss_62.00041,fragment_115.07673,loss_64.01608,fragment_115.94452,fragment_119.03471,fragment_119.03596,fragment_122.06208,fragment_119.01742,fragment_122.06087,fragment_122.03786,fragment_122.03653,fragment_122.02512,fragment_122.02379,fragment_121.88708,fragment_121.10222,fragment_119.02481,fragment_121.06573,fragment_121.04028
Topic 4,loss_118.04149,fragment_183.01858,fragment_128.03577,fragment_208.99925,loss_135.06829,fragment_165.99145,fragment_162.02365,fragment_121.03007,fragment_121.04028,fragment_121.06573,fragment_121.10222,fragment_122.02379,fragment_121.88708,fragment_122.02512,fragment_122.03653,fragment_122.03786,fragment_122.06087,fragment_120.9973,loss_292.15401
Topic 5,fragment_124.00731,fragment_79.95737,fragment_106.98074,fragment_121.03007,fragment_123.00762,fragment_122.06208,fragment_122.06087,fragment_122.03786,fragment_122.03653,fragment_122.02512,fragment_122.02379,fragment_121.88708,fragment_121.10222,fragment_121.06573,fragment_121.04028,fragment_120.9973,fragment_123.03234,fragment_120.75532,fragment_120.04533
Topic 6,fragment_145.06246,fragment_127.05093,fragment_207.15228,fragment_121.88708,fragment_120.9973,fragment_121.03007,fragment_121.04028,fragment_121.06573,fragment_121.10222,fragment_122.02512,fragment_122.02379,fragment_120.04533,fragment_122.03653,fragment_122.03786,fragment_122.06087,fragment_122.06208,fragment_120.75532,loss_292.15401,fragment_123.00893
Topic 7,fragment_94.03792,loss_147.05327,fragment_100.92584,fragment_107.01737,fragment_89.00653,fragment_225.05208,fragment_122.06087,fragment_122.03786,fragment_122.03653,fragment_122.02512,fragment_122.02379,fragment_121.03007,fragment_121.88708,fragment_122.06208,fragment_121.10222,fragment_121.06573,fragment_121.04028,loss_292.15401,fragment_123.00762
Topic 8,fragment_122.03786,fragment_135.04491,fragment_154.02775,fragment_137.02501,fragment_207.06641,loss_125.96206,fragment_124.01653,fragment_161.06192,fragment_145.06246,fragment_120.04533,fragment_109.04154,fragment_122.03653,fragment_122.02512,fragment_122.02379,fragment_121.88708,fragment_121.10222,fragment_121.06573,fragment_121.04028,fragment_121.03007
Topic 9,fragment_71.01357,fragment_99.0092,fragment_85.02942,loss_181.07374,fragment_121.03007,fragment_121.04028,fragment_121.06573,fragment_121.10222,fragment_121.88708,fragment_122.02379,loss_292.15401,fragment_120.75532,fragment_122.02512,fragment_122.03653,fragment_122.03786,fragment_122.06087,fragment_122.06208,fragment_120.9973,fragment_120.03868
Topic 10,fragment_96.04567,fragment_158.06073,fragment_183.0938,loss_292.15401,fragment_122.06087,fragment_122.03786,fragment_122.03653,fragment_122.02512,fragment_122.02379,fragment_121.88708,fragment_121.10222,fragment_121.06573,fragment_121.04028,fragment_121.03007,fragment_120.9973,fragment_120.75532,fragment_120.04533,fragment_118.05082,fragment_120.03868
Topic 11,loss_18.00988,fragment_161.04641,fragment_115.01232,loss_292.15401,fragment_120.9973,fragment_122.06208,fragment_122.06087,fragment_122.03786,fragment_122.03653,fragment_122.02512,fragment_122.02379,fragment_121.88708,fragment_121.10222,fragment_121.06573,fragment_121.04028,fragment_121.03007,fragment_120.75532,fragment_123.00893,fragment_120.04533
Topic 12,fragment_98.06113,fragment_170.04532,fragment_109.01699,fragment_241.08288,fragment_115.0883,fragment_210.07772,fragment_269.08086,fragment_243.10129,fragment_116.03589,fragment_121.03007,fragment_121.04028,fragment_121.06573,fragment_121.10222,fragment_120.75532,fragment_121.88708,fragment_122.02379,fragment_122.02512,fragment_122.03653,fragment_120.9973
Topic 13,fragment_112.04043,loss_292.15401,fragment_123.03234,fragment_123.00762,fragment_122.06208,fragment_122.06087,fragment_122.03786,fragment_122.03653,fragment_122.02512,fragment_122.02379,fragment_121.88708,fragment_121.10222,fragment_121.06573,fragment_121.04028,fragment_121.03007,fragment_120.9973,fragment_120.75532,fragment_120.04533,fragment_120.03868
Topic 14,fragment_151.04056,loss_79.9567,loss_139.9781,loss_292.15401,fragment_120.9973,fragment_122.06208,fragment_122.06087,fragment_122.03786,fragment_122.03653,fragment_122.02512,fragment_122.02379,fragment_121.88708,fragment_121.10222,fragment_121.06573,fragment_121.04028,fragment_121.03007,fragment_120.75532,fragment_123.00893,fragment_120.04533
Topic 15,fragment_87.00924,loss_292.15401,fragment_120.9973,fragment_123.00762,fragment_122.06208,fragment_122.06087,fragment_122.03786,fragment_122.03653,fragment_122.02512,fragment_122.02379,fragment_121.88708,fragment_121.10222,fragment_121.06573,fragment_121.04028,fragment_121.03007,fragment_120.75532,fragment_123.03234,fragment_120.04533,fragment_120.03868
Topic 16,fragment_83.01355,loss_292.15401,fragment_120.9973,fragment_123.00762,fragment_122.06208,fragment_122.06087,fragment_122.03786,fragment_122.03653,fragment_122.02512,fragment_122.02379,fragment_121.88708,fragment_121.10222,fragment_121.06573,fragment_121.04028,fragment_121.03007,fragment_120.75532,fragment_123.03234,fragment_120.04533,fragment_120.03868
Topic 17,loss_60.02108,loss_292.15401,fragment_123.03234,fragment_123.00762,fragment_122.06208,fragment_122.06087,fragment_122.03786,fragment_122.03653,fragment_122.02512,fragment_122.02379,fragment_121.88708,fragment_121.10222,fragment_121.06573,fragment_121.04028,fragment_121.03007,fragment_120.9973,fragment_120.75532,fragment_120.04533,fragment_120.03868
