Topic 0,fragment_90.05527,loss_130.06241,fragment_202.1085,loss_165.0633,fragment_116.03452,fragment_70.02898,loss_153.06369,loss_148.07328,fragment_72.04464,loss_96.04179,fragment_57.0702,fragment_67.0545,loss_18.00932,loss_163.04779,fragment_125.09589,fragment_203.10996,fragment_184.09803,fragment_98.02397,fragment_95.04928
Topic 1,loss_157.03731,fragment_70.02898,fragment_92.05759,fragment_90.05527,loss_90.03137,fragment_157.0616,fragment_118.06543,fragment_188.07047,loss_159.05329,fragment_88.03901,fragment_146.05925,fragment_137.07936,fragment_144.08045,fragment_88.08681,fragment_86.09648,fragment_57.03366,fragment_132.10153,fragment_131.08913,fragment_134.08154
Topic 2,loss_84.04227,loss_225.08475,loss_179.07937,loss_181.09524,loss_162.05204,fragment_225.1234,fragment_128.07017,fragment_291.157,loss_180.06283,fragment_210.11402,fragment_210.11122,fragment_146.08103,fragment_273.14291,fragment_163.10804,fragment_93.05432,fragment_126.05556,fragment_75.04393,fragment_145.09812,fragment_147.11293
Topic 3,loss_87.03189,fragment_124.08683,loss_74.02411,fragment_96.06817,loss_114.04253,fragment_83.06033,fragment_134.08154,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645,fragment_134.04498,fragment_134.04673,fragment_134.04803,fragment_134.05987,loss_334.21407,fragment_133.09783,fragment_134.09674,fragment_134.9566
Topic 4,fragment_69.07006,fragment_55.05462,fragment_111.1165,loss_239.13679,loss_334.21407,fragment_134.05987,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645,fragment_134.04498,fragment_134.04673,fragment_134.04803,fragment_134.08154,fragment_133.08622,fragment_134.09674,fragment_134.9566
Topic 5,fragment_103.03861,fragment_147.0656,fragment_59.0494,fragment_113.0601,loss_179.11551,fragment_263.14913,fragment_205.10661,fragment_99.04448,fragment_87.04387,fragment_177.11272,fragment_127.07536,loss_165.09981,loss_239.13679,loss_121.07353,loss_35.0369,fragment_119.07081,fragment_127.01268,fragment_193.10605,fragment_200.02876
Topic 6,loss_100.0521,loss_174.11093,fragment_127.07536,fragment_81.06995,fragment_133.06434,loss_104.04715,fragment_85.06472,fragment_179.06947,loss_146.05758,fragment_137.05985,fragment_118.07495,fragment_113.0601,fragment_191.10581,fragment_144.06581,fragment_248.09041,loss_184.09557,fragment_165.09006,fragment_134.02756,loss_334.21407
Topic 7,fragment_167.11825,fragment_84.04465,loss_192.07405,fragment_172.95326,fragment_130.0857,loss_146.06905,fragment_147.11293,loss_129.04234,fragment_56.04975,fragment_199.10682,fragment_121.02825,fragment_154.94192,fragment_190.96291,fragment_216.13412,loss_60.02086,fragment_200.98519,fragment_252.91892,fragment_136.93208,fragment_82.06492
Topic 8,loss_187.08415,loss_159.08947,fragment_69.07006,loss_114.06798,fragment_97.06456,loss_146.06905,fragment_226.10718,loss_174.06387,fragment_102.05554,fragment_114.09116,fragment_101.07114,fragment_129.0656,loss_129.04234,fragment_83.06033,fragment_147.07722,loss_138.06381,fragment_161.09562,fragment_189.08979,fragment_197.12817
Topic 9,loss_96.04179,loss_54.03168,loss_84.04227,loss_36.02096,fragment_111.04417,fragment_129.05455,fragment_147.0656,loss_66.03166,fragment_99.04448,fragment_99.04356,loss_104.04715,loss_62.03681,fragment_77.05987,fragment_119.03011,fragment_134.09674,fragment_134.02756,fragment_133.10075,fragment_133.59714,fragment_135.04424
Topic 10,fragment_117.10269,loss_74.02411,fragment_171.14863,fragment_197.04416,fragment_102.05461,fragment_133.59714,fragment_100.59189,fragment_112.11177,fragment_169.09672,loss_91.06324,fragment_97.0518,fragment_156.10822,fragment_78.06282,fragment_127.08613,fragment_70.0656,fragment_134.05987,fragment_134.01282,fragment_134.02756,fragment_134.03645
