Source,Target,Weight,Type
859,813,0.824,Directed
859,301,0.824,Directed
854,813,0.642,Directed
854,31,1.117,Directed
359,396,0.568,Directed
359,806,1.340,Directed
359,547,0.761,Directed
1006,806,0.816,Directed
1006,547,0.816,Directed
360,932,0.998,Directed
360,806,0.998,Directed
360,620,0.805,Directed
360,847,0.805,Directed
632,932,0.997,Directed
632,1017,0.997,Directed
632,487,0.791,Directed
632,12,0.791,Directed
116,396,0.814,Directed
116,608,0.814,Directed
566,1094,0.798,Directed
566,12,0.798,Directed
945,742,0.848,Directed
945,813,0.848,Directed
945,524,0.983,Directed
945,355,0.848,Directed
641,742,0.697,Directed
641,524,0.960,Directed
641,167,0.960,Directed
478,524,0.664,Directed
1021,634,0.819,Directed
1021,806,0.819,Directed
501,806,0.940,Directed
501,530,0.825,Directed
501,620,0.825,Directed
501,1094,0.940,Directed
776,806,1.451,Directed
776,27,0.670,Directed
776,620,0.754,Directed
776,1094,0.782,Directed
653,806,0.788,Directed
653,1094,0.788,Directed
770,103,0.925,Directed
770,25,1.021,Directed
770,167,0.829,Directed
770,927,0.829,Directed
770,301,0.925,Directed
812,103,1.315,Directed
812,547,0.624,Directed
812,301,0.693,Directed
1048,396,0.816,Directed
1048,1094,0.816,Directed
1047,392,0.924,Directed
1047,932,0.943,Directed
1047,31,0.865,Directed
1047,484,0.865,Directed
1047,809,0.924,Directed
54,392,1.057,Directed
54,228,0.776,Directed
54,549,0.864,Directed
54,318,1.057,Directed
54,311,0.776,Directed
54,634,0.864,Directed
54,31,0.881,Directed
54,840,1.180,Directed
54,620,0.846,Directed
54,167,1.180,Directed
54,297,1.110,Directed
54,1094,1.110,Directed
54,486,0.881,Directed
629,392,0.978,Directed
629,228,0.876,Directed
629,318,0.978,Directed
629,311,0.876,Directed
629,31,1.222,Directed
629,186,0.897,Directed
629,619,0.876,Directed
629,297,0.876,Directed
629,484,0.856,Directed
629,486,1.222,Directed
629,12,0.856,Directed
481,840,0.610,Directed
481,484,0.759,Directed
481,12,1.368,Directed
894,228,0.609,Directed
894,31,0.676,Directed
894,530,1.548,Directed
306,228,0.708,Directed
306,31,0.752,Directed
306,530,1.747,Directed
306,12,0.520,Directed
869,31,0.819,Directed
869,530,0.937,Directed
561,937,0.862,Directed
561,806,0.862,Directed
561,547,0.825,Directed
659,401,1.705,Directed
659,806,1.679,Directed
659,547,0.503,Directed
659,608,0.468,Directed
659,927,0.416,Directed
722,933,0.971,Directed
722,806,0.812,Directed
722,547,0.830,Directed
722,927,0.953,Directed
867,933,0.914,Directed
867,547,0.914,Directed
867,617,0.965,Directed
867,608,0.829,Directed
867,927,0.965,Directed
1056,1040,0.692,Directed
1056,806,0.772,Directed
1056,672,0.440,Directed
1056,809,1.516,Directed
865,933,1.012,Directed
865,806,0.894,Directed
865,480,1.130,Directed
865,620,0.759,Directed
865,301,0.776,Directed
918,352,0.808,Directed
918,557,0.808,Directed
994,349,0.845,Directed
994,352,0.935,Directed
994,557,0.881,Directed
994,301,0.845,Directed
643,917,2.533,Directed
643,103,0.625,Directed
643,813,0.525,Directed
643,167,0.607,Directed
643,164,0.489,Directed
336,634,0.919,Directed
336,813,1.025,Directed
336,477,1.025,Directed
336,672,0.919,Directed
336,293,0.786,Directed
127,164,0.890,Directed
127,486,0.890,Directed
285,164,0.857,Directed
285,486,0.857,Directed
774,164,0.855,Directed
774,486,0.855,Directed
332,392,1.032,Directed
332,990,0.715,Directed
332,634,0.853,Directed
332,932,0.853,Directed
332,806,0.853,Directed
332,828,0.853,Directed
332,164,1.309,Directed
332,613,0.893,Directed
332,754,0.853,Directed
332,486,1.309,Directed
312,990,0.936,Directed
312,549,0.810,Directed
312,1051,1.744,Directed
312,321,0.792,Directed
312,813,0.828,Directed
312,355,1.780,Directed
312,547,0.774,Directed
312,901,0.972,Directed
312,620,0.846,Directed
312,164,0.774,Directed
312,927,0.792,Directed
312,754,0.792,Directed
312,486,0.882,Directed
312,804,0.828,Directed
312,282,0.954,Directed
194,928,0.843,Directed
194,355,0.763,Directed
792,31,0.881,Directed
792,754,0.881,Directed
536,524,0.946,Directed
536,31,1.513,Directed
536,594,0.878,Directed
536,530,1.013,Directed
536,477,0.716,Directed
536,715,0.865,Directed
536,301,0.865,Directed
536,754,0.919,Directed
536,486,0.946,Directed
654,524,1.066,Directed
654,31,0.933,Directed
654,965,0.819,Directed
654,715,0.952,Directed
654,301,0.952,Directed
654,754,0.933,Directed
654,486,1.066,Directed
654,778,0.819,Directed
105,31,0.490,Directed
105,594,0.469,Directed
105,715,2.679,Directed
105,754,0.500,Directed
105,486,0.612,Directed
264,982,0.921,Directed
264,671,0.760,Directed
264,486,0.921,Directed
876,103,0.667,Directed
876,748,2.082,Directed
876,1039,0.695,Directed
876,547,0.695,Directed
876,520,0.681,Directed
876,12,0.822,Directed
508,748,0.801,Directed
508,813,0.947,Directed
508,299,0.849,Directed
289,1039,0.466,Directed
289,547,0.212,Directed
289,299,0.644,Directed
289,282,2.394,Directed
898,1040,0.317,Directed
898,413,0.336,Directed
898,806,1.104,Directed
898,520,0.375,Directed
898,927,0.317,Directed
898,282,3.201,Directed
40,392,0.488,Directed
40,1040,0.381,Directed
40,806,0.638,Directed
40,520,0.815,Directed
40,927,0.381,Directed
40,299,0.718,Directed
40,282,2.877,Directed
1011,1039,0.585,Directed
1011,547,0.368,Directed
1011,282,1.712,Directed
445,813,0.238,Directed
445,806,0.447,Directed
445,299,0.930,Directed
445,282,1.602,Directed
1089,1039,0.514,Directed
1089,413,0.554,Directed
1089,806,1.186,Directed
1089,547,0.396,Directed
1089,520,1.278,Directed
1089,282,1.751,Directed
866,806,0.480,Directed
866,520,0.483,Directed
866,299,0.787,Directed
866,282,1.535,Directed
630,1040,0.450,Directed
630,1039,0.394,Directed
630,608,0.441,Directed
630,927,0.432,Directed
630,282,2.997,Directed
234,401,2.706,Directed
234,691,0.415,Directed
234,547,0.376,Directed
234,491,0.344,Directed
1043,547,0.677,Directed
1033,401,1.622,Directed
1033,311,0.968,Directed
1033,634,0.700,Directed
1033,691,0.953,Directed
1033,933,0.700,Directed
1033,547,0.790,Directed
1033,617,0.953,Directed
1033,486,0.804,Directed
823,311,0.842,Directed
823,352,0.842,Directed
412,392,1.208,Directed
412,401,1.635,Directed
412,933,1.104,Directed
412,547,0.584,Directed
412,233,0.532,Directed
412,617,0.688,Directed
412,608,0.521,Directed
412,927,0.501,Directed
412,484,0.532,Directed
412,486,0.615,Directed
101,395,0.919,Directed
101,932,0.823,Directed
101,491,0.919,Directed
1072,295,0.825,Directed
1072,547,0.845,Directed
1072,6,0.845,Directed
1065,396,0.895,Directed
1065,385,0.895,Directed
1065,1094,0.815,Directed
1026,396,1.087,Directed
1026,544,0.811,Directed
1026,933,0.779,Directed
1026,385,1.070,Directed
1026,355,0.763,Directed
1026,547,0.909,Directed
1026,620,0.811,Directed
1026,927,0.973,Directed
1026,1094,1.751,Directed
1026,484,0.747,Directed
1026,486,0.973,Directed
1026,6,0.909,Directed
1104,395,2.585,Directed
1104,103,0.900,Directed
1104,932,0.450,Directed
1104,233,0.466,Directed
1104,486,0.397,Directed
82,490,0.993,Directed
82,486,0.993,Directed
82,786,0.689,Directed
554,932,0.838,Directed
554,233,0.998,Directed
554,486,0.998,Directed
554,6,0.861,Directed
696,544,0.905,Directed
696,932,0.905,Directed
696,164,0.866,Directed
696,754,0.866,Directed
696,486,1.072,Directed
696,786,1.072,Directed
506,544,0.773,Directed
506,1038,0.816,Directed
506,932,0.773,Directed
506,77,0.715,Directed
506,164,1.020,Directed
506,1094,1.530,Directed
506,754,1.020,Directed
529,392,0.617,Directed
529,637,1.369,Directed
529,164,0.502,Directed
529,12,1.254,Directed
656,392,0.773,Directed
656,637,1.103,Directed
656,355,0.685,Directed
656,164,0.761,Directed
656,233,0.634,Directed
656,978,1.166,Directed
656,12,1.571,Directed
997,524,0.655,Directed
997,978,1.119,Directed
296,1037,0.773,Directed
296,524,0.833,Directed
296,491,0.738,Directed
296,978,1.260,Directed
296,973,1.094,Directed
231,524,0.853,Directed
231,978,0.853,Directed
1031,1037,0.784,Directed
1031,524,0.857,Directed
1031,301,0.604,Directed
1031,302,0.688,Directed
1031,491,0.760,Directed
1031,978,1.893,Directed
1031,973,1.122,Directed
521,1037,0.646,Directed
521,524,0.714,Directed
521,978,1.360,Directed
96,1037,0.689,Directed
96,524,0.751,Directed
96,491,0.668,Directed
96,978,1.741,Directed
96,973,0.897,Directed
974,1037,0.658,Directed
974,524,0.718,Directed
974,978,1.365,Directed
1071,524,0.977,Directed
1071,491,0.854,Directed
1071,978,0.977,Directed
1071,973,0.854,Directed
1092,742,0.921,Directed
1092,90,1.047,Directed
1092,530,0.813,Directed
1092,608,0.813,Directed
1092,754,0.921,Directed
1092,484,1.047,Directed
579,544,0.664,Directed
579,31,0.851,Directed
579,530,1.776,Directed
579,77,0.689,Directed
579,557,1.514,Directed
579,1095,0.664,Directed
579,715,0.651,Directed
579,301,1.389,Directed
579,484,0.639,Directed
579,486,0.864,Directed
858,392,0.859,Directed
858,683,0.859,Directed
858,524,1.016,Directed
858,530,0.911,Directed
858,301,0.876,Directed
858,754,1.016,Directed
91,524,0.918,Directed
91,186,0.718,Directed
91,530,0.802,Directed
91,557,1.718,Directed
91,715,0.752,Directed
91,301,0.802,Directed
91,754,0.918,Directed
91,486,0.968,Directed
1085,200,1.343,Directed
1085,530,0.634,Directed
1085,486,0.710,Directed
78,664,1.142,Directed
78,813,0.807,Directed
78,526,0.793,Directed
78,164,0.887,Directed
78,715,1.075,Directed
78,12,0.954,Directed
712,549,1.844,Directed
712,932,0.852,Directed
712,70,0.852,Directed
712,355,0.887,Directed
712,164,0.852,Directed
712,648,0.905,Directed
712,965,0.799,Directed
712,613,0.958,Directed
712,608,0.887,Directed
712,715,0.887,Directed
712,804,0.852,Directed
273,544,0.790,Directed
273,664,0.704,Directed
273,982,2.208,Directed
273,468,0.790,Directed
273,813,0.704,Directed
273,346,0.704,Directed
273,530,0.704,Directed
273,648,0.876,Directed
273,754,0.919,Directed
120,982,0.844,Directed
120,754,0.844,Directed
67,201,1.434,Directed
67,355,0.847,Directed
67,164,0.789,Directed
67,715,0.847,Directed
67,491,0.732,Directed
881,928,1.119,Directed
881,349,0.777,Directed
881,227,0.795,Directed
881,620,0.849,Directed
